Mike Espy for Senate Committee,100000
 the Mississippi Republican Party. Not authorized by a candidate or candidate committee.,100000
The Committee to Elect Lee Ann Turner (Approved by Lee Ann Turner),50000
Mississippi Victory Fund. Not Authorized by Any Candidate or Candidate's Committee,50000
Friends of Lucien Smith,50000
American Lung Association,12074
"Watson & Norris, PLLC",10000
Tom Steyer,10000
Stennis Center for Public Service,10000
Mississippi Development Authority,10000
Mike Espy for Senate,10000
Mel Coxwell,10000
Management & Training Corporation,10000
"Friends to Elect Gerald ""Jerry"" Kucia",10000
Friends of Delbert Hosemann,10000
Friends of Chris McDaniel,10000
Friends of Chad McMahan / McMahan for Mississippi,10000
Friends of Anna Ward Sukmann,10000
Federation of American Hospitals,10000
FRIENDS OF MICHAEL WATSON,10000
Committee To Elect Mike Dickinson,10000
NumbersUSA,9955
the Committee to Re-elect Circuit Judge Lamar Pickard,9777
FAMM,9569
Friends of George Chism,8908
The Explore Offshore Coalition,8256
TEA Fund for Children and Public Education,6005
the Mississippi Republican Party. Not authorized by a candidate or candidate committee. ,5000
the Committee to Elect Debra W. Blackwell,5000
Whit Hughes for Congress,5000
W.K. Kellogg Foundation,5000
United Way of the Capital Area,5000
The Reginald Harrion for Judge Committee,5000
The Committee to Elect Tameika Bennett,5000
The Committee to Elect Paula Drungole Ellis for Chancery Court Judge,5000
The Committee to Elect Judge Joseph Sclafani,5000
Mississippi Democratic Party,5000
Joey Fillingane,5000
Jay for Mississippi,5000
Friends to Elect Staci Shumpert Bevill & Approved by the Candidate,5000
Family Equality Council,5000
Committee to Elect Kelly Mims,5000
Committee to Elect Daniel Tucker Chancery Judge,5000
Committee for Education Excellence,5000
Chris McDaniel,5000
Baria for Mississippi,5000
Friends to Elect Chris Brown,4972
The Committee to Elect Katie Mills,4752
The Committee to Elect Larry Little for Chancery Judge,4584
Planned Parenthood,4505
DrugJustice,3446
Joe Walsh,3350
"DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.",2725
America's Navy,2554
YouGov,2420
" John James for Senate, inc.",2378
"NBCUniversal Media, LLC",2211
ExxonMobil,1772
Charlie Kirk,1617
T-Mobile,1592
Convention of States Action,1578
"4Ocean, LLC",1516
"Committee to Elect Charles Steinberg Judge, Dennis Webb, Treasurer",1447
I Love My Freedom ,1405
Friends of John Barzizza for Mayor,1325
RepublicEn,1290
SFT2 Tactical Supply,1289
Tennessee Advocates for Planned Parenthood,1259
Friends of David Lenoir,1246
Nick Tranchina for Sheriff Committee,1220
"With Honor Fund, Inc.",1181
Ryan Hampton,1131
Rewire.News,1052
"Friends of Patrick Dandridge, Kevin Bruce, Treasurer",1039
"the committee to elect Lisa Ann Koon for Chancery Judge.  I am Lisa Ann Koon, candidate for Chancery Judge.  Message approved by Lisa Ann Koon.",1000
the Jody Steverson Campaign.,1000
the Committee to Re-elect Judge Lamar Pickard,1000
the Committee to Re-elect Circuit Judge Lamar Pickard.,1000
"the Committee to Elect Bailey for Circuit Judge and approved by Robert T. ""Bo"" Bailey",1000
the City of Vicksburg,1000
and approved by Joseph L. Turney,1000
YallPolitics,1000
Wicker for Senate,1000
What's The Fair - A Documentary Film,1000
The committee to Elect Margaret Alfonso Chancery Court Judge,1000
"The Winners, LLC",1000
The Nature Conservancy,1000
The Committee to Re-Elect Judge Sandy Steckler,1000
The Committee to Elect Pamela Luckie Castle,1000
The Committee To ReElect Judge Sandy Steckler,1000
The Auto Alliance,1000
THE COMMITTEE TO RE-ELECT JUDGE MIKE TAYLOR AND APPROVED BY THE CANDIDATE,1000
THE COMMITTEE TO ELECT TRACEY BROWN FOR JUSTICE COURT JUDGE,1000
Senator Brice Wiggins and/or Committee to Elect Brice Wiggins in accordance with MS elections laws.,1000
Scott County for Chris McDaniel,1000
Scott Corlew,1000
Save Our Air Medical Resources,1000
Remember Mississippi PAC,1000
PAID FOR BY HOWARD SHERMAN FOR SENATE,1000
Mississippi Public Education PAC,1000
Mississippi Commercial Fisheries United,1000
Millsaps College,1000
Mario Barnes,1000
Lucien Smith,1000
"Kelly Pollock of Chicago, Illinois",1000
Joel Dillard,1000
Jerel Wade,1000
Jeramey Anderson for Congress,1000
"Jared F Evans, NON-CONSTITUENT per the Town's definition by implication, although a life-long, multi-generation taxpaying resident within the city limits.",1000
Jared F Evans,1000
JUSTIN BROCK,1000
Harrison County (MS) Republican Club,1000
Friends of Tanya Hasbrouck for Chancery Court Judge,1000
"Friends of Richard W. Ryals, Approved by Candidate",1000
Friends of Michael Guest,1000
Friends of Michael Evans ,1000
Friends of Joel Carter,1000
Friends of Dewey Arthur,1000
Friends of Andy Gipson,1000
Committee to Elect Willie C. Allen,1000
"Committee to Elect Toni Walker Terrett, Circuit Court Judge",1000
Committee to Elect Stacie Zorn,1000
Committee to Elect Kevin Frye. ,1000
Committee to Elect Hayes Patrick,1000
Committee to Elect Dan Jones. Approved by the candidate.,1000
Civiqs,1000
Carnelia Fondren For Chancery Court Judge,1000
Americans For Prosperity,1000
 Tommy McElroy Campaign for Lee County Court Judge 2018,1000
Palazzo For Congress ,999
Brad Patano,998
Andrew B. Labas,998
Harrison County Democrats,992
Roberts Wilson,991
Paid for by Remember Mississippi PAC. Not authorized by any candidate or candidate's committee. www.RememberMississippi.org,990
Spaceship Media,971
Friends of Jeffery Harness,965
Jarred Bell,957
Pigeon Media USA,946
Lee County Mississippi Democrats,934
Hotze Health & Wellness Center,914
Kevin McCarthy for Congress,909
Bredesen for Senate,812
ReBuild USA,796
