Missouri's Voice,16568952,45731763
Claire Doesn't Care,4359000,10054937
Here For This,4296919,10777292
Working For Us,4163000,10474879
One Nation,3655000,9780632
Claire McCaskill,3054229,10033784
Craig O'Dear,2477000,6517890
Missouri Rising Action,2461000,5480970
Cort VanOstran for Congress,2290550,7719798
Curiosity+Heroin,1898556,3996385
Americans For Prosperity - Missouri,1499879,3498345
Air Evac Lifeteam,1480000,3571977
Josh Hawley,1261899,3477384
Senate Leadership Fund,1238000,3107950
Color Of Change PAC,1158842,4555448
Missouri Secretary of State,1125957,2578855
Missouri Century Foundation,1080000,2499986
Protect MO Families,930000,3157874
MO Research,901951,2153889
Fed of American Hospitals,824001,2121980
Real Justice,754958,2054940
Missouri House Victory Committee,685695,2146407
National Right To Work,652000,1429990
Eric Greitens,650000,1599996
Hillary Shields,640610,2113793
Americans for Prosperity,631475,1550843
Austin Petersen,621399,1649779
Yes On A - Missouri Freedom To Work,620184,1655334
GUNVOTE,600000,1404990
"David Wasinger, CPA, for State Auditor",596000,1434983
Middle Class Missouri,580000,1254986
Missouri Health PAC,554813,1323599
Wesley Bell for St. Louis County Prosecutor - Democrat,531977,1858729
Shareblue Media,508116,1805192
Tea Party Nation,500000,999999
Gibbs For Judge,489000,2003919
America First Policies,488965,1266576
Millionaire Claire,457000,1057968
Americans for Prosperity Foundation,440307,925716
Ann Wagner,437936,1075739
Show Me Smoke Free,432000,1162990
Mark Mantovani,405076,1732335
Prop 1 STL,401000,808988
Missouri Jobs with Justice,383000,1064966
Tony Luetkemeyer,380452,1190840
Raise Up Missouri,371000,904994
Speak Up For Education and Kids,344609,891357
Jason Smith,327998,1460796
YouGov,281094,653518
Renee Hoagenson for Congress,276723,1343791
Clean Missouri,249000,792961
Missouri Faith Voices,234862,674596
Missouri Rural Crisis Center,231000,635975
Pam Mason for Clay County Presiding Commissioner,231000,555992
New Wentzvillian For St Charles Countians,217000,561984
Phil Glynn for Mayor,214000,847714
America First Action,212000,552985
John Messmer for Congress,210347,826292
NumbersUSA,200050,502102
AFL-CIO,200000,499999
Living Free,199941,400170
Michael “Mike” E. Carter for Director of Elections,193999,929963
Justin Brown For Senate,190000,919980
Dan O'Neill,182986,585913
Harry Roberts,178734,566732
Auto Alliance,176001,414996
Tony Monetti,175679,679918
Judge Joe Rathert,172000,561987
Coalition for Medicare Choices,171734,343464
Bob Dixon,170000,689959
The Tax Scam,166000,364995
Springfield Citizens Against Breed Specific Legislation,163000,485987
Mark Osmack,161639,578741
Vote for Your Library,161000,354996
The Missouri Plan,160000,514790
Steve Roberts State Representative,160000,349997
National Shooting Sports Foundation | NSSF,135009,360011
Sam Graves for Congress,130497,354673
Eric Zahnd,128280,464378
Solar Energy Today,128083,587239
Blaine Luetkemeyer,126496,320975
Travis Estes 4 MO,125571,455241
Todd Richardson,125000,309996
Metropolitan Congregations United,119937,415747
Housingforall,118956,415769
Paul Curtman,118618,279228
Jason Kander,118587,292932
Better With Age,116124,566304
Alternatives to Abortion,115000,259996
Jake Hummel for Senate,110968,405828
Keep Judge Devine,109000,351986
Organization For Black Struggle,108829,358542
Saydie Cook,107974,365839
Jim Murphy for Missouri's 94th House District,105921,331580
Women For Civility,103784,331913
Dave Griffith,102000,453973
"Union Veterans Council, AFL CIO",102000,419985
Dottie for Missouri,102000,378966
Gaylin for Judge,101000,312975
Elect Judge Melissa Lawyer,101000,204998
NRSC,100693,205038
Organization for Competitive Markets,100000,199999
Missouri AFL-CIO,100000,199999
John Legend,100000,199999
GOP,99006,829250
Stouffer for Prosecutor,98000,343963
Ron Rammaha for Missouri House District 94,98000,326976
Citizens for a Stronger Community,97000,420946
ASPCA,96014,338068
Elizabeth Turner Law Office,95000,459990
Riggs For Missouri,94676,358655
J.P. Johnson for State Representative MO-79,94000,283956
Donald J. Trump,93491,467642
U.S. Chamber of Commerce,93203,376003
Rob Vescovo,91000,412981
Show-Me Institute,90000,285989
Jessica Catron,88000,441868
Locke Thompson,88000,250976
National Solar Programs,85000,274991
The Holy Tribune,84961,259779
MO Electric Co-ops,80998,306968
Missouri Republican Party,77962,245920
DK Hirner for Cole County Prosecutor,77000,288506
Missouri Democratic Party Progressive Caucus,75000,377985
Kent Haden for State Representative,72295,320769
Kevin Corlew,71044,340761
DoSomething.org,69145,180741
Hallie Thompson for Congress,68998,318970
Citizens for Theresa Schmitt,67000,322988
"Frank Miller for Associate Circuit Judge, Div. 3",65759,166397
Judge Jim Cooksey,65000,294988
Steve Privette for Judge,63047,285225
Matt Miller for State Representative,63000,273981
Mary Elizabeth Coleman,63000,210962
Becker for Franklin County Prosecuting Attorney,62963,186195
Bryan Stevenson for Judge,62922,284843
Dana Kelly-Franks for License Collector,62911,244536
Our Flag Our Country,61532,219444
Craig Fishel for State Representative - 136,61000,158993
Jon Patterson for State Representative,59915,269823
Missouri Farm Bureau,59000,190986
Tom Steyer,57692,238538
Sean Smith for State Representative,55856,259162
MedicareSupplement.com,55000,504682
Sclair for St. Charles,55000,259994
Save Our Air Medical Resources,55000,109998
Brian Williams for Missouri,52000,170960
Robert Sauls,52000,146973
Keri Ingle for Missouri,51815,218048
Self-Reliant Republic,51002,195004
Physicians Committee for Responsible Medicine,51000,104998
Protect Our Care,50000,100998
The March for Life,50000,99999
The Catholic Association,50000,99999
Andy Wood For Judge,50000,99999
Dan Hegeman,49565,247818
Missouri National Education Association,49000,200969
Jimmy Morris for Jasper County Collector,48912,221470
Heritage Action for America,48000,226022
Brandon Cooper for Judge,48000,224992
"Stephanie Morrell for Associate Judge, Division 11",47986,246893
Concealed Online,47358,213644
Charlie Norr,47000,210982
Citizens for Integrity & Accountability,45000,211993
Mike Fagras for Circuit Judge,44544,209043
Raleigh Ritter for State Representative,42941,184698
ACLU,42372,111035
Trisha Stefanski For Jefferson County Prosecutor 2018,42173,198850
National Loan Programs,42000,209994
Nate Walker for 18th District State Senate,41522,202589
Robert McCulloch - County Prosecutor,41000,208991
Christina Smith,40000,141992
Tom Lovell for Missouri Dist. 35,40000,140993
John Parker,39000,183979
Sonya Murray Anderson,38914,169552
Live Nation St. Louis,38237,76473
Charlie Franklin for Jackson County Legislature,38000,198980
The Voter Participation Center,37294,431716
Dolan for St. Louis County Council,37000,171992
Paulwrabec4jc,37000,169994
Patrons of Jeff Porter,37000,169994
Re-Elect Judge Shawn McCarver,36065,79089
Rericha for Camden County Presiding Commissioner,36000,165994
Mike Wood for Prosecuting Attorney,36000,149990
Nemo Jobs Survey,35000,159996
Chuck Replogle for Judge,35000,159996
Pitbullinfo.org,34000,145977
Megan Seay,32996,151968
Ed Page for Judge,32839,108494
Bob Oreskovic for State Rep,32000,203913
Breed Safety Laws Action Team,32000,130993
Mike Reuter for 23rd Judicial Circuit Clerk,32000,119984
PragerU,31825,65363
Ryan Dillon for State Senate,31000,178954
Representative Jean Evans,30988,112957
Missouri Marijuana Law and Reform,30237,123874
Solar Rebate,30001,79989
Henry Martin for Congress,30000,149997
"Green Party of Kansas City, Missouri",30000,142984
Elect Paul Woody,30000,104991
Elect John Black 2018,30000,74990
David Gregory State Representative,29968,92832
Elect John Russo Ozark County Prosecutor,29209,123392
Raychel Proudie for MO House 73,29000,138975
Robert L. Smith for State Representative - 152nd District,28885,71710
National Republican Congressional Committee,28807,86585
Essure Birth Control Litigation,28612,71531
Rob O'Brian for MO State Senate,27989,131905
Congressional Leadership Fund,27268,69332
Lisa Clancy for St. Louis County Council,27000,120994
Atwill for Presiding Commissioner,27000,107987
Mark Bishop for Prosecuting Attorney,26716,79349
American AF,26580,68980
Re-Elect Judge Veenstra,26000,114996
Holly Rehder,25935,114671
Coalition to Keep Us Safe,25429,113142
Michael for Missouri,25000,111995
New Approach Missouri,25000,109997
Jared Thomas for Judge,25000,109997
"Doug Richey, Candidate for MO House",25000,109997
Jacob Turk for Congress,24999,69772
Fire Vicky,24996,86961
State Representative Nick Schroer,24669,65713
Alliance Defending Freedom,24269,52815
Kyle For Clerk,24000,75987
Civiqs,23257,88025
Levi's,23070,47694
Mike Rogers for Jackson County Sheriff,23000,116993
Maren Bell Jones for Missouri House District 44,23000,105975
Jeff Coleman,23000,87991
Baker4Clerk,23000,54993
Jeff Riddle for Stoddard County Presiding Commissioner,22982,85902
"Animal Justice League of America, AJLA",22675,87124
ExxonMobil,22649,51319
Job Creators Network,22380,110745
Kevin Nelson for Missouri,22000,110995
SunSource Homes,22000,109996
Robert Butler for Senate,22000,49994
"Law Office of Jessica Piedra, LLC",22000,49994
Steidtmann for Missouri,21765,103783
Dave Ernst,21691,103164
Teamsters Local 688,21000,104997
James D. Conn,21000,64986
Shellie Montemurro for Committeewoman,20999,44993
Ian Mackey,20963,91880
Sierra Club,20734,75673
Yoder Wrong for Kansas,20493,48373
Elect Madison County Circuit Judge David W. Dugan,20414,78193
Alliance for Justice Action Campaign,20000,388680
Committee to Elect Jason Shaffer,20000,108980
Don Mayhew,20000,103932
Thrive Family Chiropractic,20000,99998
Mark Ellebracht,20000,99998
"Dan Houx, State Representative 54th District",20000,99998
Daily Independent News,20000,99998
Chuck Hoskins For State Rep,20000,99998
Bruce Goodrich for State Representative,20000,99998
Prewitt4Judge,20000,71986
Mik Chester for State Rep,19995,69979
Matt Michel for State Representative of District 153,19959,74777
Campaign Armor,19893,69462
United States Constitution,19246,43650
Mark Richardson for Prosecutor,19000,82991
David Evans for State Representative,18993,80977
Everytown for Gun Safety,18861,47884
Military Network,18730,49931
Chris Miller for Treasurer,18594,85022
Yvonne Reeves-Chong Pulaski Dem Committeewoman,17997,90941
JamieSchoolcraft ForCongress,17978,107863
Crystal for the County,17837,75177
Greater Kansas City Women's Political Caucus,17774,56183
Ann Kelley MO Representative,17609,62443
Swing Left,17592,50393
The Western Journal,17569,53397
Ben Shapiro,17531,36443
Chris Evans for Missouri District 9,17211,74249
Conservative Gear,17189,52100
Beetem for State Rep,17000,89978
George Heim for State Representative,17000,75977
John Russell for Monroe County Prosecutor,17000,70995
Dayrell Scrivner for Taney County Prosecutor,16977,56872
Diane Franklin,16974,77846
Blue Cross and Blue Shield of Kansas City,16603,53426
St. Louis Record,16131,52580
Adam Schwadron for Director of Elections - St. Charles County,16000,65996
David Dolan,16000,64997
Ron Cleek for Judge,16000,51990
Sara Lampe for Greene County,16000,50991
Vote Thom Wyatt- 123rd MO State Representative,16000,36994
"William Thomas ""Dub"" Duston",15931,67689
Robert Stokes,15703,52154
People United for Privacy,15320,404285
VoteTogether,15016,63380
David Park - Park4Platte,15000,76962
Saint Francois County Republican Central Committee,15000,67981
Friends of Pfister,15000,29997
"Rebecca Purington, TN House, District 61",14997,59991
Noga Sachs for Congress,14987,47947
Ralph Innes for Butler County Associate Circuit Judge,14422,72106
Seniors Speak Out,14400,29022
Mitch Weber for Missouri,14350,72538
Definition.org,14027,32234
"Amy Poelker Ward 2 St. Ann, Mo.",13998,55980
Arimeta DuPree,13563,43640
The Boeing Company,13211,28925
Sarah Mills for State Representative,13000,65995
Elect James Cordrey,13000,64996
Bergland For Missouri,13000,41988
Elect Jason MacPherson Judge,13000,36993
Brianna Lennon for Boone County Clerk,12978,68882
Michela Skelton for the 50th,12409,63995
Adrian Plank for the 47th,12315,35624
MoveOn,12304,87652
Kamala Harris,12006,37980
Jeff Munzinger,12000,65982
Greg Hasty,12000,65960
Pat King for Judge,12000,60996
Brent Teichman For Judge,12000,59997
Kyle Bone for State Representative,12000,59995
DogsBite.org,12000,51974
Nathan Williams for MO State Rep 123rd,12000,45991
Paul Oesterreicher For Prosecutor,11806,60880
Concerned Veterans for America,11695,43492
Women Vote KS-03,11448,33469
Madison/St. Clair Record,11439,31604
Better Medicare Alliance,11234,26992
4ocean,11195,28056
Judge Heinz Rudolf for Circuit Judge,11059,55497
Lisa Buhr for Callaway,11000,69974
Kevin O'Brien for Judge,11000,65987
AARP Missouri,11000,25996
Unity Southeast in Kansas City,11000,24997
Re-Elect Judge Scott T. Horman,11000,24997
Bill Eigel,11000,24997
Vicky Hartzler,10928,54641
Shaun King,10790,22303
Orman for Kansas,10525,22450
Elizabeth Warren,10370,31186
Energy Citizens,10168,25134
Joshua Shipp For Congress,10084,51116
Courtland Sykes for Senate,10000,54962
Likewise,10000,50998
Children's Education Alliance of Missouri - CEAM,10000,50998
The Van Trump Report,10000,49999
Randy Pogue for Mayor,10000,49999
People Against Bassem Masri for Missouri State Representative 2020,10000,49999
Missouri Firearms Coalition,10000,49999
Missouri Cattlemen's Association,10000,49999
KIPP St. Louis,10000,49999
Friends of Peggy McGaugh,10000,49999
Col Rob Maness ret,10000,49999
Bad Egg Investigations,10000,49999
Bier Station,10000,35993
"Ryan Wescoat, Cass County Auditor",10000,34994
Re-Elect John Bartosh,10000,19998
Mobilize Missouri,9994,40957
"Chadwick Bicknell for US Congress - R, MO District 3",9994,19987
Relevant Seminars,9976,51869
Eastern Missouri Laborers' District Council,9952,49758
Jim Falk Motors - Home of Driveplicity,9885,49422
Charlie Kirk,9662,19322
Douglas Pewitt for Associate District Judge - Ottawa County,9536,31941
Shield Republic,9451,24073
Central Labor Council,9212,46061
"Jim Bowlin, Mayor of Wildwood",9000,56979
Luke Bryant for Marion County Prosecuting Attorney,9000,30994
Teresa Bingham,8996,35974
Jay Sidie for Congress,8984,49423
Boredom Therapy,8947,25075
Democratic Coalition Against Trump,8865,28252
Clay County Public Health Center,8705,43525
Color Of Change,8664,44158
Patrick Naeger,8598,29191
First Quote Health,8598,23649
Jeff Merrell,8262,42309
John P. Burnett,8000,28992
Travis Fitzwater,8000,25995
Suzie Pollock for Representative,8000,25995
Comely For Collector,8000,25995
Planned Parenthood,7975,26450
Mike Revis,7909,40534
Convention of States,7875,19064
St. Martin's Press,7802,18624
Ted Cruz,7769,15538
Make America Great Again - Republican,7356,14713
Serena Schermoly for Mayor,7343,31064
Land Rights Advocates for Nate Walker,7340,36698
"Historic Downtown Liberty, Inc.",7272,36361
When We All Vote,7037,21789
Jason Lamb,7000,44983
Local Taxpayers for Responsible Spending,7000,38989
Citizens for Progress,7000,37990
Save the Last KC Forest,7000,36991
Judge Scott Hayes,7000,34982
Nathan Kelsaw for Dent County Associate Circuit Judge,7000,21995
Chris Beyer,7000,20996
Young Voices Vote,7000,19997
World Community Center,7000,19997
