Maryland Matt Rosendale,5096000,13021835
End Citizens United,4849990,10936212
CFGA Montana,4014866,9570534
Kathleen Williams for Montana,3435502,11327495
Healthy Montana Campaign,3365699,11065134
Restoration PAC,2408385,7076612
No On 185,2291000,5777909
Matt Rosendale,2168000,6302866
Stop I-186 To Protect Miners and Jobs,1542000,4759844
Montana True,1313000,3140926
LCV Victory Fund,1307038,3540154
CFG Action,1022000,2677953
FutureinAmerica,954000,2477923
Truth About Tester,781000,1907981
Jon Tester,581829,2376102
Greg Gianforte,559000,2358797
Susan B. Anthony List,555000,1210993
Americans for Prosperity,552076,1653618
NumbersUSA,515000,1260993
Montanans for the Six Mill,491000,1338935
Orvis,477000,1266970
Vote The Outdoors Action Fund,408000,1815939
Living Free,336816,755068
Center for Western Priorities,325144,831706
Patagonia,311547,908699
YES for Responsible Mining,311000,839968
Jared Pettinato,300000,699997
America First Action,280000,800010
Montana Women Vote,260000,699992
National Shooting Sports Foundation | NSSF,255000,759993
Dr. Al Olszewski for Senate,245000,609992
America First Policies,233704,906339
AFP Action,225000,659990
Montana Wildlife Federation,217900,578739
Donald J. Trump,215807,949859
Ending Spending Action Fund,212000,565982
Concealed Online,182246,579829
"Russ Fagg, Candidate for US Senate",182000,788928
Western Values Project,178000,858955
Sportsmen and Sportswomen for Tester,175000,458978
POW Action Fund,172000,531986
YouGov,167670,366732
314 Action,151049,308237
Fed of American Hospitals,147000,616973
Modern Medicaid Alliance,143000,471947
Montana Republican Legislative Campaign Committee,137000,549980
Hecla Montana,130837,476662
CVA_Action,130000,349995
Montanans Against Higher Taxes,121000,356958
Daniel Zolnikov,120000,467976
Civiqs,111366,509435
One Nation,111014,549037
ExxonMobil,104429,211719
Protect Our Care Montana,103000,335989
OPH PAC,101000,357990
Jason Ellsworth,100990,402931
National Wildlife Federation Action Fund,90000,270993
Jobs for Montana PAC,89000,390429
Environmental Policy Alliance,88000,425987
Women for Tester,87998,427976
Our Flag Our Country,84562,378781
Our Public Lands,84000,527753
GOP,83001,907424
Ben McKee for Montana,83000,249988
Robert Farris-Olsen,80000,238844
Better With Age,79093,339441
Montana Wilderness Association,76835,360162
Joey Chester for House District 63,76000,323981
Ashley Harada for District Judge,75999,310929
AFL-CIO,73000,188989
The Holy Tribune,72998,214988
Schreiner for Legislature,71000,205995
Black Butte Copper,65000,309993
Northern Plains Resource Council,65000,284978
Rex Renk for Clerk of the Supreme Court,63000,214978
Swanson For Liberty,62000,219989
Amelia Marquez for HD 52,58000,237977
Pope for HD65,55000,248985
Self-Reliant Republic,54185,260457
Thomas Pardy For Judge,53000,234991
Vet Voice Foundation,50000,99999
Faith and Freedom Coalition,50000,99999
Don Jones for Yellowstone County Commissioner,49000,200989
Native Americans for Tester,48000,189976
Citizens for Tobacco Rights,43437,167059
Montanans For Limited Government,42000,209994
Veterans for Tester,42000,181991
"Alliance for a Better American Tomorrow, Inc.",41000,206993
Montana Food Bank Network,40000,199996
JayNelson ForSheriff-Coroner,40000,111982
"Big Horn County, Montana",39948,147639
Scott MacFarlane for Gallatin County,38000,183964
Women For Civility,37000,170993
Americans for Prosperity Foundation,36636,80161
Forward Montana,36000,152987
Slaughter For Sheriff,35000,99994
Andy Shirtliff for Montana,34000,144978
Students for Tester,33000,169989
Americans for Prosperity-Montana,32000,129994
Brodehl For County Commissioner,32000,92980
The Nature Conservancy,31006,160032
Senator Mary McNally,31000,165956
Yes for Fire Safety - Helena,30000,150996
MO Research,29993,149961
Dan Vermillion for State Senate,29000,120973
Protect Freedom PAC,29000,110981
TomHalvorson,28796,92159
The Wilderness Society,28760,101493
Montana Prosperity PAC,28000,94993
Military Network,27130,93642
Save Our Smith,26000,114996
Vote Brad Johnson for Montana PSC,25000,109997
Failed Tester,25000,109997
Colstrip United,25000,109997
Seth Mangini,25000,89977
Adam Hertz,24000,104915
Metzger for Clerk and Recorder,24000,92990
Auto Alliance,23000,114995
Sullivan for Justice of the Peace,23000,85993
