"Conservative Leadership Alliance, Inc",509000,1349986
One Nebraska Coalition,463000,1323972
Deb Fischer,349000,953978
Bob Krist for Governor,285825,1148599
Civiqs,259203,681836
Better Roads Nebraska,135000,659986
Jane Raybould,106864,378299
Marsha Fangmeyer for Legislature,102000,485972
Congressional Leadership Fund,82844,421136
Danner For Nebraska,64000,169976
Christa Yoakum for Public Service Commission,46000,230989
State Senator Adam Morfeld,46000,184993
Pete Ricketts for Governor,45000,209995
Don Bacon,44984,209918
Tom Steyer,43938,207093
Energy Citizens,43905,205499
Donald J. Trump,43813,287088
America 101,30000,104991
Jennifer Hernandez for Clerk,27000,138958
OpenSky Policy Institute,25000,105981
Re-Elect Senator Laura Ebke for Legislature,24000,129946
State Senator Matt Hansen,22000,79995
Re-Elect Sheriff Tim Dunning,16000,97975
Platte Institute,16000,82990
Tom Brandt for Legislature,15998,50981
MO Research,15376,62453
MedicareSupplement.com,13000,248792
VoteTogether,11221,56906
Bold Nebraska,11000,58994
Jackie Collett for Legislature,11000,54998
Senator Laura Ebke,10810,41505
ACLU,10553,30128
Pivot Bio,10055,20110
DoSomething.org,10021,50107
Scott Winkler,10000,49999
Insure The Good Life,10000,49999
Amigos/Kings Classic,10000,49999
AFP Foundation Nebraska,10000,49999
Job Creators Network,9742,48708
Free Press Action Fund,8939,44963
Max I. Walker,8576,42878
National Republican Congressional Committee,8182,46111
Grand Island's Future,8000,41990
Sean Flowerday for County Commissioner,8000,25995
2nd Amendment For Life,7216,14679
Americans for Prosperity,7025,35148
Holland Children's Movement,7000,35992
Vote Matt Schulte,7000,26990
Heartland Workers Center,7000,22511
Nebraska Young Democrats,7000,19997
Nebraska Corn Board,7000,19997
American Heart Association - Nebraska,7000,19997
PragerU,6662,17014
Alex McKiernan for Norris Public Power Board,6000,14998
Co-ops Vote,5900,17961
Planned Parenthood,5684,16393
Concealed Online,5184,16598
TIII Operational Solutions,5000,9999
Restore Chiropractic - Elkhorn,5000,9999
Megan Hunt for Nebraska,5000,9999
LNK Housing,5000,9999
Colten for Council,5000,9999
Hilkemann for Legislature,4896,28434
Matt Deaver for Legislature,4784,25813
Conservative Gear,4748,12299
Sierra Club,4724,11294
Douglas County Democrats,4640,9279
American Action News,4504,9008
Erik Servellon for Learning Community,4502,16922
Michael Knowles,4418,8871
United States Constitution,4389,11358
American AF,4186,12134
NRA - National Rifle Association of America,4009,9030
Glen Ellis Fremont City Council - Ward 2,4000,19996
Elizabeth Warren,3978,10390
4ocean,3855,8358
NARAL Pro-Choice America,3783,8784
Levi's,3754,7508
Turning Point USA,3709,9523
NRATV,3662,9209
ExxonMobil,3620,9308
Proud To Be A Republican,3616,7232
Ben Shapiro,3552,9016
Progressive Caucus,3511,7022
Progress News Network,3456,7648
Life Changing Videos,3016,6048
Rachel Garver For Lancaster County Treasurer,3000,16995
Bogner for OPPD,3000,16956
Republicans for the Rule of Law,3000,16027
Lancaster County Republican Party,3000,15996
Jim Begley for MUD Board,3000,14997
Reagan Rosenberg for Elkhorn School Board,2666,15133
Democratic Senatorial Campaign Committee (DSCC),2557,6662
Mic,2528,6112
Alliance Defending Freedom,2495,7435
NRSC,2447,6568
NewsBusters.org,2336,5851
The Lone Liberal Republican,2320,11598
America First Policies,2277,7888
Everytown for Gun Safety,2243,6671
Love Crunch,2193,4389
"Brenda Hansen For Clay County, NE Assessor",2000,15992
Brian Kavanaugh for City Council,2000,12995
Marque Snow,2000,10997
Garman for Elkhorn School Board,2000,10997
Nebraska Catholic Conference,2000,9998
Mexico-US Trade,2000,9998
Ask Taxpayers,2000,9998
Nancy Meyer for Lower Platte North NRD,1996,11975
Our Revolution Nebraska,1986,9929
Conservative Tribune,1951,4938
Joe Walsh,1950,4898
Women Vote IA-03,1910,4476
Swing Left,1908,5972
Fahrenheit 11/9,1905,4277
"I'll go ahead and keep my guns, Thanks",1902,4477
Andrew Janz,1899,5081
U.S. Chamber of Commerce,1868,4418
Cindy Axne,1858,4095
Stand for the 2nd Amendment,1852,4302
Silkies,1816,4539
22 Words,1733,6887
AFL-CIO,1701,4291
Beto O'Rourke,1639,4166
Howstuffworks,1605,4044
2nd Amendment Rights,1568,4101
We The People Holsters,1568,4069
Proud Americans Supply Gear,1556,3111
People United for Privacy,1540,4065
Live Action,1537,3863
Total Wealth Research,1510,3775
Ocean Conservancy,1500,6383
David Young Wrong for Iowa,1495,3411
FreightWaves,1434,4053
CheapCaribbean.com,1411,3528
NRDC,1365,6009
Kirsten Gillibrand,1364,3719
That's Just North Dakota,1344,2692
Taxotere Lawsuit Information,1329,3746
Captains for Clean Water,1319,6856
The Home Depot,1301,3252
All Star Team Roping,1296,2591
Shield Republic,1291,3972
Marsha Blackburn,1288,3220
Sashka Co.,1277,3192
The Jim Jefferies Show,1275,3584
Maha Sattva LLC,1270,3175
Woodbury County Democratic Party,1228,2455
Ben & Jerry's,1160,3211
PrintedKicks,1137,2451
The Daily Show,1127,2401
Concealed Carry,1115,2229
My Pay My Say,1102,2205
TopBuzz Advertising En,1053,2632
DiversityInc,1030,2369
BookTV,1030,2060
NEA Today,1022,3221
Proud American Hunter,1007,3253
News Break,1000,8995
MYLPA,1000,6997
Rick Vest for County Commissioner,1000,6986
Solar Rebate,1000,5998
Paul Theobald,1000,5998
Nyok Kuoiloi for MCC Board,1000,5998
Maggie's List,1000,5998
Wendy Kreis for Kearney Public School Board,1000,4999
Wayne Baker Brooks,1000,4999
The Women's Fund of Greater Omaha,1000,4999
The Party of Reason and Progress (PORP),1000,4999
Thank you Senator Groene,1000,4999
"Tessa Warner, Realtor, Ferris Realty Group, Re/Max Concepts",1000,4999
Jeff Jezewski,1000,4999
Hal Daub,1000,4999
Douglas County Treasurer's Office,1000,4999
Doug Oertwich for Legislature,1000,4999
Don Schuller for Legislature,1000,4999
Die To The Flesh Music,1000,4999
Defend Our Constitution,1000,4999
Dawg's Hut,1000,4999
Center for Rural Affairs,1000,4999
AARP Nebraska,1000,4999
Queer Eye,998,1996
theSkimm,995,1991
Proud Americans Supply,982,2187
Sand Cloud,946,3169
UNO Goldstein Center for Human Rights,942,4707
Jared Polis,935,4337
Save the Storks,934,1936
Penzeys Spices,923,2391
Southern Poverty Law Center,912,1824
Chuck Schumer D-NY,895,2370
Power In Cooperation,882,2609
forhims,879,2286
True Conservative,876,1802
Patriot Depot,872,3131
FCTRY,851,2126
Winning For Women,846,3047
FreedomWorks,824,1866
BuzzVideo Advertising En,815,2038
National Domestic Workers Alliance,804,2035
Greenpeace USA,802,2375
Drive23,798,1595
Pfizer,777,1999
Erase The Hate,776,1579
The Years Project,773,2279
Democratic Governors Association (DGA),762,1597
Gentner Drummond,760,1519
End Citizens United,759,2478
Devin Nunes,745,1489
Roger Stone - Stone Cold Truth,737,1661
IFC PAC,727,4148
Joe Kennedy III,726,1964
Catholic Relief Services,716,1523
Nine Line Apparel,715,4490
Chad Benson Show,679,1446
Dissent Pins,676,1956
Boredom Therapy,666,1939
Independent Voter,657,2278
National Democratic Redistricting Committee,645,2075
UPROXX News,630,1457
Charlie Kirk,616,1231
Pocket Politics,581,1554
ClearPath Action Fund,572,1530
Sun Gazing,568,1136
Kamala Harris,566,4785
Union of Concerned Scientists,566,1131
SAM - Serve America Movement,560,1382
Paramount Network,558,1117
The News Literacy Project,557,1115
Cargill,555,1109
Jewish Voice Ministries International,533,2570
Larry Hogan,523,1323
The Western Journal,521,1143
Human Coalition,518,1594
Omaze,515,1030
Democrats,514,2546
International Rescue Committee,514,1345
Ben Ferguson,509,1017
Hernia Mesh Lawsuit Information,493,1232
Donald J. Trump - Keep America Great,483,1180
National Partnership for Women & Families,481,962
Ryan Berg-Author,462,2312
Ben Swann,460,1111
Scott Walker,459,992
NRA Institute for Legislative Action,455,926
Josh Haeder for State Treasurer,450,2247
Heidi Heitkamp,448,1382
Pocket Tower,446,892
Free Together,442,2212
America's Navy,435,1102
LifeDaily,429,1312
United Moms,422,1293
Mercy For Animals,421,2045
Peoples Climate Movement,421,1783
Zillow,409,818
OAF Nation,405,1033
MoveOn,403,8921
The A.V. Club,403,807
Showtime Documentary Films,398,848
Jeff Merkley,396,1330
The Denver Press Club,395,1976
SunPower,395,790
The Bank TV Show,378,756
45 Hats,375,1796
Likewise Media,373,843
Stand Up America,372,2708
Kevin McCarthy,371,1000
OilPrice.com,369,737
I Am An Immigrant,367,1159
TrumpRussia2018 .com,367,734
Human Rights Campaign,366,1488
YouGov,363,726
Start Here,363,726
Congressional Black Caucus PAC (CBC PAC),362,723
Cold Dead Hands,359,935
Help for Essure Victims,357,1941
ATTN:,351,702
Lets Make USA Great Again,348,1745
Allie on CRTV,343,767
Larry Sharpe for New York,342,685
Lower My Bills,342,684
Oceana,339,2736
Demand Justice,334,888
Medicare for All,323,645
American Regents Club,321,1789
Legends of the NBA,308,616
The Young Turks,307,1304
Parks Project,306,642
Donald Trump Is My President,305,664
Zephyr Teachout,299,710
The Brookings Institution,292,1218
Emerge America,292,601
Eric Swalwell,291,586
Dinesh D'Souza,290,3024
Proud Right Winger,285,968
Great America PAC,285,596
LifeZette,274,8005
Giffords,271,1387
Don't Slack,271,1353
Louder with Crowder,270,1443
We Are The Mighty,268,1302
Made In America Tax,268,724
Best Friends Animal Society,267,552
The People For Bernie Sanders,263,527
HILL TV,262,2325
Dr. Jeff Colyer for Governor,257,1274
Ammar Campa for Congress,254,579
Kyrsten Sinema,252,540
Paul Pate for Iowa,251,525
Armed American Supply,249,2513
Dave Dodson for Senate,247,608
NRDC Action Fund,246,1072
VICELAND,246,491
Patriotic Drop Shop,244,823
Debbie Stabenow,235,582
UPROXX,234,469
Amnesty International USA,230,1188
Mallory Hagan for Congress,229,634
David Baria for Mississippi,226,484
EveryLibrary,211,1062
Get Off My Lawn with Gavin McInnes,211,693
Rugged Country,210,1048
Young America's Foundation,209,983
Alexandria Ocasio-Cortez,207,473
DC Statesman,204,1038
In the Woods with Phil,202,964
EMILY's List,198,1070
Better With Age,198,544
ASMDSS,197,746
Jeremy Wardell for Sheriff,196,977
Martin Gubbels for State Senate District #3,195,1033
Animal Matters,193,634
Bloomsbury Publishing USA,189,377
Oxfam,185,638
American Gun Association,183,789
Breaking Big,180,899
Pete for Iowa,179,895
Richard Painter,178,364
Democratic Association of Secretaries of State,177,889
GreaterHalf.com,176,502
Abortion On Our Own Terms,175,886
Military Tees,175,811
PolicyEd,174,693
Sherrod Brown,173,517
ZickWorld,170,340
Walden University,170,340
Celebrity Voice Changer,169,422
Humane Society International,169,338
Antonio Delgado,169,338
Jacky Rosen for Nevada,168,578
Bird + Stone,167,870
Let Africa Live,167,358
Tim Bjorkman,166,375
UnitedHealthcare,165,794
My Shop Therapy,164,815
Kialo,163,568
Tim Ryan,160,803
The Wilderness Society,159,359
News Procession,157,325
"Red, White, and F You: Unapologetically Patriotic",156,781
Gamewatchers Safaris & Porini Camps,156,390
Lebowski Lovers,154,832
Fuel Freedom Foundation,152,305
Exclusive Apparel,149,1738
Learn Our History,149,775
Abdul El-Sayed,149,659
Tax March,148,623
National Network of Abortion Funds,147,799
When We All Vote,147,730
Defend Birth Control,146,350
Ryan Cwach for State Representative - District 18,145,789
Goods Unite Us,145,555
Environmental Defense Fund,144,742
Roxanne Weber for District 24,142,708
Union Patriots,139,381
Unite America,138,769
Adam Schiff,138,744
American Heart Association: You're the Cure,137,560
Pancreatic Cancer Action Network,137,524
CFGA Montana,137,301
The Daily Signal,136,542
Kristie Fiegen for South Dakota,131,269
PCCC - BoldProgressives.org,129,688
Convention of States,129,653
Left Action,129,647
Protect The Harvest,129,257
Judicial Watch,128,529
USPS Business,128,502
Little Pink House,127,635
Americans for Prosperity Foundation,127,254
Topix Stars,124,620
Great American Era,120,599
Donald J. Trump - USA,120,538
The Commonwealth Fund,119,599
Ryan A. Farber,118,591
White Coat Waste Project,117,1073
Raising Tomorrow,115,582
Axiom Strategies,115,576
UltimateStraw,114,519
Blue Wave 2018,111,552
John Cox for Governor 2018,111,223
Unspeakable Crimes,108,563
Terri Sewell,108,541
Warrior 12,108,539
Push Digital Inc,108,539
Michael Medved,108,538
No Labels,108,222
Dan Klimisch,106,669
First Quote Health,103,516
Unseen,103,514
Rainforest Action Network,103,512
Josh Hawley,103,206
Asa for Governor,101,203
People,100,502
John Kasich,100,415
Conversations with Bill Kristol,99,624
Midwest Grain,99,492
"Brenda Hamilton, Attorney at Law",97,487
Signs On The Cheap,97,486
350.org,97,486
Dave Lislegard For MN House 6B,96,478
Team Trump 2020,96,477
Be A Hero,96,461
Melinda Avey,96,191
UAEUSAUnited,95,474
Defenders of Wildlife,94,482
Making America Great Again,93,463
Cornerstone Television Network,93,463
"Tactical Air USA, LLC",93,406
The Leadership Conference on Civil and Human Rights,92,345
Build With Strength,91,462
Carbonated.TV,91,454
2nd Vote,91,454
GZERO Media,91,453
John Uhrin,91,182
Distractify,90,1312
Le Murarmy,90,461
Colorado Values Project,89,404
Cathy Myers,88,1403
Marian Ryan,88,175
CollinsFlags.com,88,175
National Debt Relief,87,434
Help for Ovarian Cancer Victims,87,434
Hornet Stories,87,366
Democratic Legislative Campaign Committee - DLCC,86,428
Restoration PAC,85,428
Best Medicare Plans,84,448
My America,84,420
Gell.com,83,445
SpeakEasy Political,83,430
Tom Udall,83,415
Better Medicare Alliance,83,415
Serve America,83,414
Blue Wave,83,380
Save the Children US,83,247
CREDO Mobile,82,691
Kyle Reyes,82,412
Random House,82,410
Bernie Sanders,81,410
John James,80,401
The Nib,80,185
Friends of the IDF (FIDF),79,567
Presidential Collections,79,396
The Texas Monitor,79,394
Tactical Pro Supply,79,300
45th President Donald J. Trump,79,240
Chris Evans for Missouri District 9,79,222
Ed Markey,78,388
Chipotle Mexican Grill,78,194
Modern Conservationist,77,386
Taxation Solutions Inc,76,382
Personal Liberty,76,378
Media Research Center,76,378
Audible,75,377
Sioux County Conservatives,75,376
No Kid Hungry,74,375
The Devil We Know,74,369
National Audubon Society,74,231
Leadership Institute,74,206
Independent Women's Voice,73,385
2atees1,73,374
SubjectPolitics,73,363
Stacey Abrams,72,431
SlutBox,72,392
Elect Republicans Everywhere,72,360
Harley Rouda,72,359
"Johnson & Johnson, Together to Better",72,358
Lucy McBath for Congress,72,354
Denise Grimsley,72,143
Science for Humans and Freedom Institute,71,3098
Julie Oliver,71,356
Our Pet Card,71,355
Save Animals Facing Extinction,71,354
FinGlobal,71,354
charity: water,71,353
Upworthy,69,536
The Opposition w/ Jordan Klepper,69,347
American Financial Advisory For A Better Future,69,347
Ryan Hampton,69,344
Your Energy,69,314
Solar Energy Today,69,196
Ron DeSantis,69,138
One Nation Design,68,229
Notorious Rbg - Protect Women Power,68,169
Define American,68,136
US Health Advisors,67,337
Colorado Democratic Party,67,337
The Trump Prophecy Movie,66,621
Make America Great Again - Republican,66,331
Print For Progress,66,328
Women For Civility,66,132
WhyHunger,65,405
Sector 7G,65,334
Rick Neal for U.S. Congress,64,264
Giving Brush,63,293
Survival Life,62,311
I Love Carcavelos,61,307
Cheddar,61,306
Electric Nation: Powered By Wind,61,146
I'm Hope,60,309
Republican State Leadership Committee,60,302
Deidre DeJear,60,121
Chris Paradies Campaign,60,120
Truthout,59,296
Grow America's Infrastructure Now,59,295
House of Patriots,59,190
Ranker,59,178
Gates Foundation,59,134
Democratic Party,58,34772
Anera,58,306
Shaun King,58,302
Jay Sekulow,57,285
Thrasher Coffee,57,283
Daily Quotes,57,283
Association for Accessible Medicines,57,227
Equality Florida,57,136
Reader Copies,57,115
End Party Politics,56,282
Minerals Make Life,56,281
American History TV,55,277
Texans for Natural Gas,55,114
Patrick Windhorst for State Representative,55,111
Lesia Romanov,55,111
Fortune,55,110
John K. Delaney,54,4146
CRTV Tonight with Gavin McInnes,54,911
Campaign Headquarters,54,108
MJ for Texas,53,277
Trendy Butler,53,266
The Sorensen Institute for Political Leadership,53,262
The Nature Conservancy,53,261
Shout Your Abortion,52,307
American Jewish Congress,52,260
Eric Garcetti,52,258
Friends of the Earth U.S.,52,257
French Hill for Arkansas,52,130
Indivisible Guide,51,279
Thomas Ryan,51,266
I Love My Freedom,51,187
Center for Biological Diversity,51,184
DeplorableWear.com,51,102
Portfolio Books,50,249
Adoption NOT Abortion,50,249
Planned Parenthood Action,50,167
Altamar with Peter Schechter and Muni Jensen,49,245
Andrew Shaffer,49,125
Jewish Leadership Conference,49,122
Kill Federal Overreach on Trucker Wages,49,98
Daily Vine,49,98
