SEAL PAC Supporting Electing American Leaders PAC,454999
"Conservative Leadership Alliance, Inc.",200000
Alliance For Taxpayers,100000
Fair Elections Lincoln ,50000
Mauro Congressional Campaign Team,21507
Pivot Bio,10055
Winkler for Legislature,10000
Tom Steyer,10000
"Thibodeau for Legislature 12811 Izard St., Omaha, NE 68154",10000
Raybould for US Senate,10000
Platte Institute,10000
PioneerMedia,10000
Nebraska Democratic Party,10000
Marsha Fangmeyer for Legislature,10000
"Insure The Good Life, a community-led grassroots campaign to let Nebraskans vote to expand Medicaid.",10000
Growth Energy.,10000
Don Bacon for Congress,10000
Associated General Contractors - Nebraska Chapter,10000
Americans for Prosperity,10000
Ellen Weissinger for Southeast Community College Board Committee,9996
"Barbara Weitz for Regent, 110 N 92nd St, Omaha, NE 68114",8951
Wishart for Legislature,5000
Tom Brandt for Legislature,5000
Pete Ricketts for Governor.,5000
Neighbors for Megan Hunt,5000
Nebraska Rural Electric Association,5000
Merv Riepe for Legislature,5000
Heartland Workers Center,5000
Hansen for Legislature.,5000
Drew Blessing,5000
"Daub for Regent / 314 N. 97th Court, Omaha, NE 68114 / Vern Dolleck, Treasurer",5000
Colten for Council,5000
Bob Evnen for Nebraska,5000
America 101. Not authorized by any candidates or candidates committee.,5000
AARP Nebraska,5000
Friends of Lindstrom Committee 14911 Lake Street Omaha NE 68116,4932
Retirement Elevated,4644
Douglas County Democratic Party,4640
American Action News,4504
Mosaic,4350
Hulu,4307
Media Research Center,4106
Levi Strauss & Co.,3754
Progressive Caucus PAC,3511
CHC BOLD PAC,2743
Marci For Senate Dist 3,2426
Mic,2113
Indivisible Action,1941
HowStuffWorks,1594
Supporting American Values,1577
Convention of States Action,1571
CheapCaribbean,1411
U.S. Chamber of Commerce,1367
News For Democracy,1344
Blackburn Tennessee Victory Fund,1288
Woodbury County Democratic Party,1228
JVMI,1205
International Rescue Committee,1187
Axios Partner,1084
the Nebraska Republican Party.,1000
the Nebraska Corn Board,1000
the Holland Children's Movement,1000
"Zito Media. We are a Cable, Phone and Internet Provider. Pricing, equipment availability, services available, and internet speeds vary based on location. ",1000
Wendy Kreis,1000
Vote Schulte,1000
"The Party of Reason and Progress, a 527 political organization, through its Facebook-authorized executive staff.",1000
Team Schuller LD30,1000
Shoot4Life,1000
Secretariat of Economy (Mexico),1000
"Rachel Garver for County Treasurer PO Box 84154 Lincoln, NE 68501, Ed Zimmer, Treasurer",1000
"Neighbors for Sean Flowerday.  2901 A Street, Unit #106, Lincoln NE, 68510",1000
Neighbors for Sean Flowerday.,1000
Nebraska Young Democrats,1000
Nebraska Health Care Association and LeadingAge Nebraska,1000
National Solar Rebate,1000
Mitch Merz For City Council,1000
