NO on 3,31474000,76098105
Dishonest Dean Heller,14489000,34663546
"Yes on 3, the Energy Choice Initiative",9190000,21584849
Dean Heller,4753000,12494593
Putting Nevada First,4531000,17068126
Building a Stronger Nevada,4251000,10133896
YES on 6: Clean Energy for NV,4203000,10293879
Jacky Rosen for Nevada,3375376,10746164
Marsy's Law for Nevada,3311000,7463955
NextGen America,2655879,6737701
Freedom Partners Action Fund,2069000,4961938
One Nation,2047090,5367885
Nevada Counties Solar Program,1915000,13782442
End Citizens United,1701696,4005580
Strong Public Schools Nevada,1336324,3887502
Heller Nos Falló,1170000,3653865
Nevada Conservation Political Action,1050989,2875803
Nevada Corruption Report,1009000,2912940
Shady Steve,971981,2359889
Laxalt Taking Nevada Backward,945000,3853310
Senate Leadership Fund,784355,2942203
Adam Laxalt,725765,2062433
Susie Lee,714086,2182167
Nevada News Now,704000,1665968
Senator Spineless Dean Heller,627000,1931889
Color Of Change PAC,605098,1701733
Republican Governors Association (RGA),555018,1449956
Tom Steyer,535954,1397170
AARP Advocates,530000,1349993
Planned Parenthood Action,512014,1067091
Center for Western Priorities,510000,1149994
Steve Sisolak,494743,1425666
PLAN Action Fund,481947,1029879
Solar Programs In Nevada Counties,479990,8498184
Silver State Sentinel,477000,1279968
Aaron D. Ford,418995,1339923
Joe Lombardo,406998,1226960
Our Lives Our Vote,386000,1367843
Ed Uehling for Lieutenant Governor Nevada 2018,377000,821989
Jesse Sbaih for Senate,360000,838986
James Dean Leavitt for Judge,352998,1077964
MO Research,344909,899505
Everytown for Gun Safety,330616,1504162
The Center for Community Change Action,327435,1289856
Jill Dickman,312000,763991
Solar Energy Today,308356,1179128
NARAL Pro-Choice America,282492,662814
Michael Roberson,244646,580104
Danny Tarkanian Can’t Hide The Truth,235998,700972
Nevada Conservation League,208000,520980
Rachel's Action Network,200000,500998
RenoElections.org,194865,603702
AARP Nevada,186993,561969
Tax March,180266,451158
Dina Titus,169998,501765
NRCC IE,165996,656929
Human Rights Campaign,146040,650513
Protect Our Care,128000,325992
Catherine Cortez Masto,120000,449992
Nevada Right to Life,115000,561986
Danielle Ford for CCSD School Board Trustee in District F,114000,550732
Cresent Hardy is Bad for Nevada,110000,249998
U.S. Chamber of Commerce,108666,498311
ClearPath Action Fund,105209,430423
POW Action Fund,103012,337048
Tea Party Nation,100000,199999
Californians for Rosen,100000,199999
When We All Vote,99824,199807
Badlands News,95000,309994
Tim Bedwell,88017,296312
Justin Jones,83993,301945
Danny Tarkanian,81623,379173
All Above All Action,80000,264972
Solar Rebate,78001,274973
Sierra Club,77296,224308
Eugene Hoover,76930,311627
Steve Wolfson District Attorney,75000,209996
Jim Gibson,74999,290967
Chip Evans for Washoe County Assessor,72946,198859
Keep Them Accountable,72906,310510
Our Flag Our Country,71000,326989
Nevada DMV,70000,199997
Rutledge for Nevada Supreme Court-Seat C,66923,280586
Americans for Prosperity,65980,192656
Patrick Fogarty - D,65862,165322
Chris Giunchigliani for Nevada,63000,284990
Ray East for Sheriff,62000,317946
UltraViolet,61000,156995
Better With Age,58516,216058
"Paul McKenzie, Reno City Council, Ward 4",54000,212986
Travis Roundy for North Las Vegas,53000,265991
Donald J. Trump,52706,323533
The Voter Participation Center,51552,361201
Mormon Environmental Stewardship Alliance,51000,104998
National Shooting Sports Foundation | NSSF,50006,100011
Unidos US Action Fund,50000,99999
Self-Reliant Republic,49999,249989
David Schoen,48000,197977
Congressional Leadership Fund,46683,213560
Dishonorable Justin,46000,215993
Stop The Utility Bailout,44731,97595
Vance Alm for Congress,42872,214354
Marsh For County Commission 2018,41000,220970
Aaron Clark for Washoe County Assessor,41000,205994
Living Free,41000,204995
Auto Alliance,41000,204995
Integrity First PAC,41000,178990
Amy Vilela,41000,174994
All Above All,40000,199996
Voto Latino,40000,196948
Heidi Howe for Sheriff,39931,173956
45 Hats,39167,153031
Eddie Lorton for Mayor,39000,175976
Michelle Mortensen,38935,119766
Annie Black for Mesquite City Council,38934,161612
Fletch4Nevadans,38000,146990
Mary Kay Holthus for Judge,37000,172991
Robert L. Langford for Clark County District Attorney,37000,139993
Patagonia,34566,134522
Reuben D'Silva for U.S. Congress,33000,125982
Let America Vote,32148,85728
Boulder City Neighborhood Association,31991,161947
Melisa De La Garza for Judge,31000,154996
The Tax Scam,31000,124995
National Wildlife Federation Action Fund,30002,150999
"Cepeda for Trustee, CCSD District D",30000,150996
Anybody But Rick Marshall For Nye County Sheriff,30000,149997
Elect Hof,29667,137593
Cindy Lake For County Commission G,28999,122978
Theodore Roosevelt Conservation Partnership,28770,60742
Bob Lucey,28513,129521
Recovery PAC,28000,117970
"Bob Beers, CPA: candidate for Nevada Treasurer",27991,112944
PragerU,26398,59637
Home Professionals,26001,103997
Institute for a Progressive Nevada,26000,114996
EnergyBoom,25289,112304
Stephanie Carlisle,25000,103983
The Western Journal,24418,77268
Demand Justice,24116,108738
Steven Horsford,24000,130983
Home Financial Helper,23000,1779311
The Wilderness Society,22724,106624
Jimmy Vega for North Las Vegas Constable,22000,65989
Cooperative Action Network,22000,50993
Skip Daly,21000,106995
Morning in Nevada PAC,20791,89657
Indivisible Guide,20226,170778
Women For Civility,20024,71044
Nevada State Bank,20000,99998
