Fight NH Addiction,2161000,5074980
State Solutions Inc,1187000,2922956
RALI New Hampshire,710000,1649993
SEAL PAC,506076,1215372
With Honor,499373,1001766
Annie Kuster,497880,1375388
Granite State Progress Education Fund,466000,1962464
Edwards for New Hampshire,373256,1567548
Molly Kelly,310976,1487742
Chris Pappas for Congress,242454,1219119
Steve Marchand,226838,887141
Gray Chynoweth For NH,221000,890927
MO Research,220040,599689
Maura Sullivan for NH,217460,626623
NextGen America,214946,976685
Lynne Blankenbeker for Congress,210994,554969
Robert Burns,177919,845344
Aaron Day,176000,727896
Dr. Levenson for Congress,173967,520795
Tom Steyer,142918,421492
Chris Sununu,133995,587938
Civiqs,114757,542216
Garth Corriveau for Executive Council,107000,347973
Americans for Prosperity New Hampshire,97990,458776
Fix Politics Now,90725,449911
"Barry Newcomb for Sheriff of Rockingham County, NH",88972,412314
Mindi for Congress,79582,288386
AARP NH,78000,378985
Cardinal for Congress,71000,324991
Families First New Hampshire,66924,187604
NHBIZREPORT.com,64000,200976
Lincoln Soldati for Congress,63530,230175
NEA Today,55462,213364
NextGen New Hampshire,46150,185743
Clean Oil Heat NH,45000,209995
Solar Rebate,40983,136946
Granite Bridge,36000,164995
United Steelworkers,35240,88100
Dan Hynes for N.H.Senate District 9,32979,91884
"Roger Tilton, NH State Senate Dist. 11: Merrimack Milford Amherst Wilton",30995,109955
John K. Delaney,29960,122825
Co-ops Vote,29003,100005
Demand Justice,28999,105983
No to Northern Pass,27308,88040
Tom Falter for State Senate,26940,140082
Anita Burroughs for NH,26402,75851
Dan LeClair for Senate,26000,123969
Iz Piedra for State Rep.,24000,90992
Lisa Wilber for NH State Representative,23000,55992
John Morrissey for New Hampshire,21554,107086
Naomi Andrews for Congress,20957,75813
Chuck Massahos for Rockingham County Sheriff,20433,76984
"Jeanne Dietsch, NH State Senate District 9",20000,105983
David Boutin for State Senate,20000,69966
Levi Sanders for Congress NH-1,18906,81565
Jon Morgan for NH,17654,83856
Senator Dan Innis,17629,165515
Steve Negron for Congress,17184,63173
Seth Moulton,17161,34654
Solar Energy Today,16021,54104
Selectman Joel Desilets for Windham State Representative,16000,68984
United Way of Greater Nashua,16000,64997
Eric Spofford,15000,59998
Senator Bill Gannon,15000,45992
New Hampshire Campaign for Voting Rights,13954,69765
Robert Foley for Senate,13868,69339
Donald J. Trump,13356,89384
Shannon Chandley for State Senate,13000,39992
Bill Baldwin for Rockingham County Sheriff 2018,12999,65983
Jim Beard for Executive Council Dist. 2,12936,51427
Speak Up For Education and Kids,12000,37988
Marsy's Law for New Hampshire,12000,29996
Professional Fire Fighters of Massachusetts (PFFM),11899,24078
EDF Action,11406,53515
The Alliance for Solar Choice,11058,55287
LESS CANCER,11000,26995
Democratic Climate Action,10253,52193
VoteTogether,10006,20057
Jane Cormier for EC4,10000,55984
Mary Kusturin for State Representative,10000,50998
NH College & University Council,10000,49999
Paul Moriarty for NH State Representative,10000,23994
Rolston4nhhouse,9791,34944
O'Rourke for Congress,9737,48685
ACLU,9413,24532
Swim With A Mission,9287,45283
Wayne Goldner MD for NH State Rep,9000,48987
Bob Greene for NH State Representative 2018,9000,47988
Jim Lawrence,9000,45990
Melanie4NHSenate,8517,36638
Tom Loughman for NH State Rep,8000,57974
Brian J. Stone,7951,66722
Bill Bolton for Senate,7903,43505
The Live Free or Die Alliance,7725,17823
Planned Parenthood,7582,20053
4ocean,7151,16650
Jackie Chretien for NH State Rep,7000,46981
Kevin Miller for Penacook State Representative,7000,34993
Planned Parenthood New Hampshire Action Fund,7000,21995
"Elizabeth Ropp for Register of Probate, Hillsborough County, New Hampshire",6767,20832
Colin Van Ostern,6515,17572
Kirsten Gillibrand,6314,14593
Beto O'Rourke,6143,14628
Americans for Prosperity,6032,15074
State Senator Regina Birdsell,6000,34989
NH Ranked Choice Voting,6000,30993
Manchester City Democrats,6000,16996
Special Education News,6000,15997
New Hampshire Democratic Party,5881,17515
DoSomething.org,5056,10274
Dr. Tom Sherman,5054,15492
Peter PETRIGNO for NH State Representative,5000,33986
Doug Thomas,5000,26993
Let's Protect Hooksett School Children Together,5000,25994
Senator Sharon Carson,5000,10998
Carroll County Democrats of N.H.,5000,10871
Treatment Advocacy Center,5000,9999
The Valentine Constitution,5000,9999
Jay Inslee,5000,9999
Hillsborough County NH Democratic Committee,5000,9999
Patagonia,4890,21408
"Borofsky, Amodeo-Vickery & Bandazian, P.A.",4860,9719
UMass Lowell Union of Adjunct Faculty (UAF/UAW),4702,19905
Steven H. Steiner For NH State Senate,4338,10673
ReElect Atty M. Paul Iannuccillo Register of Deeds,4191,17313
MedicareSupplement.com,4000,113902
David Schoneman for NH State Senate,4000,52963
Vicki Schwaegler NH State Representative / Grafton County District 3,4000,25990
Straight Twist - Animal Welfare,4000,25990
Marcie Hornick,4000,19996
Chris Meier for New Hampshire Senate District 3 -Carroll County,3983,11867
Concealed Online,3975,10400
Betty Ann Abbott for State Representative,3937,23676
National Domestic Workers Alliance,3925,8461
Executive Councilor Joe Kenney,3902,21504
United States Constitution,3789,9330
Jordan Thompson for State Representative,3392,19469
PragerU,3099,7748
Kamala Harris,3094,10978
Ben & Jerry's,3065,7745
Direct Expose,3029,6058
Tejasinha Sivalingam,3000,62949
Jeb Bradley for State Senate,3000,39735
Ruth Ward for Senate,3000,35976
Kelly Moss for Salem,3000,20991
Jay Kahn: NH State Senator District 10,3000,16995
Disability Rights Center - NH,3000,15996
"Paul R. Bergeron for Ward 2, Nashua",3000,14997
603 Alliance I-18,3000,14997
Sierra Club,2961,8732
Elizabeth Warren,2950,14326
Center for Biological Diversity,2915,7263
Strafford County Republican Committee,2898,17483
We Stand For Energy,2882,47662
American AF,2842,8669
"Ryan Business Systems, Inc.",2824,14118
Democratic Senatorial Campaign Committee (DSCC),2816,6330
National Republican Congressional Committee,2749,9784
Republicans For Making America Great Again,2717,5434
Eastern Bank,2662,6323
MoveOn,2397,20403
Fahrenheit 11/9,2345,12326
Build With Strength,2228,4458
The Western Journal,2220,4829
Levi's,2219,4438
Make Healthcare Affordable Coalition,2217,9755
GraniteGrok,2187,10935
Newton NH Democrats,2160,4319
Beej Das for Congress,2109,7553
National Democratic Training Committee,2104,5108
NRATV,2013,4938
Senator Donna Soucy,2000,12995
Jeff Denaro For U.S. Congress,2000,12995
Krysten Evans for NH State Representative,2000,11996
Andrew Yang for President 2020,2000,11129
The American Nik,2000,9998
Elect Doug Lachance Republican for County Commissioner,2000,9998
Mark MacKenzie for Congress,1991,9953
EdBryansNH,1989,10944
Jenn Alford-Teaster for NH State Senate,1969,19682
Ted Gatsas,1829,10141
WorkingNation,1774,4436
EMILY's List,1725,4472
Heidi Heitkamp,1697,4421
End Citizens United,1652,4543
Swing Left,1635,8466
Farnum,1622,3244
Charlie Kirk,1618,3235
Democrats,1614,6794
Turning Point USA,1592,4041
Upworthy,1577,4201
Human Rights Campaign,1563,4596
Robert Reich,1563,3906
"I'll go ahead and keep my guns, Thanks",1551,3911
FCTRY,1550,3878
Sandy Hook Promise,1507,3502
Dissent Pins,1472,4169
The Commonwealth Fund,1447,3618
NRA - National Rifle Association of America,1435,3752
Natch Greyes for Grafton County Attorney,1416,9191
America's Navy,1364,3071
Kelcy McNamara For Maine State House,1334,6853
ASPCA,1276,3191
Joe Kennedy III,1247,3524
"New England, New Energy",1244,17258
Stand for the 2nd Amendment,1244,3714
League of Women Voters of the U.S.,1233,3785
Everytown for Gun Safety,1229,3691
Live Nation Concerts,1218,5009
Red Blue Divide,1204,3009
League of Conservation Voters,1202,5810
NowThis Politics,1179,3873
Ben Shapiro,1157,2501
Springfield School District,1148,5740
AARP Maine,1124,5620
Convention of States,1117,2841
Proud To Be A Republican,1112,2224
Democratic Attorneys General Association,1106,5644
CREDO Mobile,1075,3833
Rodney Elliott for State Senate,1074,5369
Andrew Janz,1062,3024
Energy Citizens,1036,4206
Moms Clean Air Force,1031,6278
Senator Dean A. Tran,1028,3932
The People For Bernie Sanders,1026,2051
Democratic Coalition Against Trump,1011,5060
Be A Hero,1007,3002
The Liberty Block,1000,16987
Cole Riel for Goffstown,1000,12991
Michael Yakubovich for NH State Representative,1000,10993
Donovan 4 NH Senate,1000,9994
Catherine Rombeau for NH State Representative,1000,9994
Association for Accessible Medicines,1000,8995
OHareNH,1000,7996
New Hampshire Young Republicans,1000,7996
Lebanon Democrats - New Hampshire,1000,7996
Senator Harold French,1000,6997
Rep. Steven Smith,1000,6997
Josh Yokela for State Rep,1000,6997
John James Washburn for State Representative,1000,6997
Hillsborough County Republican Committee,1000,6997
Flying Monkey Movie House & Performance Center,1000,6538
Tim Merlino for State Representative,1000,5998
Paul G. Bergeron Hillsborough County Commissioner District 2,1000,5998
Josh Mercer for State Representative,1000,5998
Southern NH DSA,1000,4999
SEA / SEIU Local 1984,1000,4999
Robert Peraino For New Hampshire State Representative,1000,4999
Parliament 2050,1000,4999
Monadnock Farm & Community Coalition,1000,4999
Maggie's List,1000,4999
Lantos Foundation for Human Rights & Justice,1000,4999
John Wolfe U.S. Senate,1000,4999
Harrison Kanzler for State Rep,1000,4999
Edward Jones- Financial Advisor: Megan Stewart,1000,4999
Dan Toomey for Nashua Ward 5,1000,4999
Councilor Terry Clark,1000,4999
Dexter Dow for U.S. Representative 2nd District,988,7937
MJ for Texas,982,2526
Erase The Hate,964,1956
Defend Our Future,959,1919
Senator Bob Giuda,957,16687
NowThis,954,2267
Blue Lives Matter,952,2379
Marty Grohman for Congress,905,2615
Retirement You Workshops,903,5417
Patriotic Drop Shop,901,2852
Military Officers Association of America (MOAA),878,2352
North Shore Vendor Events,869,1737
Indivisible Guide,868,1917
Ted Cruz,859,1763
Democratic Governors Association (DGA),850,1863
Shaun King,834,1876
Conservative Gear,828,3327
Penzeys Spices,821,1933
National Park Foundation,812,1651
Anne Grassie for State Senate,811,4056
We The People Holsters,785,2281
Young America's Foundation,783,2192
Appalachian Mountain Club,777,6761
National Partnership for Women & Families,777,2116
Environmental Defense Fund,775,4479
"Ben Hight for State Representative, Grafton District 3",775,3873
NRDC Action Fund,764,1982
Restoration PAC,753,1619
Devin Nunes,742,1855
Julie Tucker for NH State Representative,735,5478
The Gunbox,733,1833
Super Deluxe,731,1828
We Are The Mighty,727,2215
No on SoccerCity,710,1419
UAW International Union,709,3618
Mike Estes,707,1412
Alliance Defending Freedom,696,1805
Great America PAC,682,1408
Portsmouth Symphony Orchestra,665,3323
Colion Noir,658,1316
Alexandra Chandler for Congress,655,1816
Don Turner Jr. for VT Lieutenant Governor,652,1673
U.S. LawShield,621,1242
I Love My Freedom,616,1527
Orvis,585,1171
Donald J. Trump - 45th President,580,1409
Security Finance Initiative,576,1192
The Soldier Network,575,1181
Sand Cloud,566,1523
Bill O'Reilly,562,1295
Teamsters Joint Council 10,561,1887
Terry Ryan for State Senate,554,2767
45 Hats,545,1941
The Jim Jefferies Show,541,1288
Howstuffworks,536,1283
Patriot Depot,535,2255
Ranker,530,1325
Weird History,514,1244
Love Crunch,510,2686
Fire Jim Jordan,504,1183
Juana Matias,498,2549
John Hope Bryant,493,1222
Pela Case,484,1553
NARAL Pro-Choice America,472,2232
Alan Caron,462,2309
Barbara L'Italien,460,1155
LifeDaily,457,1089
Democratic Socialists of America,453,1023
Serve America,446,1302
Circa,440,1540
"Main Street Law Firm, PLLC",435,870
Families For Trump,433,868
Bernie Sanders,428,1592
Wholesome Culture,422,872
Conservative Tribune,416,878
American Gun Association,412,1198
Jay Gonzalez,411,2062
NRA Institute for Legislative Action,408,816
The Wilderness Society,402,1084
Progressive Turnout Project,401,801
Breaking Big,395,789
Drug Injury News,390,975
John MacDonald for State Senate,384,2845
Lori For US Congress,378,2099
Hollis NH Democrats,378,1889
Greenpeace USA,374,1863
