Bob Hugin,3952000,9034930
Andy Kim for Congress,3240036,9820318
NJ Kids and Families,2676996,6347933
Trenton Don't Touch My Insurance Rates,2657998,9116645
Mikie Sherrill,1992152,5146622
New Jersey Education Association,1209986,3237876
Stronger Foundations,1133245,2553459
ReThink Energy NJ,1097922,3457230
Solar Energy Today,1085030,2955510
Shamelessly Corrupt Menendez,1049844,2945786
With Honor,800164,1700325
My Pay My Say,735536,2009011
New Direction New Jersey,700000,1699996
MO Research,652429,1756589
Rich Castaldo for Freeholder,601000,1773933
Keep Them Accountable,541061,1971686
Tom MacArthur for Congress,532717,1383568
Charter Strong,529641,1455535
Everytown for Gun Safety,518803,2182391
New Jersey Department of Health,511000,1054997
New Jersey Working Families Alliance,507996,1448910
Conservative Corps,500000,999999
Change Now,499283,998565
Solar Rebate,462667,1490295
PennEast Pipeline,450242,1542760
Tom Malinowski for Congress,449819,1202382
Bob Menendez for NJ,434000,1500608
Josh Gottheimer for Congress,428067,1694480
Rep Josh Gottheimer,366101,923565
Garden State Initiative,296263,704296
Living Free,264855,710062
Health News NJ,258000,675988
NumbersUSA,256067,640164
Peter De Neufville for Congress,253000,738986
Congressional Leadership Fund,231424,810340
Auto Alliance,230531,552652
John McCann,209792,855209
Self-Reliant Republic,209438,749446
New Jersey for a Better Future,208906,547262
Better With Age,205649,942392
National Taxpayers Union,200000,399998
Women For Civility,192684,727344
Stop the DOKA Disaster,192000,599986
Progressive Turnout Project,183731,460249
HPAE - Health Professionals & Allied Employees,182366,970957
Paterson Education First,175999,713946
Citizens for Tobacco Rights,175201,657792
Patients For Affordable Drugs Action,173772,435270
Military Network,173669,512325
Josh Welle For Congress,172000,548980
The Brookings Institution,163748,468703
New Jersey League of Conservation Voters,157000,575979
No Labels Action,156669,313669
Hotel Workers for Stronger Communities,150140,300277
Center for Union Facts,147359,343156
New Jersey Democratic State Committee,146662,428256
Our Flag Our Country,137918,503248
Scaglione and Caliguire,119998,567951
NRCC IE,113986,484961
Leecia Eve for NY Attorney General,109958,219916
Andrew Cuomo,107810,286478
PSEG,100000,199999
Keep NJ Open,99415,201828
Leonard Lance Wrong for New Jersey,95781,315112
Bella Vista Supply,95327,191605
New York Working Families Party,95278,239142
Donald J. Trump,93108,434193
Mussab Ali for JCBOE,92000,379949
NJ Bail Reform - Why New Jersey is LESS SAFE at the Taxpayers Expense,85999,384984
BlueWaveNJ,84828,269111
Murray Sabrin for U.S. Senate,82000,335982
AARP New Jersey,80888,404430
Jersey Renews,80000,391980
Philadelphians for a Fair Future,76996,219078
Robert Crook for Congress,76000,325979
Steve Lonegan,73749,326010
Christopher Smith,73000,298952
New Brunswick Democrats,73000,263978
Abogados de Inmigración y Derecho Penal USA,72565,176439
Ryan Martinez For Congress,69000,182990
AFP Foundation - New Jersey,68000,345980
Goutam Jois for Congress,66821,265306
United We Heal,64000,266963
St. Jude Children's Research Hospital,63653,159132
Nautilus Offshore Wind,59795,261988
Neibart and Gorski for Mendham Township Committee,58000,252982
Spectrum News NY1,57360,212803
March For Our Lives,57097,121627
Grossman for Congress,56704,246358
1199 SEIU New Jersey,55000,184987
More MonmouthMusings,54510,186185
OZY FEST,54348,232567
Share Better,54247,140971
Michael Wildes for Mayor,52000,211961
The Holy Tribune,51667,231014
Active Measures,51008,108213
Citizens Against Computerized Justice,50000,99999
Brian Reynolds,49992,196931
"Save Our Schools: Wright, Schulz, Le for Union BOE",47000,204988
Indivisible Guide,46012,216093
Keep Jersey Moving,46000,220988
Russo Richmond & Walsh for Howell Council,46000,140986
Bonevich Dias & Dorato for Howell Council,45989,139934
Organization For Economic Growth,45783,213897
Building New York's Best,45492,133773
Rx Access NJ,45000,141981
Hickey & Alvarez for Linden 2018,43766,178504
Putting Kids First,41000,196974
Cancer Fund Compensation Help,40168,80336
Hillsborough Taxpayers Association,40000,170994
ACLU,39894,109728
National Institute for Reproductive Health,37820,168729
CARE Action,37448,74896
"Ravi Bhalla, Mayor of Hoboken",37000,139993
4ocean,36823,81721
Sussex Gop,35800,168750
Jim Tedesco for Bergen County Executive,35000,175991
Lynne McClintock & Cullen McAuliffe for Hunterdon County Freeholder,34997,152975
The Yerman Group,34015,77956
Holmdel Republican Party,34000,188956
Planned Parenthood,33069,103569
Heritage Action for America,33000,164994
Bill Groff For Bellmawr Mayor 2018,33000,137981
The Real Ravitz,33000,106990
"David Merces, Middletown",32000,129994
Garden State CARES,32000,102990
Susan G. Komen North Jersey,32000,101991
No Tax Solutions,32000,99993
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,31888,115782
Rutgers AAUP-AFT,31799,79694
Reed Gusciora for Mayor of Trenton,31681,163377
Garden State Equality,31000,154996
Bayonne Center for Progress,30000,138808
Andres Mejer Law,29998,180928
Our Gun Laws Must Change,29929,149642
Home Improvement Deals,29001,102997
Joe Signorello for Mayor,28750,122722
32BJ SEIU,28538,88693
Engineers Labor Employer Cooperative ELEC,28401,112903
Chris Chung for Mayor,28000,96991
Montgomery Township Republicans,28000,66990
Donald Norcross for Congress,27000,119995
Brandon Minde,27000,111974
Hoboken Chamber Commerce,26449,117240
Councilman Anand Shah,25388,191853
PragerU,25036,55630
Abuse Guardian,25000,109997
"Veasy, Cooper and Hansen",25000,67988
America First Policies,24560,73392
Scott Wallace,24268,58548
Jersey First,24000,120993
Norman for Bergen,24000,120975
Anesh Bengivenga Wolak,24000,91982
The Humane Society of the United States,23306,48408
Millan for Mayor 2018,23000,84994
Free Press Action Fund,22707,90592
PIX 11,22231,111152
Independent Drivers Guild,22055,44111
"Fernandez, Klein, and Meinhardt for Livingston Town Council",22000,132944
Independents for ONE Roseland,22000,125962
AARP Nueva Jersey,21947,79730
Live Nation Concerts,21751,60959
DeCastro and Stemberger - Democrats for Salem County Freeholder,21000,93988
Lesniak Institute for American Leadership,21000,92989
Build With Strength,20028,103291
Price for Ocean County Freeholder,20000,101996
North Bergen Township Municipal Government,20000,99998
"Lawrence ""Larry"" Wainstein",20000,99998
"City of Newark, NJ - City Hall",20000,99998
Derek Armstead Mayor of Linden,20000,89979
Puzio and Winnick for Raritan Township,20000,69997
Hudson County Improvement Authority,20000,39996
Democrats,19803,82328
Progress News Network,19281,59071
Hoboken Councilman Mike DeFusco,19000,91959
Union County Democratic Committee,19000,80993
Americans for Prosperity,18554,67073
Compassion & Choices,18402,92007
"Democrats for Garwood: Elect Todisco for Mayor, Ince & Benoit for Council",18000,105966
"DeLucry, Hakanson, Szucs",18000,99972
East Brunswick 2018,18000,78971
American Cancer Society Cancer Action Network - ACS CAN,18000,66977
Local Government Voter Education,18000,59990
Fava for Passaic County Clerk,17917,61628
Felicia Stoler for Congress,17911,74548
Burlington County Watchdog,17731,88655
The Committee to Elect Vincent J. Costanza,17604,95936
New Yorkers Together,17419,41037
National Republican Congressional Committee,17133,60573
Will Cunningham for New Jersey,17000,69996
Democrats for Bob Hugin,17000,66979
Sierra Club,16569,39118
Clinton Honda,16506,73347
Julie Goldberg for NY State Senate 38th District,16141,44995
"Woodruff, D'Aquila & Greco for Berkeley Heights",16000,93970
Solar Solutions,16000,67994
Cook for School Board,16000,66995
NJ Business & Industry Association (NJBIA),16000,64997
LaunchGood,16000,64997
Maria Vassallo & Jerry Fernandez for Township Committee,16000,54987
Kiley and Scharfenberger for Monmouth County Freeholder,15969,52776
Marge Caldwell-Wilson For Trenton North Ward,15816,87638
Swing Left,15437,74243
Working America,15316,31099
Evesham Township Democratic Party,15000,78990
Latino Alliance for Progress,15000,60997
Tom DeGise,15000,59998
Santana for Fair Lawn Board of Education,14604,48006
Andrew LaBruno Councilman of Dumont,14535,81568
"Greater Philadelphia Health Action, Inc.",14162,28324
MoveOn,14011,82088
Councilman Rob Bengivenga,14000,74981
Piscataway Democratic Organization,14000,39994
Professional Firefighters Association of New Jersey - PFANJ,13943,41387
OWN: Oprah Winfrey Network,13523,27045
Oceana,13519,40310
Blockchain World Conference,13265,66322
YouGov,13090,26196
Sam Joshi,13000,66994
Fantasia & Hertzberg for Freeholder,13000,64996
Councilman Paul Kanitra,13000,50990
David Del Vecchio,13000,43986
NJ State Council of Trout Unlimited,13000,35994
Brendan Maroney for Monmouth County Freeholder,12801,73956
Tom Steyer,12739,57260
Demand Justice,12666,29203
John Catsimatidis,12364,60905
DiversityInc,12307,57618
Township United,12000,63984
"New Vision for Jefferson-Wilsusen, Merz & Senatore",12000,60996
Michelle Pirone Lambros Candidate for Princeton Town Council,12000,60996
Mayor Richard LaBarbiera,12000,59997
Erin McElroy Barker and Trisha Walsh for Fanwood Council,12000,46990
NJ7 Forward,11951,46837
Curreri and Zatkowsky for Freeholder,11923,30582
MedicareSupplement.com,11000,209843
Blass & Rudley for Pitman,11000,58994
Somerset County LGBT Democratic Caucus,11000,54998
Mehrotra & Montes for Mountainside,11000,54998
Angie for Mayor; Yellin & Medeiros for Berkeley Heights Township Council,11000,47985
"County of Union, New Jersey",11000,25996
EDF Action,10884,52638
LGBT Network,10510,21019
DoSomething.org,10303,51570
Alessandra Biaggi,10215,32377
Scott Noren for US Senate (Official),10188,46330
Period Calendar Cherry,10188,25894
J Street,10027,22130
South Plainfield Democratic Party,10000,76963
Delgado & Boren for Moorestown Town Council,10000,64965
Summit Republicans,10000,57971
"Township of Hillside, NJ Government",10000,51997
Nicholas J. Sacco,10000,50998
Friends of Liberty State Park,10000,50816
Shala Gagliardi For Morris County Clerk,10000,49999
Rullo for Verona Board of Education,10000,49999
New Jersey Press and Electronic Media Group,10000,49999
John Quattrocchi for Verona BOE,10000,49999
Election University,10000,49999
Andy Kim Lies,10000,49999
Amy DeGise for HCDO Chair,10000,49999
Middlesex County Democratic Organization,10000,37991
United for Change,10000,35993
Millan For Mayor,10000,35993
Freeholder Assad Akhter,10000,35993
Bernards Township Democratic Committee,10000,35993
Help America Dump Trump,10000,34994
Councilwoman Alyssa Dawson,10000,34994
Campaign for Ramsey,10000,34994
Shawn Judson for Lacey Township Committee,10000,20997
Lumberton Republicans,10000,20997
Monroe Township Democrats,10000,19998
Congressman Tom MacArthur,9992,49961
Esposito & Surano for Bernards Township Committee,9983,70882
Lubrano Family Chiropractic Center,9894,20784
Beto O'Rourke,9881,26093
Retired Republicans,9811,20189
Councilman Lockland Scott,9803,49013
Michael Rufo for Congress,9783,48912
Financialinsiderclub.org,9604,49017
Katie Hill for Congress,9569,19138
Re-Elect Delisfort & Figueiredo For Union Township Committee,9546,47730
"Catholic Charities, Diocese of Paterson",9469,48343
Boredom Therapy,9264,25283
Peoples Climate Movement,8977,40041
Maureen Leidy for Atlantic County Freeholder,8964,48805
The Young Turks,8724,24814
United States Constitution,8651,23145
Paul Hamlin,8519,20035
Every State For Israel,8288,16576
CPIC,8127,32102
Fair Property Taxes for All New Jersey,8048,36742
Viscomi for Red Bank Council,8000,37983
"Spango, Fishman & Freda for Roseland Mayor & Council",8000,30990
Tara Prupis Democrat for Millburn Township Committee,8000,29991
"Cuccaro for Mayor, Piarulli and Bianco for council",8000,29991
Daryl Eisenberg Knegten,8000,25995
Ed Masker - All About Alloway,7940,52573
Eduardo Soto Abogado Inmigracion,7823,39115
Conservative Gear,7772,27123
National Aquarium,7746,15492
Rich Pezzullo,7610,24215
The Watershed Institute,7372,24238
We The People Holsters,7288,17834
Ocean Conservancy,7280,38426
Circa,7234,26688
Sashka Co.,7205,18964
Local Marketplace from NJ Advance Media,7201,36004
Pfizer,7197,14861
Lower My Bills,7187,17968
The Beat by Manhattan Institute,7144,22495
Rutherford Vote NO on Oct 2,7000,46981
Madigan and Shanley for Wyckoff,7000,41986
Residents of Harrison,7000,36991
Business Network For Offshore Wind,7000,22994
The Jefferson Chronicle,7000,20996
Let's Drive NJ,7000,20838
"Veasy, Cooper and Hansen - The Real Truth",7000,19997
"Elect Anderson, DeSalvo & Eddy",7000,19997
Bird and O’Steen for Hazlet Township Committee,7000,19997
William Benfer,6998,41965
Richard A. Super,6998,38237
Cory Corson For Island Heights Council,6995,40961
Voters Decide,6965,37856
Release the Englewood Cliffs Tapes,6911,26546
Stop Wage Theft Now,6750,27951
Hudson County View,6701,23398
EMILY's List,6685,20199
Andrew Janz,6585,21328
"Gloucester Township, New Jersey",6526,32630
End Citizens United,6397,20556
National Audubon Society,6253,15568
Kamala Harris,6245,40920
Patagonia,6189,26740
MIT Executive MBA,6144,12287
Giffords,6103,18054
Yangming,6080,12160
VoteTogether,6079,18310
Edmund 'Tom' Maciejewski for Berkeley Heights Mayor,6000,51949
Monica Perkowski for West Orange Township Council,6000,46977
Councilman & Mayoral Candidate William Fahoury,6000,41982
Roth for Mayor 2018,6000,35988
Timothy A. Priano,6000,33990
Garwood Republican Party,6000,33990
Garwood Forward,6000,17995
Howell Township NJ Democrats,6000,16996
Stakeholders-ACT,6000,14998
Russ Felter for Mayor; Debi Merz for Council; Patty Fallon for Council,6000,14998
Millions of Jobs,6000,14998
Mayor Matthew Anesh,6000,14998
Lisaandmikeforclintontowncouncil,6000,14998
Law Offices of Anthony Carbone,6000,14998
Eve Niedergang for Princeton Council,6000,14998
Carol Murphy for Assembly,6000,14998
Councilman Tyler Burrell,5996,43960
Nurx,5849,16431
Catholic Relief Services,5757,12549
