Andrew Cuomo,33144613,77548425
Zephyr Teachout,5479016,14464039
Uber,5150000,11189958
Cynthia Nixon for New York,4917998,14581109
Kathy Hochul,3445000,7629970
Laborers Building a Better New York,3089994,7685911
Anthony Brindisi For Congress,3058424,8021526
Solar Energy Today,2820965,7527875
John Katko for Congress,2335000,5408936
For Our Republic,2223000,5414949
Congressman Peter King,1769696,7339417
New York Working Families Party,1762331,4229864
Speak Out Central New York,1688000,4113942
Suraj Patel for Congress,1651936,5486207
New York City Charter Revision Commission,1520000,3400988
NYC Commission On Human Rights,1448948,3588828
Larry Sharpe for New York,1363187,5340586
Chele Farley for Senate,1279000,2925968
Elise Stefanik,1253741,2803325
New Yorkers Together,1190751,2738021
MO Research,1183203,3231659
National Horizon Action,1144972,3720105
Tom Basile for State Senate,1128673,3934012
House Majority PAC,1110646,2557171
Antonacci for the People,1048999,3021921
Airbnb Citizen,1016480,2421198
Living Free,1014856,2499547
Elmont Against the Megamall,1000000,2500994
NYSUT - A Union of Professionals,964890,2533429
Claudia Tenney Wrong for NY,957746,2353359
Energy Justice For All,942018,3422976
Sean Patrick Maloney,923761,2292192
Keith Wofford for Attorney General,921000,1994976
Jeff Pravato for Senate,891945,3034212
NYS Senate Republican Campaign Committee,859962,3796295
Daphne Jordan for NYS Senate,742613,2433932
Protect Public Pensions,727000,1747974
New York State Democratic Party,686746,1690347
Dean Murray for New York,683997,1932817
Keep Them Accountable,680750,2409051
Reclaim New York,669000,1764974
Our Flag Our Country,640781,2085401
Perry Gershon for Congress,623236,1752089
Shareblue Media,612885,1612455
Get the Facts on Anna Kaplan,607000,1590980
Lee Zeldin,596639,1816829
John Faso,594597,2034478
New York Republican State Committee,570000,1201988
NYC Votes,564000,2027867
Spectrum News NY1,562479,2190181
Always On NY,555976,2269461
Nyscopba PR,555000,1464978
Alessandra Biaggi,543023,2139447
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,542348,1559167
John Faso is not for us,521530,1378844
Hotel Workers for Stronger Communities,516638,1598562
Jumaane D. Williams,509000,1886939
Judge Ciaccio for Supreme Court Judge,503946,1479839
