NC Conservation Network,5450992,12231898
Marsy's Law for North Carolina,4466000,10249932
North Carolina Citizens,3076927,13979048
NC Common Ground,2520368,5509848
Dan Forest,1821157,5728950
Carolina Leadership Coalition,1688072,3955639
Protect NC Waters,1657430,5148974
MO Research,1189061,2898523
Fair Courts Now,928809,4144443
Roy Cooper,880000,2658861
North Carolina Republican Council of State,870392,1803768
Jeff Jackson,854589,2710813
Auto Alliance,845000,2109990
Searcy for State Senate,765984,1883898
Kathy Manning,727970,2174873
Women For Civility,717190,1941848
Better With Age,688028,1601602
Concealed Online,681527,1637803
Blue Cross NC,537946,1625700
NumbersUSA,529927,1325510
FreedomWorks,521000,1214536
Progress NC Votes,501994,2089921
NC Homeowners Alliance,500000,1199997
Tea Party Nation,500000,999999
Michael Garrett for NC Senate 27,439000,1400970
Planned Parenthood Votes South Atlantic,438000,1502959
Natasha Marcus for NC Senate District 41,410988,1316881
The Holy Tribune,399935,935698
JD Wooten for NC Senate,389000,1533774
NextGen America,382036,1421286
Terri Legrand for NC House 2018,382000,1088607
Congressman Ted Budd,371995,1150941
Mack for NC,371746,1133667
Representative Mark Walker,358922,1564202
Graig Meyer,345000,936977
Southern Environmental Law Center,323660,1624708
North Carolina Association of Educators,320000,1599968
Ted Budd,283969,1193707
"Representative Greg Murphy, MD",266904,980392
Keep Wayne Coats Sheriff,265000,810991
Military Network,263749,732840
Brian Turner - NC House 116,252854,746224
Heritage Action for America,244845,714544
Self-Reliant Republic,240963,755510
NC Senator Floyd B. McKissick Jr.,233443,877448
Dan McCready for Congress,226517,718548
Sydney Batch,213000,735982
Rep. George Holding,200000,499999
Americans for Prosperity,196424,574888
Human Rights Campaign,191776,449241
Keep Them Accountable,175748,627049
Solar Energy Today,174510,550461
Judge Andrew Heath,170976,704767
Majority Matters,170000,401994
Harper Peterson for NC Senate,164120,497582
North Carolina Department of Transportation,160000,349997
North Carolina Values Coalition,158924,594587
Solar Rebate,156014,637999
Our Flag Our Country,155015,640962
Judge Sandra Ray for NC Court of Appeals,149000,414984
NRDC,147079,454542
Sierra Club,147047,331096
Harry Ennis,145000,529988
Melrose For Judge,140898,492707
Coal Ash Rate Hikes,130000,653960
Jeff Tarte,128000,538968
Explore Offshore,125327,497373
Wiley Nickel For North Carolina,121000,472828
Sampson County Republican Party,116000,496972
Elect Brian Bock - Chatham County Commissioner,113000,505974
Living Free,111961,559793
Rachel's Action Network,110000,249998
Small Business & Entrepreneurship Council,109891,249747
Spectrum News North Carolina,108618,276826
Diener Law Abogados,104000,539775
Sarah Homes for District Court Judge,103000,502979
North Carolina Board Of Pharmacy,100000,199999
Ben & Jerry's,97527,195133
NEA Today,97191,347897
Tom Steyer,97018,207353
NC Speaker Tim Moore,97000,260980
Jefferson Griffin,93000,413903
Toby Hampson for Judge,93000,406984
Keep Judge Thompson Superior Court Judge,92780,302874
Steven Buccini for NC House,91673,380955
David Rouzer,91514,403491
Senator Michael Lee,90986,304926
Donald J. Trump,88074,611631
Carolina Clean Energy Group,85969,265840
Southeastern Wind Coalition,83999,209988
Don Davis,82000,443096
Committee to Elect Brooke Schmidly,81000,404991
Conservatives for Clean Energy,81000,334970
David Blackwelder Wake County,80000,336924
Tracy Philbeck,79000,291983
4ocean,78215,169069
Watts for Congress,77996,304825
Elect Rebecca Edwards,75000,349982
Mark Harris,74714,179424
Roy McDonald for Judge,74000,287969
Care Workers in Action NC,70980,311864
Tim Ivey for County Commissioner,70594,275164
Allison Gant for School Board,70000,319992
Richard Hudson,70000,199997
Bruce Berry for Commissioner,68000,344981
Rand for Judge,68000,292962
Joe Sam Queen,66000,301985
George Holding,66000,225979
Senator Wesley Meredith,65000,162985
Elect Tickle Judge,62919,261816
Jeff Matemu,62000,289930
Allegra Collins for Court of Appeals,61000,205979
Donna White,61000,154988
Kim Bost for NC House,60423,236085
The Daily Record,60000,149998
Aimy Steele for NC House 82,59997,303807
Rev. Mark Creech,59000,310925
Gayle Kemp for State House,58000,261535
Rep. Virginia Foxx,57905,124785
Swing Left,56816,285248
Tim Moore,56747,269724
Quentin Miller for Buncombe County Sheriff,56000,250987
Simon for House,56000,241966
Dance4Sheriff,56000,160984
PragerU,55229,122984
John Bryant for Wake County District Attorney,55000,245988
Higher Education Works,55000,109998
David Ulmer for Liberty,52000,230991
Home Energy Guide,51924,319453
DD Adams for Congress,51734,206405
Wheeler for NC Senate 47,50744,197669
Linda Devore for House 44,50000,167966
Aim Higher Now,47997,134983
Taxotere Lawsuit Information,47450,104837
Larsen NC House 85,47371,183774
ACLU,47125,123089
City of Winston-Salem City Government,47000,220992
Art Sherwood for NC Senate District 46,45674,173345
National Republican Congressional Committee,45488,140325
March For Our Lives,43277,287505
Pam Sutton for Lee County Board of Education,43000,186981
The N.C. Star,42929,86856
Ray Russell,42000,182990
Kevin Dodson for Lee County Sheriff,42000,89990
Real Facts NC,41990,191912
Human Coalition,41678,148464
Red 4 Ed NC,41000,134983
NC Justice Center,40975,84942
Color Of Change,40781,203912
Brandon Lofton,40000,199996
Charlie Baxley For Sheriff,40000,186989
Ron Mau - Jackson County Chairman,39995,160949
Progressive Turnout Project,38569,148915
Glenda P. Weinert for County Commissioner,37932,144656
Andy Hanford For Superior Court Judge,37000,140992
"John Motsinger, Jr. for NC State Senate.",36992,171947
Angelica Chavis McIntyre for Judge,36919,141734
Nussbaum Baker for School Board,36000,180990
Ric Vandett for NC Senate,36000,170776
"I'll go ahead and keep my guns, Thanks",35323,70765
Wake GOP,35000,146971
Cumberland County Democratic Party(NCDP),34000,221910
Progress North Carolina,33978,97603
EnergySure,33847,155389
SweetGrass Capital,33398,113475
Donna Ensley for Buncombe County Commission,33000,134993
Huffman for Clerk of Court,33000,121986
Apex high school seniors sick of bad government,32000,151965
Defend Our Constitution,32000,130993
Charles P. Gilliam,32000,125978
North Carolina Sierra Club,31950,75796
Democrats,31232,106782
Josh Stein,31000,149952
Judge April C. Wood,31000,80988
People United for Privacy,30287,473990
Silkies,30128,65258
Checks and Balances Project,30000,149997
Choosing Clean Energy: A Campaign of The Nature Conservancy,30000,120024
Captains for Clean Water,30000,119996
