the Tea Party Nation and is not authorized by any candidate or candidate's committee.,500000
The North Carolina Homeowners Alliance,200000
The Auto Alliance,200000
Rep. George Holding,200000
Rachel's Action Network,100000
NC Common Ground,100000
Kathy Manning for Congress,100000
Cooper for North Carolina,100000
The Committee to Elect Michael Lee,50000
North Carolina Republican Council of State Committee,50000
Majority Matters,50000
Mack Paul for NC Senate,50000
Higher Education Works,50000
Small Business & Entrepreneurship Council,49956
Mark Harris for Congress,49863
State Employees Association of North Carolina,42929
American Lung Association,21369
NRATV,18603
Joe Walsh,18039
Right Rising Media LLC,16640
2A4LIFELLC,15832
STAND FLAG POLES,15354
Union of Concerned Scientists,12557
Webinar Technologies,11886
MedicareBob,11393
the North Carolina Democratic Party and Gayle Kemp for State House.,10000
the North Carolina Conservation Network,10000
the Harry Ennis for Sheriff Campaign,10000
the Committee to Re-Elect Allison Gant,10000
the Committee to Elect Caroline Walker ,10000
the Andy Hanford for Superior Court Judge Campaign ,10000
Working America,10000
Walter Rand for Judge,10000
Ulmer for NC,10000
Toby Hampson for Judge,10000
The Nature Conservancy,10000
The Committee to Elect Jarrod Lowery,10000
The Committee to Elect Brooke Schmidly,10000
The Committee to Elect Brian Bock,10000
The Committee To Elect Wayne Coats Sheriff,10000
Scott for District Attorney,10000
Sarah Homes Candidate Committee,10000
Reject Racism,10000
Protect Our Workers Earned Retirement,10000
Progressive Turnout Project,10000
Progressive Takeover and not authorized by any candidate or candidate's committee.,10000
Progress NC Action IE PAC,10000
Progress NC Action,10000
Partners,10000
Paid for by the Sampson County Republican Executive Committee.  Contributions to the Sampson County Republican Executive Committee are not deductible as charitable contributions for federal income tax purposes. All contributions are subject to the limits and prohibitions of the rules set forth by the North Carolina State Board of Elections. State law require,10000
North Carolina Democratic Party,10000
North Carolina Association of Educators,10000
NC Senate Majority Fund,10000
NC Conservation Network,10000
"Marsy’s Law for North Carolina, L.L.C.",10000
Marsy’s Law for North Carolina LLC,10000
Lofton for NC,10000
Keep Jim O’Neill District Attorney,10000
John Bell Committee,10000
Hudson for Congress,10000
Heath for North Carolina,10000
Garrett for NC,10000
Garrett For NC ,10000
Friends of Tim Moore,10000
Friends of Dr Greg Murphy,10000
Friend of Emmanuel Wilder,10000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,10000
Doctors Without Borders/Médecins Sans Frontières (MSF),10000
"Darrell B. Cayton, Jr. for Judge",10000
Committee to elect Neill Lindley,10000
Committee to Elect Harper Peterson ,10000
Committee to Elect Dan Forest,10000
Committee To Elect Aimy Steele for House District 82,10000
Color Of Change,10000
Citizens for JD Wooten,10000
Checks and Balances Project,10000
"Carolina Leadership Coalition, Inc. Not Authorized by Any Candidate.",10000
Captains for Clean Water,10000
Campaign to Elect Donna Ensley ,10000
Blue Cross NC,10000
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",10000
Alliance for Climate Education,10000
Allegra Collins for Judge,10000
DD Adams for Congress,9997
Federation of American Hospitals,9989
the office of Congressman David Rouzer,9275
Spectrum News,9175
Sauls for NC House,8805
Larsen for NC House 85,8288
the Gaston County Republican Party. ,8265
THE COMMITTEE TO ELECT ERICA STANDFIELD BRANDON DISTRICT COURT JUDGE,7600
Dissent Pins,7534
DrugJustice,7455
Paramount Network,7098
WKRK Radio,6926
Environmental Defense Action Fund,6821
American Possibilities PAC,6640
the National Democratic Training Committee,6418
Ted Cruz for Senate,6315
The Alliance for Solar Choice,6258
"4Ocean, LLC",6175
Parks Project,6017
Everytown for Gun Safety Action Fund,5815
"Vasquez Law Firm, PLLLC",5319
the Committee to Elect Amy Galey,5000
by Progress North Carolina,5000
Wiley Nickel for North Carolina,5000
"Wildlands Network, a 501c3 conservation nonprofit organization",5000
Wheeler for NC,5000
Wake County Republican Party,5000
Voto Latino,5000
Von Loor for U.S. Congress,5000
Tracy Philbeck for County Commissioner,5000
Tom Langan for Judge,5000
The Committee to Elect Ryan Bowden,5000
The Committee To Elect Jeff Tarte,5000
Stop Deceptive Amendments,5000
Red 4 Ed NC,5000
Paid for by the Committee to Elect Judge Louis Trosch,5000
