Danny O'Connor for Congress,2745970,7358126
MO Research,2323578,5882518
Mike DeWine,1855141,4835634
Ken Harbaugh for OH-7,1540993,6081718
Ohio Newswire,1520000,3814963
Stop Mike DeWine,1443000,3731946
Aftab Pureval,1369156,3536147
Yes on One,1218000,3079944
Meet the Real Troy Balderson,1203000,4736711
Speak Up For Education and Kids,1200000,2608979
Richard Cordray,1135000,3140890
Vote Helen Wallace For Judge,1012000,2631965
Steve Dettelbach,1010000,3231748
Shareblue Media,993007,3862905
Can't Trust Cordray,905000,2010995
RAGA Ohio,855973,1815939
The Real Mike DeWine,810000,1919991
Phil Robinson for Ohio,661000,1825973
Betsy Rader for Congress,635536,1757034
Ohioans for Fair Maps,615000,2491909
Be A Hero,608931,1380507
Keith Faber,600000,1500996
Richard Cordray Failed,590000,1389982
Congressman Jim Renacci,505000,1009998
Conservation Ohio,497234,1122575
Congressional Leadership Fund,485262,1854398
Protect Ohio's Middle Class,465000,1059994
Steve Stivers,460984,1893887
Dave Joyce,388814,994062
Dave Yost,383000,1134464
Americans for Prosperity,377484,1427301
Auto Alliance,375000,909994
Concealed Online,342889,1021598
Rick Neal for U.S. Congress,335998,813625
Same Old Politics,326989,1128932
Jay Edwards State Rep,323724,1078769
Jason Tolliver for Lawrence Co. Auditor,314951,1326768
Ohioans Against the Reckless Dialysis Amendment,302583,1308064
Janet Garrett for Congress,279000,786958
Theresa Gasper for Congress,274000,862998
Humane Society Legislative Fund,260078,520384
Rep. Steve Stivers,260000,649997
Donald J. Trump,256395,1353937
The Matriots,229896,973428
GOP,220005,1014630
Buckeye Firearms Association,211000,424995
Judge Steven Martin,210000,449997
ExxonMobil,204369,495728
Ohio AFL CIO,200000,501931
Tea Party Nation,200000,499999
All Voting Is Local,196000,530946
Special Election 2018,189999,847938
Taylor Sappington for State Representative,185982,699892
Casey Weinstein for State Rep,174000,743885
Committee to Re-Elect Judge Mary Kovack,169000,713971
America First Policies,155093,537857
We Are Ohio,151000,455991
Judge Lisa Allen,150000,299998
Human Rights Campaign,143530,608755
Solar Energy Today,137190,366608
JP Morgan for Mahoning County Court Judge,135314,364620
Better With Age,132377,334900
ACLU of Ohio,131100,568181
Protect Our Workers' Earned Retirement Coalition,126000,464990
The Buckeye Institute,125000,496867
UAW International Union,124819,284125
ReBuild USA,124548,332187
State Representative Steve Arndt,121000,304996
Affordable Pharmacy Action Network,120097,240194
The Tax Scam,120000,299997
"Jason C. Stephens, Lawrence County Auditor",118998,420773
POWER HOME SOLAR,116756,291889
One Nation,115000,551976
John Boccieri for State Senate,115000,277989
D.J. Byrnes for Ohio House District 80,114967,480866
Rob Richardson,111167,420784
State Representative Nathan Manning,110729,253642
NTK Network,110000,251147
The Fair Housing Center,110000,249998
Steve Huffman,110000,249998
Elect  Kristina Daley Roegner,110000,249998
Anne Gonzales,110000,249998
Zach Klein,110000,249997
Convention of States,105229,212206
Jeremiah for Judge,104000,355975
Bridge Project,103000,307986
The Flyover Press,101058,205868
Peter J. Corrigan for County Executive,101000,478984
Unite2Vote,100000,498933
Republican Governors Association (RGA),100000,378945
Organization for Competitive Markets,100000,200249
U.S. Chamber of Commerce,100000,199999
AARP Ohio,90000,299995
Association for Accessible Medicines,89122,289141
Susan Moran Palmer For Congress,88912,280812
Dan Milleson for Ohio's 95th,87764,331487
National Wildlife Federation Action Fund,87000,240991
Consumers Against Deceptive Fees,85000,259995
MedicareSupplement.com,83000,449805
Judge Jill Lanzinger,83000,219987
OAPSE/AFSCME Local 4,81000,374990
Molly Johnson for Judge,78000,374989
Bobby Mitchell for Ohio House of Representatives,78000,292969
The Voter Participation Center,77566,575037
ECOT Andy,76000,214995
Adil Baguirov,75000,347984
Judge Jim Walther,74000,321948
"Elect Christen Finley for Judge, Lawrence County Court of Common Pleas",73937,247126
4ocean,72786,160443
Mike Rasor,70000,326976
Dale Stalf for Judge,69960,199916
Heritage Action for America,66974,169999
Tom Steyer,66416,341855
