RIchardson for Governor 2018,200000
and Authorized by SQ 788 is NOT Medical,100000
"Marsy’s Law for Oklahoma, LLC, 15 Enterprise, STE 550, Aliso Viejo, CA 92656",100000
FREEAMERICA,100000
Club for Growth Action,99955
official funds from the office of Congressman Markwayne Mullin,99561
"Yes on 793, Inc.",50000
Yes on 788 PAC,50000
Supporters of Kirk Pankratz OKC Council,50000
Oklahoma Families For Byrd 2018,50000
Friends of Dan Fisher 2018,50000
ExxonMobil,50000
Chris Sloan for District Judge 2018 Fund,50000
Charlie Prater for State Auditor 2018,50000
Americans for Prosperity,50000
Mullin For Congress,49869
the NRCC and not authorized by any candidate or candidate's committee.,10261
and Authorized by Oklahoma Faith Leaders ,10000
Vote Brad Reeves 2018,10000
The Lost Ogle,10000
Stitt for Governor 2018,10000
Stan Sallee for Tulsa County 2018,10000
"SoonerPoll, Oklahoma's only independent non-partisan polling firm.",10000
Sneed For House 2018,10000
Regan for Tulsa,10000
Paid for by Kendra Horn for Congress,10000
Oklahomans for Constitutional Integrity,10000
Oklahomans for Anthony 2018.,10000
Oklahoma State Treasurer's Office,10000
"OKC Fraternal Order of Police, Lodge 123",10000
OK Health Action,10000
Lori Callahan for State Senate 2018,10000
Lawton Marketing Group,10000
Khalaf Law Firm,10000
Johns for House 2018,10000
John Wright,10000
Jo and David Perryman,10000
Jason May for House District 48,10000
Hank Young for Judge 2018,10000
Grego for House 2018 ,10000
Gilpin for Congress 2018.,10000
Gary Banz for Oklahoma County Assessor 2018,10000
"Friends to Elect Natalie Mai District Judge, Dist. 7, Ofc. 5, 2018",10000
Friends of John Pfeiffer 2018,10000
Friends of John M. Dunn for District Judge 2018,10000
Friends of Andy Coleman,10000
Friends of Adam Weintraub Vote 2018,10000
"Foundation for Economic Prosperity, Inc.",10000
Foundation for Economic Prosperity,10000
Darrell Weaver for State Senate 2018,10000
Cory Williams for District Attorney 2018,10000
Committee to Elect Arnold Bourne to State Senate,10000
"Citizens for Free States, LLC",10000
Citizens For Ben Fu 2018,10000
Catalyst Oklahoma,10000
Bill Coleman for State Senate,10000
"Barry Gowdy for Governor of Oklahoma,",10000
Authorized and Paid for by Gary Jones for Governor 2018,10000
American Policy Advocates,10000
AARP Oklahoma,10000
918 Fully Involved,10000
#VoteTogether,10000
Humane Society Legislative Fund,9997
Friends of Chasteen 2018,9940
Travis  Dunlap Campaign 2018,8262
Convention of States Action,5912
the Republican State Leadership Committee,5000
the Committee to Elect Heather Coyle for District Judge 2018,5000
and authorized by Bill Day for State Senate 2018,5000
Zach Pearson for OK HD 100,5000
Williams,5000
Westcott for DA 2018,5000
Trumbull 2018,5000
Tracy Priddy for District Judge 2018,5000
Toryn Hambright For 53 2018,5000
The OU Foundation,5000
The Foundation for Oklahoma City Public Schools,5000
Sunbeam Family Services,5000
Steve Russell for Congress,5000
Shawn Howard for House 2018,5000
Russell For State Rep 2018,5000
Rowe for 66 2018,5000
Richardson for Governor 2018,5000
Richard Castaldo for Congress 2018,5000
Opportunity Scholarship Fund,5000
"Oklahomans for Lamb, 2018",5000
Oklahomans for Charles 2018,5000
Oklahomans Against SQ 793,5000
Mike Hunter for Attorney General 2018,5000
Mickey Dollens ,5000
Louise Works 2018,5000
Kelly Hake for District Judge Committee 2018,5000
John Carpenter For Oklahoma House Of Representatives,5000
Jennie Scott for 41-2018,5000
Jacob Rosecrants for HD 46 2018,5000
Hern for Congress,5000
Hass for House,5000
Friends of Julia Kirt 2018,5000
Friends of Judge Bob Hughey,5000
Friends of Beverly Adams 2018,5000
Family Equality Council,5000
Families For Nathan Dahm,5000
Eric Tomlinson for Oklahoma State Senate 2018,5000
"Elect Rod Wiemer District Judge 2018, 522 S. Seminole Ave., Okmulgee, OK 74447",5000
Committee to Elect Judge Cliff Smith 2018,5000
Civiqs,5000
Citizens for James A. Williamson for District Judge,5000
Blake Cummings for Corporation Commissioner 2018,5000
788 is NOT Medical,5000
 Friends of Darren Gantz 2018,5000
KWTV News 9,4999
Keep Judge Hladik 2018,4996
Tom Stites for State House 2018,4977
Friends of Mike Ritze,4977
No New Oklahoma Taxes,4968
Energy Citizens,4911
Freedom for All Americans Education Fund,4902
NRATV,4412
"4Ocean, LLC",4199
Joe Walsh,4108
Kongregate,4068
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",3762
American Possibilities PAC,3733
United for Medical Research,3724
LeadingResponse,3598
U.S. Chamber of Commerce,3362
Shatterproof,3344
Leadership Always,3249
Center for Biological Diversity,2729
Aspiration,2602
Airbnb,2548
Axios,2437
T-Mobile,2414
People United for Privacy,2224
End Citizens United Nonfederal,2081
2A4LIFELLC,2043
United Moms,2011
Charlie Kirk,1940
Amy Manuel for County Clerk,1810
PhRMA,1793
Jane Velez-Mitchell,1776
Job Creators Network (“JCN”),1717
Joann,1648
Kansas Hospital Association,1560
Harley Rouda for Congress,1553
Ben & Jerry's,1314
Finkenauer for Congress,1300
YouGov,1142
Salem Media Group,1125
Open Primaries Inc.,1108
Steve Forbes,1077
The Christian Left,1027
Oceana,1003
the Oklahoma Council of Public Affairs,1000
"members of Oklahomans For School Calendar Reform (OK4SCR), a grass roots association of Oklahomans (former and current) and other kindred spirits who support reform of Oklahoma's education laws to define a state-funded school year that begins in late August or early September and provides a process to  guide local control in decision making on such matters.",1000
