Kate Brown,3177000,9343624
Dr. Knute Buehler,1953879,5782295
No on 103,1480987,3491919
No Cuts to Care: No on Measure 106,1154601,3143853
NO on 105,1088480,2550248
Greg Walden,996037,3024773
Oregon Forests Forever,793669,2232413
Our Health Oregon,505000,1249979
Yes for Affordable Housing,480979,2562350
Vote Crier For Marion County,438000,1600748
Oregonians for Immigration Reform,407000,1169964
Julie Parrish for Oregon District 37,373000,1522950
Defend Oregon,348998,899985
Jamie McLeod-Skinner for Oregon,337278,1125529
TriMet,283091,734696
Michelle Blum Atkinson for Oregon State Representative,282962,1013386
Yes on Measure 106,230000,939950
Paul Evans,217000,658971
Oregon Alliance to Protect Hunting and Fishing,205000,410996
Janelle Bynum,204000,617973
Equal Protection Oregon,187079,805137
Coalition of Communities of Color,183000,442958
Human Rights Campaign,181465,698989
Yes on 104,171000,524990
Friends of Anna Williams,168930,535797
One Oregon,163000,457985
Colm Willis,155910,574487
Oregonians for Affordable Drug Prices Now,153000,696910
Oregon AFL-CIO,143000,418979
Oregon Education Association,133000,485961
SEIU Local 503,123000,314993
Christine Drazan for State Representative,122000,313980
Concealed Online,119718,377056
Partnership for Oregon Communities,113303,526946
The Wilderness Society,109391,252848
NRDC,107593,223720
Americans for Prosperity,104850,209710
Representative Caddy McKeown,102985,323948
Secretary of State Dennis Richardson,100000,199999
Bill Kennemer for Oregon,100000,199999
Casey Kulla for Yamhill County Commissioner,99000,322968
Solar Rebate,91001,347947
Alex Poythress for Medford City Council,89000,254976
Tom Ellis - Happy Valley City Council President,88000,344975
Warnock4Oregon,82000,363861
Looking Out For Lori,82000,269984
Dave Brown for Columbia County Sheriff,78924,217453
Bill Moseley Bend City Councilor,77000,320950
ProtectRX,76000,282004
Sam Carpenter - Make Oregon Great Again,76000,214995
Tiffiny Mitchell For Oregon House District 32,75000,196989
Selma Pierce,72276,312169
Keep Oregon's Promise,72000,317830
Lori Chavez-DeRemer,71986,332918
Joe Buck for Metro,68000,240972
State of Safety,67558,266717
No on 104,66000,315991
Affordable Housing for Who?,65000,296986
Protect 30,60000,240991
Jessica Gomez for Oregon Senate,58000,128991
Stan Pulliam for Mayor of Sandy,57000,205974
I Make America,55883,298378
Donald J. Trump,50677,234768
Relevant Seminars,50000,100998
Equity Forward,49812,99621
Climate Litigation Watch,48262,96524
Joe Davis for Judge,48000,226990
Southern Oregon Priorities,48000,224992
Charles Kochlacs for Judge,48000,219977
Oregonians for Safe Gun Storage,46404,105277
Children First for Oregon,46000,156981
Place Matters Oregon,45000,210994
Katy for Coos,44798,197080
Opt Out Today,44684,221486
Ellen Rosenblum,43000,236962
Loretta Smith,41355,199170
Mark Herbert for State Representative,41000,182977
Oregon Right to Life,41000,134983
Dave Stauffer for President,40000,199996
Flip 4 Clackamas,40000,191984
Teri Grier for Oregon,38993,196928
"UpClose with Peter Sage, political insights and commentary",37985,166914
Ted Wheeler,37700,362743
Kevin Chambers,37000,200965
Deb Patterson,37000,190957
VOTE YES For Oregon City Schools - Measure 3-545,35000,145990
Patagonia,34762,113799
Scott Learn,32000,103980
People United for Privacy,31743,156517
Ben West,31000,154996
Kevin Cameron for Marion County,31000,124995
Oregon AFSCME,30654,147106
Adam Schwend for Tillamook County Commissioner,29978,134895
AARP Oregon,28994,99961
Connect Americans Now,28686,87850
Tree Top,28074,57908
Massene Mboup for Lake Oswego City Council,28000,83984
Indivisible Guide,27868,89598
Tobias Read,27000,158938
Honest Elections Portland - Yes on 26-200,27000,123991
Association for Accessible Medicines,26317,83632
National Republican Congressional Committee,26206,66857
The Nature Conservancy in Oregon,26000,116918
Danny Jaffer for Oregon House District 23,26000,115995
Rep. Jeff Helfrich,25931,99267
PragerU,25190,53490
Josh Hill for Oregon,25000,116981
Alexander For Oregon State Senate,25000,112983
Planned Parenthood Advocates of Oregon,25000,111995
Tom Kress for Douglas County Commissioner,25000,79996
No More Freeways PDX,24999,119963
Chrissy for Oregon,24659,109315
Jerred Taylor for State Representative,24000,81981
ACLU,23040,76443
Bill Post,23000,88990
Oregon Life United,22692,132430
Environment Oregon,22628,100759
Beto O'Rourke,22615,53579
The Law Office of Eduardo Z. Herrera LLC.,22311,98081
Eddy4Gresham,22000,111994
Sierra Club,21475,52592
Peter DeFazio,21000,107963
Smokefree Oregon,21000,104997
Steve Dickson for Medford,21000,97975
Rachel Prusak,21000,96985
Rev. Dr. Chuck Currie,21000,91990
Northwest Abortion Access Fund,20014,84464
Mike Ellison for Oregon HD-19,20000,103344
Susan McLain,20000,99998
Cheri Helt for State Representative,20000,69997
Planned Parenthood,19312,50407
Basic Rights Oregon,19042,95208
Liberty Justice Center,19000,97021
Oregon Gun Owners,18000,60989
Doug LaMalfa for US Representative,17226,44818
Don Libby for Medford,17000,90986
James Cook for Deschutes,17000,62983
Mark Meek,17000,44895
Swing Left,16762,54809
Andrew Janz,16278,43931
Students For Liberty,16000,64997
Northwest Hazelnut Company,16000,34996
The Kodel Party,15940,76685
Tom Steyer,15691,44759
Sami Al-AbdRabbuh,15000,74974
Teri Plagmann for Linn County Judge,15000,29997
Amy Thuren for County Commissioner,14999,98953
Dorothy Merritt,14851,67312
MoveOn,14251,103688
Eileen Kiely for the Oregon 53rd,14000,84971
4ocean,13392,31021
Alek Skarlatos for County Commissioner,13000,91949
Friends of Judge Fay Stetz-Waters,13000,85966
No Grants Pass Gas Tax,13000,66994
Heather Buch for Lane County Commissioner - District 5,13000,65995
SEIU Local 49,13000,36993
