Tom Wolf,9432843,24802874
Bob Casey,6777738,15620153
Pennsylvania Values,5001984,11714807
Marsy's Law for Pennsylvania,4227995,9516925
Pennsylvania Department of Health,3582000,8166973
Shareblue Media,3021131,10497741
First Home PA,2311000,5554988
NumbersUSA,2284750,4717637
Finish the Ballot,2259391,6941479
Pennsylvania Department of Human Services,2060000,4550989
Our Lives Our Vote,1964000,5014774
Scott Wagner,1805000,3865956
Susan Wild for Congress,1690128,3933494
Pennsylvania Leadership Committee,1567927,6663049
Likewise,1531000,4490923
Brian Fitzpatrick,1356809,3279532
Scott Wallace,1295262,2986395
NextGen America,1283284,4692004
Jess King for Congress,1190533,3336710
PP Pennsylvania Advocates,1175920,3178632
Rock the Vote,1082825,3745946
Southeast PA Victory,945000,2881854
Philadelphians for a Fair Future,882796,1953624
Chrissy Houlahan,824000,2827809
MO Research,816923,2039535
Marguerite Quinn for PA Senate,805893,1803713
Keystone Progress,687965,1696805
George Scott for Congress,687201,1680336
Commonwealth Foundation,663000,1806953
Americans for Prosperity,644347,1909031
"Stewart Greenleaf, Jr.",623000,1745311
NRCC IE,612900,1770355
Education Funding Works,604000,1431975
Pennsylvania State Treasurer Joe Torsella,574959,1199899
No Labels Action,545516,1091764
Congressman Lou Barletta,540995,1206960
Clean Jobs Pennsylvania,531998,1467961
John Chrin for U.S. Congress,485000,1791953
We Are PA,480050,1538404
Aument For Senate,457997,1079965
Free to Teach,455000,1059987
Our Public Lands,439411,2228338
Auto Alliance,420000,999995
Keith Rothfus,416000,1396947
NRDC Action Fund,406814,1314221
One Pennsylvania,364976,873843
Speak Up For Education and Kids,361097,926476
Dan Meuser for Congress,355950,1127834
Congressman Keith Rothfus,354998,853970
Independence USA,337711,1493155
AFL-CIO,336964,712069
Congressman Brian Fitzpatrick,336085,865783
Conor Lamb,333984,931156
PennEast Pipeline,332354,1226658
Bizarre Multi-Millionaire Scott Wallace,324070,741106
Heritage Action for America,321008,992034
We Work For Health -  Pennsylvania,301000,704996
AARP Pennsylvania Office,300000,699997
ExxonMobil,286180,749329
Ryan Mackenzie for State Representative,285000,659992
Donald J. Trump,276216,1503189
Maria Collett for PA Senate,275981,1306734
Justin Simmons,265992,714973
The Voter Participation Center,264106,1200064
Lou Barletta,260000,549996
Humane Society Legislative Fund,257491,544974
John Rafferty for PA Senate,251649,665251
GOP,245082,1954904
Scott Perry for Congress,233000,1094933
America First Action,231087,660410
Vets For Jess,226159,946450
Citizens for Responsible Energy Solutions,224687,501264
Keystone Energy Efficiency Alliance (KEEA),216677,1018301
Keep Them Accountable,213627,719893
UAW International Union,210868,557427
Solar Energy Today,208796,828353
TIDAL,205171,500596
Fed of American Hospitals,205035,552131
PSEA - PA State Education Association,205000,509998
Lindsey Williams,200000,499999
One Nation,200000,399997
With Honor,199818,499542
Pennsylvania Progress,198541,496352
Anton Andrew for State Representative,196049,656784
Marty Nothstein,190245,503234
Mike Kelly for Congress,190000,805979
Friends of Matthew Dowling,188000,633957
Bob Mensch,182000,717975
Small Business & Entrepreneurship Council,180994,455981
Paycheckology,180000,421992
Tommy Tomlinson for State Senate,179000,520983
Re-Elect Tom Murt for State Representative,173991,419961
Lloyd Smucker,170000,400994
PA Democratic Party,162000,437981
Rosemary Brown for State Representative,160000,409989
NRA - National Rifle Association of America,159888,327079
Medication Access Pennsylvania,152862,668276
Sean Quinlan for State House,151982,406891
Human Rights Campaign,151241,620762
Emily Skopov,151000,402968
