Rhode Islanders for Higher Education ,100000
Justice For Ward 1,100000
Committee to Elect Val Lawson,50000
Eastern Bank,10998
Rhode Island Coalition Against Gun Violence,10000
RI Department of State,10000
Oceana,10000
Log Cabin Republicans of Rhode Island,10000
Friends of Nellie Gorbea,10000
"Friends of Jason Roias, a candidate for Providence City Council in ward 4.",10000
Feroce For Governor,10000
Friends of Aaron Regunberg,9892
the Rhode Island Democratic State Committee,5000
Vanessa Paniccia,5000
U.S. Term Limits,5000
The Auto Alliance,5000
Rhode Island Coalition Against Domestic Violence,5000
"Planned Parenthood Votes! Rhode Island, Amanda Skinner, CEO, 175 Broad Street, Providence, RI 02903. Top Five Donors: Planned Parenthood Action Fund, Rosalyn K. Sinclair, Simone P. Joyaux, Alison Townsend, Barbara Sokoloff.",5000
Neronha for Rhode Island,5000
Mike Costa for U.S. Senate,5000
Friends of Sue Stenhouse,5000
Friends of Philip Overton,5000
Friends of Nick Autiello,5000
Friends of Nicholas Mattiello ,5000
Friends of Ewa Dzwierzynski,5000
Friends of Alana DiMario,5000
Friends of Aaron Jaehnig,5000
Committee To Elect Rebecca Shiff,5000
Charles Callanan,5000
Archambault for State Senate,5000
Friends of Mark Schwager,4999
North Kingstown Republican Committee,4998
Freedom Partners,4915
Committee to Elect Sean Kilduff,4847
The Professional Fire Fighters of Massachusetts' Committee on Political Education,3255
America's Future Foundation,2927
The Committee to Elect Julie Hall ,2207
Friends of Bob Massie,1595
CTE Kevin Kuros,1530
PragerU ,1501
SEAL PAC Supporting Electing American Leaders PAC,1175
350 ,1149
Committee to Elect Jared Golden,1081
the Campaign to Elect William Murray Gates,1000
William Gilbert,1000
Whitehouse for Senate,1000
United Nurses and Allied Professionals,1000
Trillo for Governor campaign,1000
The Record,1000
The Mackinac Center for Public Policy,1000
The Gaspee Project,1000
The Friends of Joshua Luis Pereira for East Providence City Council Ward 2,1000
Sue Stenhouse For Mayor of Warwick,1000
Substance Abuse and Overdose Prevention PAC,1000
"Steve Ahlquist, writer/editor of UpriseRI",1000
"State Solutions, Inc.",1000
Scituate Democrat Town Committee,1000
SOLAR ENERGY TODAY,1000
Rocky 101 LLC,1000
Raymond Berarducci,1000
Pushed Learning and Media Incorporated,1000
Portsmouth Republican Town Committee,1000
Our Children's Trust,1000
National Solar Rebate,1000
Michael Swanson,1000
Michael McCaffrey,1000
Magaziner for Treasurer ,1000
Legal Insurrection Website,1000
Keep Rhode Island Beautiful ,1000
Jonathan Pressman for United States Senate,1000
JAH Victory Fund,1000
Friends of Steven Cianci,1000
Friends of Senator James Sheehan,1000
Friends of Sam Bell,1000
Friends of Rebecca Kislak,1000
Friends of Paul M Jones,1000
Friends of Mike Donegan,1000
Friends of Mary Ann Shallcross Smith,1000
Friends of Mark Tracy,1000
Friends of Mark McKenney,1000
Friends of Luis Vargas,1000
Friends of Laufton Ascencao,1000
Friends of Lammis Vargas,1000
Friends of Kobi Dennis,1000
Friends of Justine Caldwell,1000
Friends of Jorge Elorza,1000
Friends of Jonathan Vallecilla,1000
"Friends of John McDaid, Karen McDaid, Treas.",1000
Friends of Joe Solomon,1000
Friends of Jason,1000
Friends of Helen Anthony,1000
Friends of Gina Raimondo,1000
Friends of Ernie Nardolillo,1000
Friends of Emmanuel R. Echevarria,1000
Friends of David Norton,1000
Friends of David Dadekian,1000
Friends of Daniela Abbott,1000
Friends of Dan Mckiernan ,1000
Friends of Dan McKee,1000
Friends of Bridget Valverde,1000
Friends of Andy Tyska,1000
Friends of Albert Gizzarelli,1000
Friends Of Lauren Niedel-Gresh ,1000
Friends Of Doug,1000
Flanders for U.S. Senate,1000
Fix Our Schools RI,1000
Elect Patricia Morgan,1000
Coolman for RI,1000
Committee to Elect Teresa Tanzi,1000
Committee to Elect Rebecca Schiff,1000
Committee To Elect Rebecca Schiff,1000
Clean Water Action,1000
Civiqs,1000
Charles F. Pollock Jr.,1000
Attorney Chas Calenda,1000
AARP Rhode Island,1000
 Friends Of Sal Giuseppe Caiozzo,1000
"4Ocean, LLC",989
Friends of Michael Earnheart,973
DeRobbio For Mayor,954
"Retirement You Workshops by A4 Digital, Inc.",941
Friends of Dana Gee,906
Scott Copley for RI Senate District 33,905
truth,856
The Harvard Crimson,836
Americans for Prosperity,759
Michael Geary for Rhode Island House 38,735
Friends to Elect Tammy Collins,729
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,714
Beto for Texas,707
Friends of Michael Veri,675
Ben & Jerry's,675
myself,658
Sandy Hook Promise,625
CHC BOLD PAC,598
Patagonia ,578
Watson Institute for International and Public Affairs,551
Impress3 Media Inc.,493
Daily Wire,475
FuzzWeb,455
Nuclear Energy Institute,452
Donald J. Trump - online store for campaign gear,431
Parks Project,423
"De Carli for CT Senate 2018, Tricia Stewart, Treasurer. Approved by Cathy De Carli",406
Tom Steyer,405
Brigade,403
the Make Healthcare Affordable Coalition,359
Grunt Style,350
Donald J. Trump - 45th President,349
C-SPAN,342
Austin Petersen for US Senate,334
People For the American Way,319
Comedy Central,309
Alma del Mar Foundation,309
Warrior 12,302
University of Michigan,293
Action Against Hunger ,286
Progressive Turnout Project,281
New York Working Families Party,275
The Dude's Designs,244
People United for Privacy,232
National Wildlife Federation Action Fund,230
Charlie Kirk,230
"iSideWith, LLC",229
"TTG, Inc",220
Mike Gill (State of Corruption),218
Adam Schiff for Congress ,215
Not One Penny,207
Webinar Technologies,201
Consumer Alert Services,201
T-Mobile,195
Healthcare Workers Rising Massachusetts ,192
American Engagement Technologies,179
"Goods Unite Us, Inc.",177
Blue Lives Matter,170
Live Nation Concerts,162
National Mining Association,160
Charter Public Schools PAC,159
Ken Paxton Campaign,156
Team Morris for Morris County Freeholder,155
Always Home,152
Yes She Can,149
the Bump Committee,144
the National Center for Transgender Equality,141
Picador USA,139
Vulcan Inc.,136
The Wilderness Society,136
Democratic Socialists of America,134
Hildreth Institute,133
"We Stand, LLC",132
"Kurt for Wisconsin, Christine Kober, Treasurer",132
Fix the Court,126
Committee to Elect Harper Peterson ,124
Patty Murray for Senate,123
No Labels. Not Authorized by Any Candidate or Candidate Committee.,123
"Stewart for Senate, Inc. ",122
Political dot Law,120
Front Page Confidential,120
NRLN,119
The Young Jurks,114
The Coalition to Protect Patient Safety,114
"Political advertisement, paid for and approved by Joe Gruters, Republican for Florida State Senate, District 23",113
Right Wing News ,106
Synthisophy,102
We Are Not Trump,98
Pennsylvania Chamber of Business and Industry,92
STAND FLAG POLES,90
The Gonzalez Committee,87
Circa,87
My Faith Votes,86
DrugJustice,86
Ron Miscavige Blog,82
Millennial Policy Center,81
Penguin Random House ,80
NRATV,79
Bob for Governor,78
Healthy Living Initiative ,76
Cold Dead hands of America,75
Coalition For Trump,70
"Hatfield 2018. Loretta Chory, Treasurer. Approved by Susan Hatfield. ",69
Rainforest Action Network,68
Compassion & Choices,68
The Markey Committee,66
"Public Land, Public Benefit, No on E, Yes on G, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates. Committee major funding from H.G. Fenton Company and Sudberry Properties.",65
32BJ SEIU,65
State Policy Network,64
"VALOR - Veterans Alliance of Orange County Issues Committee, Yes on Measure B, sponsored by Heritage Fields El Toro, LLC. Committee major funding from Heritage Fields El Toro, LLC",63
Jacobin Foundation,63
Heidi for North Dakota,63
AIPAC,63
Mary Geren for Congress,62
