Henry McMaster,2667961,8663459
Warren for Governor,2434535,5908589
Catherine Templeton for Governor,2080985,4837118
Alan Wilson,1603398,4199854
Lindsey Graham,927000,2388958
Office of South Carolina Treasurer Curtis Loftis,826834,2891368
James Smith,635000,1457923
Planned Parenthood Votes South Atlantic,576000,1550927
Katie Arrington,575457,1676703
South Carolina Industry Project,542000,1210987
Dominion Energy South,497912,1397849
Freedom Action Network of South Carolina,459984,2122884
Ralph Norman for Congress,448459,1338385
Concealed Online,321766,920534
The Palmetto PAC,320000,852987
MO Research,314434,658590
Nelson Faerber for Secretary of State,313973,819900
Southern Environmental Law Center,303717,1565219
South Carolina FYI,301000,704997
We Are Boeing SC,273997,745973
Guy Furay - GUY4Congress - Vote For Guy,266992,573948
CFG Action,226962,809785
Meadors For Solicitor,215000,746980
Tom Steyer,209703,553447
Palmetto Prosperity PAC,200000,499999
Citizens for Responsible Energy Solutions,185987,546914
William Herlong for Attorney General,181972,459854
South Carolina Republican Party,178987,686890
Security is Strength PAC,165000,631984
Kerry Wood,141711,284411
Auto Alliance,133256,359508
NEA Today,131305,372159
Tom Fernandez for State House,120000,584983
Joe Cunningham,119355,526510
Lee Boan for Kershaw County Sheriff 2018,117837,476131
SC Club for Growth,105915,395424
Tom Rice for Congress,105000,404981
John Holler for SC Senate,103000,457982
Todd Atwater for Attorney General,101738,334253
Democratic Climate Action,100187,201215
TrustedChoice.com,100000,199999
South Carolina Department of Education,100000,199999
Upstate Conservative Victory PAC,98996,301969
Explore Offshore,92349,384431
Solar Rebate,84860,396329
Jay Brooks for Sheriff,82652,385246
Something to Think About,80000,220976
Christian Stegmaier - SC Senate District 20,78000,374989
Russell Guerard for State House Seat 110,75659,215288
Women's Rights and Empowerment Network- WREN,74000,357970
Trafalgar Group,71000,204996
Protect Freedom PAC,70987,310924
Palmetto Futures,67661,188300
The Alliance for Solar Choice,61000,304993
American Tort Reform Association,60000,149998
Walt Wilkins for Solicitor,59000,300976
Jason Elliott - SC State House Representative,57994,229957
Donald J. Trump,57415,365707
The Western Journal,56766,274606
Anderson County Hospitality Tax,55000,229993
Michael For Mayor of Hilton Head Island,53995,259946
Energy Consumers of the Carolinas,53000,193979
Palmetto Conservative Solar Coalition,50000,249995
"Louthian Law Firm, P.A.",50000,99999
John Kraljevich for SC26,49619,223458
John J. McCann For Mayor of Hilton Head Island,47000,215853
Serve America,43047,86419
Solar Energy Today,42944,173276
Dan Gregory for Register of Deeds,42000,231921
Todd Carnes for State House #87,41999,181987
Curtis Loftis,41000,150969
Mal Hyman for US Congress,40810,201004
Home Professionals,40000,210948
Mary Geren for Congress,39942,171691
"Kelsey Willey, Esq.",33000,162976
Re-elect Janice Dabney - School Board District 5,33000,112975
JoJo Woodward for Sheriff,32000,140974
Phil Noble,30985,146908
Tidelands Health,30044,150213
MedicareSupplement.com,29000,342751
Charleston County Democrats,29000,130992
Joseph Dunkle,29000,86985
Tim Ridge For Ward 2 Hilton Head Island Town Council,28000,114984
Betty Dowling,28000,112977
Pickens County Observer,28000,94993
Jody Gaulin for SC House District 2,27000,120994
