Palmetto Prosperity PAC,200000
Warren for Governor,100000
South Carolina Industry Project,100000
SC Department of Education,100000
KATIE ARRINGTON FOR CONGRESS,98735
Kerry Wood for SC Secretary of State,94907
William Herlong for Attorney General,50000
Vote For Guy. I'm Guy Furay and I approve this message.,50000
"Palmetto Futures, Columbia, South Carolina",50000
PAID FOR BY TEMPLETON FOR GOVERNOR,50000
STOPP Coalition,15820
Kinder World,11001
Kemp for Governor,10467
Walt Wilkins for Solicitor,10000
Tom Steyer,10000
Tom Rice for Congress,10000
Tom Fernandez for State House,10000
The Trafalgar Group,10000
The Explore Offshore Coalition,10000
The Auto Alliance,10000
The Alliance for Solar Choice,10000
Security is Strength PAC. Not authorized by any candidate or candidate’s committee.,10000
Security is Strength PAC,10000
Save Folly Beach,10000
Russell Guerard for State House,10000
Palmetto PAC,10000
Paid for by Americans for Prosperity,10000
Michael Santomauro For Mayor of Hilton Head Island,10000
Meadors For Solicitor,10000
McMaster for Governor,10000
Jody Gaulin for SC House District 2,10000
Jay Brooks For Sheriff 2018 Campaign,10000
Groundswell Movement,10000
Greater Bluffton Republican Club,10000
Global Citizen,10000
Cmte. to Elect Kelsey Willey,10000
Christian Stegmaier for State Senate,10000
Brian Murphy for Fort Mill School Board of Trustees,10000
Alan Wilson for Attorney General,10000
"Protect Freedom PAC and not authorized by any candidate or candidate’s committee.  332 W. Lee Highway #405, Warrenton, VA 20186.",9997
March For Our Lives,9997
Joe Cunningham For Congress,9996
PAID FOR BY KATIE ARRINGTON FOR CONGRESS,9995
Freedom Action Network of South Carolina,9913
John For SC,9844
MB FYI,9829
SC Farm Bureau Federation ,9814
Tidelands Health,9786
Boeing,7572
Seniors Speak Out,7413
Women's Rights and Empowerment Network,5000
Upstate Conservative Victory Fund but not authorized by any candidate or candidate committee,5000
Something To Think About,5000
Paul T Palmer Jr,5000
Matt O'Neill Real Estate,5000
Mary Geren for Congress,5000
Marchant for Solicitor,5000
Jim Moore for School District 55 School Board,5000
Holler for SC Senate,5000
Energy Consumers of the Carolinas,5000
Dupree for Clerk of Court,5000
Committee to Elect Tim Ridge for Ward 2,5000
CASKEY FOR HOUSE,5000
Byron Gipson for Solicitor,5000
Brandon Smith for Mayor,5000
Bowers For House District 87 ,5000
Able SC,5000
Protect Freedom PAC,4999
Camapign to Elect Jen Gibson,4995
Eric Graben for Congress.,4993
Joe Boykin for Charleston County Council,4971
James Epley for Congress,4962
William Crawford for Spartanburg County Council D2,4958
Capital Project Sales Tax of Abbeville SC,4939
SC Alliance To Fix Our Roads,4932
Fry for House,4898
Russell Guerard for S.C. House 110,4801
FirstQuoteHealth,4743
UPROXX,4460
Pam Tucker for Columbia County Commission Chair,4420
Union of Concerned Scientists,4259
"Winning For Women, Inc.",4225
Donald J. Trump - online store for campaign gear,3608
Mike Raymond for Beaufort County Council,3552
Andrew Alsup ~ The Village Savant,3411
Patriot News Alerts ,2852
Proud American Supply,2661
Progress News Network,2657
GVN Releasing,2601
Likewise Media,2509
PowerPAC Georgia,2424
Mayor Greg Carswell,2287
Deb Fischer for U.S. Senate,2284
Elise for Congress,2272
Civiqs,2272
Mic,2211
Charlie Kirk,2196
"Air Line Pilots Association, International",2130
RepublicEn,2094
Front Page Confidential,1975
The Committee To Elect Jeff Tarte,1934
"Marin Crops, LLC",1780
the Gaston County Republican Party. ,1728
Georgia Right to Life,1598
"4Ocean, LLC",1560
"VOTE. Flaunt your power, vote this November & spread the message!",1373
The Wilderness Society Action Fund,1349
Media Research Center,1291
Dropkick Memes,1225
"Mobile Conservative, LLC",1219
Adam Schiff for Congress ,1185
World Animal Protection,1154
Kevin McCarthy for Congress,1145
Patriot Journal,1121
American Center for Law and Justice,1111
OZY Media,1080
Discovery Institute,1052
Tax March,1035
"Pursuit, a non-partisan, non-profit organization",1029
Mutual of Omaha,1023
FreedomWorks,1010
the funds authorized by the House of Representatives for the Seventh District of South Carolina,1000
the Palmetto Promise Institute,1000
York County Republican Party,1000
Yes 2 Our Students,1000
Woodward for Sheriff,1000
Vote Brandon Cox,1000
Victor Kocher,1000
Upstate South Carolina Living,1000
Trustee Jan Hammond,1000
Tommy Dimsdale,1000
The Committee to Elect Johnny Gardner Horry County Chairman ,1000
"Team Graham, Inc.",1000
Stop Laurens District 55 Tax Hike,1000
South Carolina Appleseed Legal Justice Center,1000
Sheriff Tony Chavis,1000
Servant Campaign Fund ,1000
Sean Carrigan for Congress,1000
Save Our Schools,1000
Sarah Shad Johnson for School Board,1000
Sandy Cochran,1000
SC68 Cameron Ventura,1000
SAMUEL RIVERS FOR HOUSE,1000
Re-elect Jim Beckert,1000
Raquel Caldwell ,1000
Randy Ligon for State House,1000
Preston for Progress,1000
Powdersville LIVE,1000
Planned Parenthood Votes! South Atlantic. Not authorized or in coordination with any campaign.,1000
Planned Parenthood Votes! South Atlantic,1000
Palmetto Family Council,1000
Paid for by Davis for House,1000
Paid For Bill Hills For County Council,1000
PAID FOR BY HONEYCUTT FOR COUNCIL,1000
Nelson Faerber for Secretary of State,1000
National Education Association,1000
Nate Bristow for Colleton County Council,1000
Meredith Rutland for DD2,1000
Mandy Kimmons for State House,1000
Malinowski for Richland County Council,1000
Mal Hyman For Congress,1000
Loftis for Treasurer,1000
Lazarus for Chair,1000
Laurens County Tea Party,1000
Lake and Main,1000
Kathy Maness for Lexington Town Council,1000
Joshua Putnam for Secretary of State,1000
Josh Kimbrell for Congress,1000
Joseph Dunkle,1000
Jonathon Hill for SC House District 8,1000
Jeremy Summerlin,1000
Jeff Herring for District 5 School Board,1000
Jason Johnson for Sumter School Board,1000
Jason Elliott for State House,1000
James Smith for South Carolina.,1000
Jake Rambo for School Board,1000
JA Moore for SC,1000
Helen Mason Smith Horry county School Board Candidate,1000
Greg Duckworth SC House 104,1000
Greenville County Republican Party,1000
Future Scholar. Administered by State Treasurer Curtis Loftis. Not paid for with state funds.,1000
Finance Watch Dogs,1000
Dunn for SC Senate,1000
Dowling for Auditor,1000
Dominion Energy,1000
Democrats for Marchant,1000
Dayna Smith for SC Senate 20,1000
Davis for House,1000
"David Snodgrass | 2024 Concord Dr Camden, SC 29020",1000
Daniel Alexander for Barnwell,1000
Dan Tripp for Greenville County Council,1000
Dan Gregory for ROD,1000
DAN SHARP FOR PROBATE JUDGE COMITTEE,1000
Conservation Voters of South Carolina,1000
Con Chellis for State House,1000
Committee to Elect Will Morin,1000
Committee to Elect Michael Gaskin,1000
Committee to Elect Kyle Guyton,1000
Committee to Elect James Dixon Sheriff of Chesterfield County,1000
Collins for SC House District 5,1000
Club for Growth Action,1000
Citizens for Responsible Energy Solutions,1000
Christine Dayton for Fort Mill School Board of Trustees ,1000
Chris Hervochon or Chris Hervochon for County Council,1000
Chester Citizens for Ethical Government Members,1000
Cherny for Congress,1000
Charleston County Democratic Party,1000
Calhoon for State House,1000
Bishop Eric J. Freeman as a community service. The details of such are solely for informational purposes.,1000
Bill Turbeville for SC Senate,1000
Bill Hearn for Mayor,1000
Berkeley County Republican Party via Admin,1000
Awesome News Network,1000
Atwater for Attorney General,1000
Arik Bjorn,1000
Allan Quinn for SC House District 5,1000
Adam Morgan for SC House Seat 20,1000
" Brandon Brown for Congress        "" Put SC 4th First """,1000
Charleston Coalition For Kids,999
Freedom Partners Shared Services,997
The Committee to Elect PJ Tanner Sheriff,996
 VoteHaoWu,996
Ralph Norman for Congress,995
Penry Gustafson for SC House,994
Keep our Republican Solicitor,994
Bright for Congress,990
the ASPCA,989
South Carolina Republican Party,987
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,986
Lee B. VIning - Candidate for SC House District 17,984
Servant Campaign Fund,974
Matt Davis for School Board,968
Joe Walsh,968
MoveOn.org Civic Action.,956
China-US Focus,937
Scott Wagner For Governor,936
MJ for Texas,922
C-SPAN,907
Coalition For Trump,894
2A4LIFE LLC,881
USPS,878
Main Street Investors Coalition,850
Giffords,848
the National League of Cities,818
ecoSPEARS,816
Rich Shumate,810
