No on IM-25,2286000,5505933
Tim Bjorkman,2144756,8035105
Marty Jackley,1132565,2685026
Randy Seiler for Attorney General,203000,887915
Concerned Veterans for America,150000,299997
Vote Yes for Schools,130000,531972
Billie Sutton,104885,374417
Feeding South Dakota,100000,199999
Josh Haeder for State Treasurer,93568,373530
South Dakotans for Comprehensive Energy Solutions,92299,321148
Civiqs,76000,340975
Tatewin Means,76000,331935
Shantel Krebs,72000,212992
Steve Swenson for Sheriff,69679,335367
Humane Society Legislative Fund,65000,159997
DoSomething.org,60041,150224
Paul TenHaken,50000,102996
Jeff Hayward for District 12 House,47000,191990
Doug Post for SD House District 7,47000,179982
Yes on IM-25,46000,215993
Citizens for Tobacco Rights,42051,169239
Jason for South Dakota,41106,191192
Dan Nelson,39749,192727
Rossknecht for Pennington County Commissioner,39000,135976
Stace Nelson,38958,164719
Avera St. Luke's Hospital,34709,131068
South Dakota Watchdog,31000,124995
Americans for Prosperity - South Dakota,28000,142987
Auto Alliance,27000,119995
Kasey Olivier,26994,174609
Reid for 33,25000,112994
AARP South Dakota,22992,114953
Kristie Fiegen for South Dakota,21017,81787
"Keryn Rowland, Candidate for Pennington Co Commissioner, District 1",21000,91990
Democratic Attorneys General Association,20177,100069
Tom Pischke SD House - District 25,19000,80993
Cathy McNickle for Brown County Auditor,17427,74027
Rachel Willson for District 10 Senate,17000,69996
VoteTogether,15022,60279
Daryl Root for District 4 House,14928,34557
Cory Ann Ellis,14901,62490
Kristi Noem,14000,72992
Jon Hansen for House,13000,35992
MedicareSupplement.com,12000,202823
Soholt For Senate,12000,71976
Wieczorek Independent For Congress,12000,32993
Raymond Clements for Sheriff,11000,54998
Jason Coenen for Day County Sheriff,11000,46986
Donald J. Trump,10128,61239
Margaret Kuipers 4 SD House District 11,10000,50998
Vote Yes Rapid City,10000,49999
Rodney M. Bordeaux,10000,49999
Partridge for District 34,10000,49999
Neal Tapio for US House,10000,49999
Jarding for 33,10000,49999
Roxanne Weber for District 24,10000,20973
NumbersUSA,9952,49760
South Dakotans for Progress,9916,55562
Brett Ries for SD House District 5 - Watertown,9000,45990
Gideon Oakes for District 30 Senator,9000,31993
Rose Grant for Auditor,8982,47899
Dan Klimisch,8000,52979
Margaret Ross for SD District 27 Representative,8000,42989
Deb Peters - District 9,8000,42989
Ryan Cwach for State Representative - District 18,7612,40981
AFP Foundation South Dakota,7000,19997
Tom for 14,6982,38852
Gearman for Sheriff,6913,34563
Naveen Malik for District 31 Representative,6734,20347
Americans for Prosperity,6090,30437
Scott Petersen for SD House,6000,33990
CyberClimb,6000,31992
Save Our Air Medical Resources,6000,14998
Jordan Youngberg for SD Senate,6000,14998
KNBN NewsCenter1,5992,14956
Yankton County Citizens for Responsible Govt,5981,31766
Drug Injury News,5179,11483
National Farmers Union,5071,10143
Pkforsd,5000,31988
Wyatt Osthus for 31,5000,9999
Theodore Roosevelt Conservation Partnership,5000,9999
Sue Peterson for District 13 House,5000,9999
Rep. Michael Clark,5000,9999
Oglala Voice - Tribal Survey,5000,9999
Mike Webster for School Board - Rapid Valley,5000,9999
League of Women Voters of Pierre,5000,9999
Dakota Range Wind,4999,68947
Kyle Boese for State House,4890,25446
Connect Americans Now,4538,15907
ExxonMobil,4201,9352
Planned Parenthood,4010,15269
Rob Ronayne For Aberdeen,4000,22993
Matson for State Treasurer,4000,20995
PragerU,3205,7019
4ocean,3120,6671
American AF,3096,9589
Mike Wiese for Brown County,3000,23988
Laura Swier Kotelman for Senate District 9,3000,22970
APAW,3000,15996
Jack Kolbeck District 13 Senate,3000,14997
Patagonia,2784,6777
Dennis Evenson For SD Senate  District 4,2712,13558
Upworthy,2707,5457
Ben Shapiro,2529,5512
The Power of Minnesota,2327,12822
NRATV,2276,4975
American Energy Alliance,2222,4444
Indivisible Guide,2216,14075
Taxotere Lawsuit Information,2033,4621
Mic,2003,4267
Loudenback for House,2000,13994
Erin Healy for District 14 House,2000,13994
Bill Adamson for SD House District 7,2000,11996
Scott Parsley for SD Senate,2000,10997
Unger For House,2000,9998
South Dakota Right to Life Political Action Committee,2000,9998
Jenae Hansen for SD House District 2,2000,9998
Ina Winter for SD Legislature,2000,9998
Dusty Johnson for Congress,2000,9998
Concealed Online,1983,6876
Rebecca Krein for Walworth County Auditor,1943,9714
Tom Steyer,1898,5125
Everytown for Gun Safety,1885,4805
NARAL Pro-Choice America,1844,4388
USA Patriots for Donald Trump,1744,3488
Turning Point USA,1657,4683
Mac Schneider,1580,6245
National Republican Congressional Committee,1509,5176
Ben Ferguson,1444,3680
Proud Right Winger,1411,4411
Sierra Club,1385,3423
American Lung Association,1356,2711
HILL TV,1343,3835
Thomas A. Matthews,1314,5966
Period Calendar Cherry,1306,2611
Weird History,1303,2991
United States Constitution,1298,3426
National Democratic Training Committee,1278,2555
NowThis,1099,2197
Armed American Supply,1087,18196
Make the Connection,1033,2582
Concealed Carry,1028,2547
Republicans for the Rule of Law,1021,5109
AARP Advocates,1009,2017
Peri Pourier for SD House District 27,1000,8995
Tyler Swanger for Senate,1000,7996
Loest Campaign,1000,5998
George Nelson for District 34,1000,5998
Clay Loneman,1000,5998
Two Broads Talking Politics Podcast,1000,4999
Rich Sattgast for State Auditor,1000,4999
Regional Health,1000,4999
Mayor Steve Allender,1000,4999
Katie Buum for Register of Deeds,1000,4999
Fitzgerald For Attorney General,1000,4999
David Johnson,1000,4999
Cindy Mohler for Auditor,1000,4999
American Heart Association-South Dakota,1000,4999
ACLU of South Dakota,1000,4999
South Dakota Chislic Festival,998,6988
Ted Cruz,993,1988
Honoring Our Veterans,983,2458
Breaking Big,978,2047
ACLU,969,3256
Beto O'Rourke,957,2127
Tamara St John for SD District 1 House,937,4685
The Jim Jefferies Show,919,2226
We The People Holsters,899,2471
Xcel Energy: South Dakota,896,4480
Nine Line Apparel,893,2151
Conservative Gear,890,3494
Donald J. Trump - 45th President,879,1757
Cody Sunderland for Marshall County Sheriff,862,6246
Elizabeth Warren,812,3072
Kirsten Gillibrand,810,2039
Left Action,794,2052
Charlie Kirk,766,1552
Dave Hughes,724,3549
Cynthia Nixon for New York,717,1796
Seeker,717,1793
The Daily Show,673,1378
Amnesty International USA,658,1843
Sandy Hook Promise,643,1692
Kamala Harris,635,2385
Jewish Voice Ministries International,621,1588
One Nation Design,620,1245
Jack Burkman Radio,613,1597
Andy Stock for Lac Qui Parle Sheriff,609,3262
Levi's,589,1473
The Wilderness Society,582,1542
Stand for the 2nd Amendment,567,1650
Power In Cooperation,565,1412
T Brand Studio,553,1382
North Dakotans for Comprehensive Energy Solutions,551,2757
Catholic Relief Services,537,1339
Proud American Hunter,528,1864
BRITE CA,524,1047
TopBuzz Advertising En,517,1034
Silkies,507,1093
I Love My Freedom,505,1566
45 Hats,502,2320
"I Love You, America",494,1235
ASMDSS,474,1335
MoveOn,461,5473
UnitedHealthcare,460,1309
Center for Western Priorities,456,912
Jane Velez-Mitchell,442,1106
FreightWaves,440,881
Physicians Grassroots Network,439,1007
Fuel Freedom Foundation,428,856
UPS Rising,421,892
"Tactical Air USA, LLC",407,901
Weird Nature,407,821
realtor.com,391,782
Fish Eye Guy Photography,391,782
Captains for Clean Water,389,2120
Shareblue Media,387,969
Parks Project,385,1046
Penzeys Spices,373,1225
BOLD PAC,372,744
Alliance Defending Freedom,371,796
Naturalist Labs,371,741
NRDC Action Fund,353,882
PrintedKicks,349,1311
Rumble,345,932
Dinesh D'Souza,339,2932
North Dakota Native Vote,337,673
ReBuild USA,334,667
Newsmax,333,667
Premiere Collectibles,316,793
The Young Turks,315,1102
Senior Discounts Club,315,630
Stand Up America,310,1986
Tax March,297,862
Campbell County GOP,295,1476
Democrats,295,1424
Friends of the Earth U.S.,290,757
Jay Sekulow,290,617
Human Coalition,287,703
Smart Cities Prevail,287,574
Earthjustice,286,572
People United for Privacy,284,568
Gentner Drummond,283,704
NRA - National Rifle Association of America,282,684
Demand Justice,280,792
EMILY's List,276,890
Federal Voting Assistance Program - FVAP,275,579
Chrissy Houlahan,275,552
Steve Bullock,272,543
Kevin McCarthy,268,762
In the Woods with Phil,265,590
The Giving Keys,261,521
Jeff Merkley,256,959
Conservative Tribune,256,675
Main Street Investors Coalition,254,617
Shield Republic,248,1177
National Committee to Preserve Social Security and Medicare,248,598
charity: water,248,495
Comedy Central,247,494
America's Navy,243,620
Finance Watchdogs,237,480
Independent Voter,235,902
Sashka Co.,233,581
CRTV Tonight with Gavin McInnes,229,603
Oceana,223,919
Be A Hero,222,716
Pfizer,221,759
Steve Gaynor,221,551
Austin Petersen,221,441
Sand Cloud,218,659
Giffords,215,870
NRA Women,215,431
Andrew Janz,214,643
Swing Left,213,1516
Boredom Therapy,210,1040
Patriotic Drop Shop,207,850
Daily Wire,207,546
22 Words,205,864
Brian Abrahamson for Minnesota,196,1025
CheapCaribbean.com,195,443
PETA (People for the Ethical Treatment of Animals),193,406
Patriot Journal,192,457
Free Together,192,384
Security Finance Initiative,191,422
Karen Larson for House,187,935
Winning For Women,187,616
Family Health Care of Siouxland,187,465
Electric Nation: Powered By Wind,183,822
Donald J. Trump - USA,183,404
Jeff Johnson,183,377
Restoration PAC,181,794
DC Statesman,179,357
Better Medicare Alliance,175,841
House of Patriots,173,708
Science for Humans and Freedom Institute,172,1646
Save the Storks,169,844
The Family Leader,164,822
The Years Project,164,561
MO Research,163,369
Bill Cassidy,159,317
Rant Nation with Graham Allen,158,792
Are You an American?,157,315
Ocean Conservancy,155,2861
Scott Walker,155,321
YouGov,155,317
The Term Limit Revolution,154,772
Greenpeace USA,153,1380
"I'll go ahead and keep my guns, Thanks",153,765
Human Rights Campaign,153,691
The Nib,153,622
Shaun King,153,348
LevinTV,153,316
Sharice for Congress,150,1984
NRDC,150,1760
Ben & Jerry's,150,307
Environmental Defense Fund,148,487
Yes On 1631,145,290
President Donald Trump Fan Club,144,306
End Citizens United,143,697
NRDC Trump Watch,143,308
Amy Vilela,136,680
Scholten4Iowa,135,337
First Liberty,135,289
UPROXX News,135,274
Orman for Kansas,132,263
Heidi Heitkamp,130,289
NowThis Her,127,316
USPS Business,126,252
UnitedVoice.com,125,535
Bernie Sanders,121,344
Florida Democratic Party,121,343
National Domestic Workers Alliance,119,247
Mayor Philip Levine,118,295
Rob Davidson for Congress,117,304
Conservative Institute,117,248
Lin-Manuel Miranda,115,230
Jim Newberger for US Senate,110,548
John K. Delaney,110,267
Ron DeSantis,108,215
Patriot Depot,107,753
FCTRY,105,209
Jacky Rosen for Nevada,103,240
DiversityInc,100,366
Debbie Stabenow,98,509
National Democratic Redistricting Committee,97,545
Daily Vine,97,484
The Brookings Institution,96,385
International Rescue Committee,96,297
LGBT Right,96,200
Good Jobs Nation,94,468
Unite America,94,443
Congressional Leadership Fund,93,238
Reform Austin,92,184
American Values PAC,88,235
Danny O'Connor for Congress,87,194
LifeDaily,86,484
Center for Biological Diversity,85,180
Help for Essure Victims,84,296
End Animal Cruelty Club,83,434
We Are The Mighty,83,391
Tactical Pro Supply,83,387
Animal Matters,83,326
Curvy Fitness,83,165
Tyler Lindholm for House District #1,81,403
Adam Schiff,80,341
Terri Sewell,79,396
Between the Scenes,79,395
Congressman Alex Mooney,79,197
Carla Nelson,79,192
Democratic Senatorial Campaign Committee (DSCC),77,1346
Steven Stokes,77,385
Democratic Climate Action,77,224
Kialo,75,372
America with Eric Bolling,74,392
Defenders of Wildlife,74,316
LemonyTree,73,366
LifeZette,72,5982
Live Action,71,524
Priorities USA Action,71,166
SAM - Serve America Movement,70,355
Americans for Farmers & Families,70,272
The Western Journal,68,1339
Abdullah Hammoud,68,342
Rolfson Oil,68,339
Joe Donnelly,68,135
NTD Life,67,1331
American Gun Association,67,334
Patrio,66,332
Leadership Institute,66,326
Topic,66,172
Americans for Prosperity Foundation,66,161
Promote Oregon,66,131
Wake Up World & Smell the Coffee,65,327
LD-20 Candidates 2018,65,325
My Faith Votes,64,331
Warrior 12,64,320
Medals Of America,64,128
Energy Citizens,63,378
Louder with Crowder,63,333
Major Garrett,63,315
BESE,62,228
Tina Smith,61,311
VoteRiders,60,300
The Libertee Company,60,300
Sarah Verardo,60,299
"Representative Sebastian ""Seabass"" Ertelt",60,299
Environmental Working Group,60,298
Lets Make USA Great Again,59,299
PolicyEd,59,246
NRCC IE,59,138
National Beer Wholesalers Association,58,292
Definition.org,57,1390
"Something has to change, and NOW",57,285
Cathy Myers,57,139
Let Africa Live,56,130
Red Poets Society,55,277
G.I. Jobs Magazine,55,275
11 Bravos,55,275
Brian Kroshus for North Dakota,54,272
"30X30 Forests, Food and Land Challenge",54,272
Fahrenheit 11/9,54,242
Dave Dodson for Senate,54,222
Darin Mitchell for State Representative,54,108
Blue Wave,53,323
Aspire Fashion,53,312
Innocence Project,53,173
Proxy.Vote,52,262
Dangerous Documentaries,52,262
State of Great MN,52,260
RepublicanSinglesDating.com,52,259
Democratic Conservation Alliance,52,104
Pocket Politics,51,393
When Democrats Turn Out,51,255
Greg Palast,51,233
Disability Over 50,50,250
Randy Bryce,50,204
GreaterHalf.com,50,125
Wyoming Hunters & Anglers Alliance,50,101
Climate One,49,247
Stain on America,49,246
The Daily Signal,49,203
Democratic Governors Association (DGA),48,248
The Tasteless Gentlemen,48,247
Graveyard Shift,48,243
Institute for New Economic Thinking,48,240
Bad Daddy,48,239
The Association of Zoos and Aquariums,48,236
45th President Donald J. Trump,48,189
National Propane Gas Association,48,95
State of Corruption NH,47,233
No Labels,47,232
OHareNH,47,94
AldenExposed,46,229
"Imprimis, a Publication of Hillsdale College",45,224
dittymoji,45,157
Tee Shirt Palace,45,157
Exclusive Apparel,44,325
Showtime Documentary Films,44,221
Opportunity Solutions Project,44,218
Abortion On Our Own Terms,44,208
The N.C. Star,44,88
FreedomWorks,43,241
Independent Women's Forum,43,216
Concerned Women For America LAC,42,222
Marshall Beck,42,212
Sioux County Conservatives,42,211
Penguin Kids,42,210
Cold Dead Hands,42,207
Access Fund,42,138
Democratic Legislative Campaign Committee - DLCC,42,85
Cheri Steinmetz for Senate District 3,41,212
The Atlas Society,41,207
Lower My Bills,41,206
Dallas Safari Club,41,204
Center for Reproductive Rights,41,182
E2 - Environmental Entrepreneurs,41,82
Tony Evers,40,200
Young America's Foundation,40,130
White Coat Waste Project,40,94
Darrin Camilleri,40,79
Newsweek,39,1216
Giving Brush,39,236
MJ for Texas,39,213
AARP Foundation,39,195
Judicial Watch,39,194
Ditch the Estate Tax,39,193
Claire Celsi - Candidate for IA Senate District 21,39,193
The Family Store,39,191
artnet,38,193
The Devil We Know,38,189
National Secure Storage,38,188
Global Next: Research and Leadership Institute,38,188
Donald J. Trump - Keep America Great,38,188
Joe Kennedy III,38,183
NRSC,38,177
Great America PAC,38,145
March of Dimes,38,106
Not My NRA,38,83
Harley Rouda,38,76
Lebowski Lovers,37,250
Anera,37,208
PeopleTV,37,187
Drumpfo,37,184
Build With Strength,36,181
Anybody seen my slippers ?,36,181
Semi-Automatic Gun Owners of America,36,180
Smart Customer,36,111
Premium Care For Seniors,35,377
Prairie Custom Creations,35,176
Steve Scalise,35,175
America First Policies,35,127
IcePop,35,70
Kerry Tipper for Colorado,34,172
Dakota Meyer,34,171
Strauss Meats,34,170
TicToc,34,169
Hearing Loss Association,34,68
Bob Anderson for U.S. Senate,33,191
Oxfam,33,168
Climate Facts,33,168
Save Animals Facing Extinction,33,165
Your Trump Shop,33,148
United Against Muslim Ban,33,73
Jack Whitver,33,67
Mary Ann Sullivan for IPS,33,66
CFGA Wisconsin,33,66
Save the Children Action Network,32,250
American History TV,32,161
No Kid Hungry,32,160
Deb Fischer,32,159
Project Red TX,32,76
Howard Friedman for Judge,32,64
Climate Reality,31,157
Restore the Mississippi River Delta,31,156
Utah Diné Bikéyah,31,153
Zephyr Teachout,31,134
The Trump Prophecy Movie,30,198
Wesley Financial Group LLC,30,150
The Refugee Center Online,30,70
Great Lakes Education Project,30,59
Center for American Entrepreneurship,30,59
SlutBox,29,147
Patty Murray,29,146
Hoover Institution,29,146
Boardwalkbuy Electronics,29,145
Ann Coulter,29,145
