NRA Political Victory Fund,500000
Family Research Council Action,500000
45Committee,475812
"the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.",200000
Tennessee Secretary of State,200000
Better Cookeville - Ricky Shelton,200000
Tennessee Business Daily,100000
Ricky Shelton Campaign,100000
"Friends of Bob Freeman, Stephen Zralek Treasurer",100000
Bob Corlew for Congress.,100000
AFP Action,100000
The Coalition for Medicare Choices,50000
The American Cancer Society,50000
National Loan Programs,50000
"Brent Moody for State Representative, Austin McMullen, Treasurer",50000
Brandon Ogles for State Representative,50000
Better Cookeville / Ricky Shelton,50000
Tennesseans for Putting Students First PAC,49975
Hoyos for Congress Committee,49952
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",46270
Joda for TN-30,43688
Ramona Taylor for Mayor,41544
Backcountry Hunters & Anglers,21284
PhRMA,15680
the Tennessee Democratic Party,10000
the Rodney Whiles for Sheriff Committee,10000
the Committee to Elect Katrina Robinson,10000
the Committee to Elect David Durkin,10000
the American Cancer Society Cancer Action Network.,10000
candidate,10000
YouGov,10000
UnitedHealth Group,10000
Trey Palmedo for State House Committee,10000
"The Tennessee Republican Party, Frank Colvett Jr., Treasurer ",10000
The Nature Conservancy,10000
The Committee to Elect Marc Martin Sheriff (Randy Garrison Treasurer) ,10000
"The Committee to Elect Marc Gravitt - Barry Watson, Treasurer",10000
"The Committee to Elect Esther Helton - Zach Hutcherson, Treasurer",10000
Tennessee Small Business Alliance,10000
Tennessee Justice Center,10000
Tennessee House Republican Caucus,10000
Tennessee Democratic Party,10000
Tennesseans for Student Success. Not authorized by any candidate or candidate’s committee.,10000
Tennesseans for Student Success,10000
TN Dept. of Economic and Community Development,10000
TENN Values PAC. Not authorized by any candidate or candidate's committee.,10000
TEA Fund for Children and Public Education,10000
"Stand for Children Tennessee Independent Expenditure Committee and has not been made with the cooperation, consultation, prior consent, or suggestion of any candidate or candidate's committee.",10000
"Robert Harris for State Representative.  Virginia S. Harris, Treasurer",10000
"Richard Dawson Campaign, Jan Newsome, Treasurer",10000
"Rebecca Purington Campaign. Missy Horesh, Treasurer",10000
Ray Justice & Friends Of Ray Justice,10000
Randy Boyd for Governor,10000
Protect Our Workers Earned Retirement,10000
Paid for by Dan Hughes for State Representative,10000
Paid for by Americans for Prosperity,10000
One Nation,10000
National Voter Registration Enhancement Fund,10000
Movement Voter Project,10000
Mike Dockery,10000
Mason for Trustee,10000
"Martin Heller Potempa & Sheppard, PLLC",10000
MLS 2 Nashville,10000
"Law Offices of Sean Lewis, PLLC",10000
Kustoff for Congress,10000
Kevin Brooks for Mayor,10000
Karl Dean for Governor,10000
Kanew For Congress,10000
Judd Cowan for State Representative,10000
Jordan Cole,10000
Johnny C. Garrett for State Representative,10000
Job Creators Network,10000
Jack Johnson for State Senate,10000
"JW Robertson, Treasurer - Thompson for Robertson County Clerk",10000
"Hana Ali for State Representative, Sean Roach Treasurer.",10000
George Thomas for State Senate,10000
Future in America,10000
"Friends to Elect Kara Reeves for School Board, Marcus Love, Treasurer",10000
Friends of Randy McNally,10000
Friends of Mayor McDonald,10000
"Friends of Frank Warren, Bill Miles - Treasurer",10000
Friends of David Lenoir,10000
Friends of Chris Thomas for Probate Court Clerk,10000
"Friends of Amber Mills - Donny Mayo, Treasurer",10000
Friend of Floyd Bonner,10000
Eugene Ray for Mayor,10000
Eric and Connie McCormick,10000
"Elect Price Harris, Naser Fazlullah, Treasurer",10000
Davidson County Veterans Court Foundation,10000
David Briley for Mayor,10000
Committee to Re-elect Larry Waters,10000
Committee to Elect Michelle Robinson Mckissack,10000
"Committee to Elect DeAnna Osborne, Treasurer Janey Drye",10000
Committee to Elect Clark Boyd ,10000
Citizens to Elect J. Racquel Collins,10000
Citizens for Tobacco Rights,10000
Chad Williams for Tennessee,10000
Canale For Council,10000
Campaign to Elect Brent Bush Cannon County Executive ,10000
CAS Political Action Committee,10000
Burke4TNHouse Campaign Committee,10000
Bradley County Politics,10000
Becky Goff for Murfreesboro City School Board ,10000
Association of American Railroads,10000
Art Swann for State Senate,10000
American Conservative Union,10000
AJ Donadio for Putnam County Commissioner District 7,10000
 the Tennessee Democratic Party,10000
Stand Up Nashville,9999
Powell for Tennessee,9999
Defending Main Street. DefendingMainStreet.com. Not authorized by any candidate or candidate's committee.,9999
Committee to Elect Steven Reynolds,9998
Tennessee Jobs Now,9995
Williams for Congress,9991
"MO Research, Inc.",9990
John Rose for Tennessee,9990
Crockett County Democratic Party,9988
"Wyatt Burk for Circuit Court Judge, Charles W. McDonald, Treasurer",9986
Tennessee Immigrant & Refugee Rights Coalition,9982
Zanies Nashville,9975
"Retirement You Workshops by A4 Digital, Inc.",9972
Charles Brian Younce,9942
Friends of Amber Huett-Garcia,9906
Oral Health America,9851
Kevin Haley for Commissioner,9738
the Physicians Committee for Responsible Medicine,9665
American Renewal Project,9625
Boatner for Congress,9443
Jim Coppinger ,9338
Elect Wayne Anderson Campaign ,8362
Friends of Melody Shekari,8145
"Friends of Regina Newman, P.O. Box 40025, Memphis, TN 38174",7885
"AEF Media, LLC",7085
Joe Walsh,6485
"Resurgent Media, LLC",5619
NRDC,5154
Premiere Marketing,5133
"the Committee to Elect Stephen Shopher, Darry Marshall, Treasurer",5000
the Committee to Elect Murphey Johnson,5000
the Committee to Elect Monica Timmerman,5000
the Committee to Elect John Hunter,5000
"the Committee to Elect Chad Hampton - Weslee Thompson, Treasurer",5000
friends of Dennis Waldron,5000
"by the committee to elect David Livingston Haywood County Mayor, Kathleen Livingston Treasurer.",5000
aaron shane for state rep,5000
Women Speak Out PAC,5000
Wayne Potter for Sheriff,5000
Vote Craig for Sheriff Campaign ,5000
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT, 1775 K STREET, NW, WASHINGTON, DC 20006. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",5000
Tom Sottek,5000
Todd Nance for County Clerk,5000
"The Committee to Elect LaVern Vivio to Congress, Ginger Rogers Treasurer ",5000
The Candidate,5000
The Auto Alliance,5000
Tennessee Wildlife Federation,5000
Tennessee Advocates for Planned Parenthood without the knowledge or cooperation of any candidate or candidate's campaign. ,5000
Stop Destroying Tennessee Farms,5000
Stacey Campfield,5000
Sister District Project,5000
Show Up 2018,5000
Randy,5000
Protect My Care,5000
People for Tami Sawyer,5000
Our United Community,5000
"Nicholas Knight Campaign Fund; Ethan Lott, Treasurer",5000
NRSC and not authorized by any candidate or candidate’s committee,5000
Mickie L. Banyas,5000
"Mark Lucas For Sheriff - Ray Garrett, Treasurer",5000
Lee Harris for Mayor,5000
Kevin Davis,5000
"Kari Neely for Murfreesboro City School Board, Ann McCullough, Treasurer",5000
Jim Snyder,5000
Jatin A. Shah for Williamson County Commissioner,5000
Jared Anderson for Blount County Commissioner,5000
"JOHN MORGAN FOR SHERIFF, RENEE MORGAN, TREASURER",5000
International Assn of Firefighters Local 1784 PAC,5000
Horizon PAC,5000
Hire Memphis,5000
Henry Redmond,5000
Henry County TN Democratic Party,5000
Gino Bulso,5000
Friends of Lisa Moore,5000
Friends of Ken Webb for City Council ,5000
Friends of Billy Spivey,5000
Friends of Allan Creasy,5000
"Enough is Enough TN PAC, Sherry Jones Treasurer. Not authorized by any candidate or candidate's committee.",5000
Dr. Danielle Mitchell for Congress,5000
Diane Black for Governor,5000
Committee to elect Mike Winton,5000
Committee to Elect Michael Fulbright State Representative,5000
Committee for Michelle McKissack,5000
Civiqs,5000
Citizens for Church Street,5000
Christopher Hale for Tennessee,5000
"Campaign to elect Eddie Smith, Dale Bailey, Treasurer",5000
"CWT Publications, LLC",5000
Bruce Griffey for State Representative,5000
Briggs for Senate,5000
Blackburn Tennessee Victory Fund,5000
Betsy Stibler,5000
Andy Ogles Committee,5000
Andy Cole for State Representative,5000
"American Economic Freedom Alliance, Inc.",5000
American Bridge 21st Century Foundation,5000
Alene Baird Candidate for County Clerk,5000
Airlines for America,5000
AARP Tennessee,5000
Friends of Antonio Parkinson,4999
Matlock For Congress,4998
Committee to Elect Jeremy Faison,4998
People's House Project,4997
NumbersUSA,4995
Citizens to Elect Phil Roe to Congress,4995
"Blount County Democratic Party – Mary Snyder, Treasurer​",4972
Arkansans for Jobs and Justice ,4943
"Mike Van Dyke for Sheriff, Ed Cope Treasurer",4833
D'Andre Anderson for School Board,4808
"Save IRV, Inc.",4790
Chattanooga Queer Community Forum,4724
"David Young for Coroner. 134 Townsend Road Hazel Green, AL 35750",4669
"Paid for by Tim Lingerfelt, Brian Delp Treasurer. ",4543
