Beto O'Rourke,93329707,252288739
Reform Austin,15944340,40010238
Ted Cruz,14177651,32742852
Greg Abbott,6546742,17135316
MO Research,6108188,16198734
Mike Collier,5918998,15627628
Solar Energy Today,3132521,8214545
Justin Nelson,2868682,8687961
Dan Patrick,2782999,6802887
Texans for Natural Gas,2524019,7998774
Konni Burton,2265000,8055619
MJ for Texas,2237757,5617151
NumbersUSA,1802984,3862916
Hurd's Hypocrisy,1753204,6437534
Progress Texas,1699000,4822925
Texas Oil and Gas Association,1490000,4851784
Van Taylor,1472000,3446940
Concealed Online,1405956,3291696
Cruz Yard Signs,1322000,3154963
For Our Republic,1302000,2718926
Rita Lucido for Texas State Senate District 17,1165999,2510953
Lizzie Pannill Fletcher for Congress,1142747,3928275
Crush Cruz,1110000,3244937
You Should Know Texas,1096000,4583739
Texas Medicaid Works,1076597,3407832
GUNVOTE,1060021,2905066
Texas Public Policy Foundation,1039440,4142055
Small Business & Entrepreneurship Council,1021000,2198974
Texas Civil Rights Project,1007000,2560963
National Horizon Action,981000,2726954
NRA - National Rifle Association of America,949694,2156520
NARAL Pro-Choice America,949367,2172338
CFG Action,867975,2205822
Women For Civility,862514,2308762
Dallas Votes 4 Kids,859000,2203933
Informed Houston Voters,840000,2549953
Breaking News Texas,829999,1852920
Texas Democratic Party,800000,2926776
Collin County Votes,712978,1615880
Christi Craddick,698584,2275823
Gina Ortiz Jones for Congress,675883,2834131
Roman McAllen for Railroad Commission of Texas,659928,1858607
Kevin Brady for Congress,642999,2174907
Colin Allred,612397,1706470
Will Hurd,583739,1829649
Lina Hidalgo for Harris County Judge,581999,1596951
Planned Parenthood,553108,1477957
Live Nation Concerts,542000,1413987
Alex Karjeker,528999,1624945
Human Rights Campaign,519457,1495930
ACLU of Texas,517999,1060984
Shareblue Media,507242,1600942
Keep Them Accountable,505943,1805253
U.S. Representative Will Hurd,500000,1000994
Frost,500000,999999
John Culberson,498000,1483969
