Eric Eliason for Congress,1717620,5235475
Our Kids 1st - Our Schools Now,1030221,4158815
Vote Utah,945000,2301975
Prop 3: Utah Decides,863000,2089947
Romney for Utah,580928,1746611
Voices for Utah Children,429000,1232976
Prop 4: Better Boundaries,399000,1341876
Ben McAdams,267089,986912
Shireen for Congress,264977,1191241
Sim Gill for Salt Lake County District Attorney,241000,682978
Tread Lightly!,200000,499999
Nathan Evershed for District Attorney,193792,821669
Vote The Outdoors Action Fund,186996,581930
David Leavitt for Utah County Attorney,186000,705952
Americans for Prosperity - Utah,183000,572979
Solar Energy Today,154088,635631
Modern Medicaid Alliance,152000,495957
March For Our Lives,132767,385614
Jim Bradley,124031,622844
Brad Bonham,117000,485877
Senator Brian Zehnder,102998,696691
MO Research,101023,355091
Libertas Institute,101000,326990
Senator Jim Dabakis,100000,351965
Solar Rebate,97001,387970
Jake Mellor for Carbon County Commissioner,95000,282972
Dr. Mike Kennedy,90000,359988
Tim Aalders for US Senate,77000,242973
Mia Love,70000,201995
Suzanne Harrison,68000,266966
Patagonia,66454,272082
Rozan4Clerk,65999,368906
ExxonMobil,62248,156964
Vote Fred Johnson,58000,267949
Robert E Ford Political Campaign 2018,51998,201979
Utah Senate Democratic Campaign Fund,51000,187970
Terry Schow for Utah House District 10,51000,106996
Gage Froerer for Weber County Commission,51000,104998
Utah Cancer Control Program,50000,99999
Our Story,50000,99999
Alex Carter,49000,230990
I Am An Immigrant,48324,153948
Integrity First PAC,48000,230986
Don't Be Fooled Utah,48000,182983
Mia Love Defends Donald Trump,48000,164990
Chad Grunander for Utah County Attorney,47000,189992
J Lee Castillo for Congress,46612,205636
ProgressNow Colorado,44935,89870
Craig K. Pitts - Utah State Board of Education District #2,43998,181969
Adam Gardiner,43000,187989
Tom Steyer,42361,206481
Fox 13 News,42000,179993
Jennie Hendricks for Iron County Commission,42000,149992
Jon Hawkins for State Representative -  District 57,41000,206984
Ryan Arbon for Weber County Sheriff,41000,175993
Tanner Ainge,37000,112989
Rep. Mike Winder,37000,109992
Donald J. Trump,36688,168267
Americans for Prosperity,35430,203073
Drug Safe Utah,35000,160995
Karen Mayne for Utah Senate 5,35000,148787
MedicareSupplement.com,34000,253909
Phill Wright for Utah House Dist 19,34000,86983
Kathleen Riebe  Senate 8,32000,157937
Daniel W. Thatcher for Senate 12,31000,158992
Mike Smith for Utah County Sheriff,31000,126993
Truth About Prop 2,30000,149997
Utah Solutions Summit,30000,136990
Gil Almquist,28796,102335
Kathie Darby for Utah House District 9,28000,66047
VoteCastagno,27000,122992
Theodore Roosevelt Conservation Partnership,26998,64993
Utahns for Healthcare Fairness,25000,125983
Jen Dailey-Provost for Utah,25000,111986
The Western Journal,24261,76348
Diane Lewis,24000,172912
Alliance for a Better Utah,24000,93980
Edgel4Utah,24000,91991
Sierra Club,23958,111002
Chase Winder,22000,112993
Scott Rosenbush 4 Utah,22000,84990
NEA Today,21337,60560
Rep. John Curtis,21000,104997
Ray Ward - Utah House District 19,21000,90991
Greg Johnson,21000,79991
P3 Utah,21000,75995
"Craig Bowden, Libertarian for Senate",21000,46993
Igor Limansky for Utah,20000,100997
National Wildlife Federation Action Fund,20000,99999
Grassroots Utah Strategies,20000,99998
Utah Outdoor Partners,20000,69997
Representative Craig Hall - Utah House of Representatives - District 33,19000,95989
4ocean,18868,44982
Consumer Action for a Strong Economy,18729,107818
ABU Education Fund,18000,77992
Jason B. Kyle - Utah House District 8,17000,69996
Daryl Acumen,17000,69996
Orem Families for UVU,17000,55990
Save Glenmoor,17000,41993
Chris Stewart,16000,64997
Jeff Stenquist for Utah House of Representatives - District 51,16000,53988
Elisabeth Luntz for Utah House District 27,16000,49992
People United for Privacy,15999,64990
VoteTogether,15057,60864
