Utah Lt. Governor's Office,200000
The Committee to Elect Sim Gill,50000
March For Our Lives,50000
Libertas Institute,50000
the committee to elect Chase Winder,10000
"the Utah Republican Party, Authorized by Thatcher for Senate",10000
supporters of Ryan Arbon for Weber County Sheriff ,10000
Vote The Outdoors Action Fund,10000
Voices for Utah Children,10000
Utahns for Igor,10000
Utahns for Healthcare Fairness,10000
Utah Department of Health,10000
Truth About Prop 2,10000
Troy Slaugh,10000
Tom Steyer,10000
National Solar Rebate,10000
"MO Research, Inc.",10000
Kennedy for US Senate,10000
Jennie Hendricks for Iron County Commissioner,10000
Hawkins for 57,10000
Grassroots Utah Strategies,10000
Friends of Jim Phelps,10000
Friends of Chad Grunander,10000
Freedom Partners Shared Services,10000
Family Farm Action,10000
Congressman John Curtis,10000
Campaign to elect Lee Castillo,10000
Brad Bonham for House 32,10000
Alex Carter For State House,10000
People United for Privacy,9999
Eric Eliason for Congress,9999
NowThis,7695
Planned Parenthood,6625
p3 Utah,5000
Welcome.us,5000
Vote Phill Wright for House District 19,5000
Utah Progressives,5000
"Utah Outdoor Partners, a nonprofit 501(c)(3) public charity.",5000
U Work 4 Utah,5000
The Committee to Elect Dan Johnson,5000
Salt Lake County Democratic Party,5000
Patagonia ,5000
"Mellor Financial, You Local Business Owner Trying to Make a Difference!",5000
Lonnie Williams concerned citizin,5000
Kathie Darby for Utah House District 9,5000
Integrity Matters LLC,5000
Integrity First PAC,5000
Garry Hrechkosy for Salt Lake County Auditor,5000
Friends of Sophia M. DiCaro,5000
Friends of Sean Reyes,5000
Friends of Mike Winder,5000
Elisabeth Luntz,5000
Drug Safe Utah,5000
Davis County Republican Party,5000
Craig K. Pitts for Utah State Board of Education District #2,5000
"Cheryl Butler - Chair, Summit County Democratws",5000
Admins & Members Of The SaveSteepMountain Organization,5000
Committee to Elect Jacquelyn Orton,4873
Supporters & friends of Shaun Sims for Senate,4252
International Rescue Committee,3947
David P Ballweg,3573
America's Navy,3251
Everytown for Gun Safety Action Fund,2647
Disney-ABC Television Group,2608
Hulu,2574
Bloomberg Philanthropies,2378
Humane Society International,1861
HowStuffWorks,1837
Center for Biological Diversity,1836
Alaska Wilderness League,1444
Action Against Hunger ,1370
Lambda Legal,1240
NRATV,1110
