A Stronger Vermont,711000,2411852
"Russell Beste For U.S. Senate, Vermont",535000,1328977
Don Turner Jr. for VT Lieutenant Governor,364975,1394674
Keith Stern for Vermont Governor,269528,643764
Stop VT Tax Hikes,200000,414981
Vermont-NEA,177000,603966
Zuckerman for Vermont,152902,426684
Humane Society Legislative Fund,110000,249997
John Legend,100000,199999
Vermont Conservation Voters,80989,257932
AARP Vermont,76000,215994
VPIRG,73987,327888
Nicole McPhee for Rutland County Probate Judge,69991,339940
Corey Parent,55000,248976
Real VT News,49000,170988
Kevin E. Gibbs for Addison County Sheriff,48658,199280
Let's Grow Kids,45615,208029
Solar Rebate,44001,163990
Alex Farrell,41000,205994
Lawrence Zupan For U.S. Senate,41000,178981
Daniel Freilich,34997,150954
Zachary York for Assistant Judge,34184,99533
Brenda Siegel for Governor,34000,155700
MO Research,31772,153692
Gulley For Sheriff,30000,106989
MedicareSupplement.com,24000,314748
Marina4VT,23000,102987
Seniors Speak Out,21907,44013
Barry Wadle for Washington County Senate,21000,59991
DoSomething.org,20032,101167
Vermont Climate and Health Alliance,20000,101996
Vermont Votes,20000,100997
FreeAmerica,20000,99998
Love Crunch,18642,37322
Bob Farrar for Probate Judge,18000,140931
James Gregoire for State Representative,17000,73983
VT State Senator Chris Pearson,17000,69996
Fan Club,16305,67520
Association for Accessible Medicines,16000,68993
NRATV,15324,61694
VoteTogether,15004,60237
Christina Rainville for State’s Attorney,13378,55871
The Informed Vermonter,13000,65986
Andrew Brewer for State Senate,13000,39990
Marybeth Redmond for Vermont House,12000,59997
Northshire Bookstore,12000,47989
Theo Kennedy for Washington County Senate,12000,32993
Re-elect Erica Albin Marthage for Bennington County State's Attorney,12000,29996
Bernie Sanders,11846,129839
Karl Anderson for Rutland County Probate Judge,11150,45989
John Steinman for Barre,11000,66977
Brad Peacock for U.S. Senate,11000,60983
True North Reports,11000,55988
Trevor4Vermont,11000,24997
Rights & Democracy VT,10997,54984
Green Ribbons for the F35,10000,49999
Dana Maxfield for Vermont State Senate,9667,56130
Civiqs,9078,34247
Fix Politics Now,9026,32440
Anthony Jordick for State Rep,8000,27993
CCTV Vermont,8000,25995
Logan for Vermont,7990,16586
State Representative Jim Harrison,7000,42985
Goslant for House,7000,39988
Scott Beck StJ,7000,35981
Joseph Barney for Governor,7000,21995
Mike McCarthy for Saint Albans State Representative,7000,20996
Springfield School District,6763,22490
Bank of NH Pavilion,6389,12778
Emilie Kornheiser for State Representative,6000,62199
"Avram Patt for State Representative, Lamoille-Washington District",6000,43980
Ben Jickling,6000,30993
Hotel Workers for Stronger Communities,5445,14557
Planned Parenthood,5443,13224
Nader Hashim for State Representative,5332,17281
Kate Larose for State Rep,5000,30989
Vermont Democratic Party,5000,10998
Cheryl Mazzariello Hooker for Vermont State Senate,5000,10998
Vermont Term Limits,5000,9999
SunCommon,5000,9999
Felisha Leffler for House,4999,37978
Betsy Anderson for Lamoille County State's Attorney,4999,34975
Donald J. Trump,4867,26826
Heidi Heitkamp,4413,10955
Patagonia,4381,8762
Pam McCarthy for Vermont State Senate,4235,12301
Zachariah Ralph,4125,10365
ASPCA,4019,36320
James Ehlers for Vermont,4000,23992
Jeremy Hansen,4000,21994
Bill Huff,4000,19996
NextGen New Hampshire,3823,13048
Rep. Heidi E. Scheuermann,3698,19454
