Keep Birth Control Affordable,"[5625715, 13830828]"
Verified Virginia,"[2243000, 5184940]"
Scott Taylor,"[1660672, 4882166]"
Tim Kaine,"[1226000, 2819956]"
MO Research,"[1014632, 2537691]"
OfficialWire,"[939978, 3199688]"
NRDC,"[911967, 2098942]"
NextGen America,"[910344, 3200485]"
FreedomWorks,"[682515, 1702967]"
Can We Trust Scott Taylor,"[610000, 1449995]"
Jennifer Wexton,"[552968, 1319294]"
Abigail Spanberger,"[526000, 1314993]"
Leslie Cockburn for Congress,"[510000, 1151993]"
Barbara Comstock,"[505942, 1277964]"
Corey Stewart,"[449304, 1258735]"
Sierra Club,"[418703, 974582]"
Living Free,"[410019, 850033]"
NumbersUSA,"[400067, 1000147]"
Concealed Online,"[392547, 1004683]"
Keep Them Accountable,"[364251, 1119980]"
Southern Environmental Law Center,"[363680, 1747357]"
Our Lives Our Vote,"[339974, 863335]"
Everytown for Gun Safety,"[323009, 1290652]"
Americans for Prosperity - Virginia,"[315000, 1207855]"
Your Energy Virginia,"[294000, 1166902]"
National Confectioners Association,"[293479, 586956]"
David Nygaard For City Council,"[275999, 1104933]"
Auto Alliance,"[270000, 599995]"
Denver Riggleman,"[254189, 508375]"
Judicial Crisis Network,"[244426, 586907]"
Dominion Energy Virginia,"[240000, 602990]"
GUNVOTE,"[236342, 689495]"
The Republican Standard,"[205655, 776187]"
League of Conservation Voters,"[200535, 402770]"
Carry Virginia,"[200000, 499999]"
ProgressVA,"[181812, 460006]"
Center for Western Priorities,"[175110, 360356]"
Dee Oliver for Virginia Beach City Council,"[174973, 714780]"
NRCC IE,"[174426, 867049]"
E.W. Jackson,"[169000, 506979]"
Equity Forward,"[168509, 518767]"
GOP,"[168000, 814068]"
Democratic Party of Virginia,"[163000, 503980]"
New Virginia Majority,"[162817, 441595]"
Women For Civility,"[162156, 450300]"
"Bush & Taylor, P.C.","[159997, 319990]"
NRDC Action Fund,"[158519, 472354]"
Nick Freitas,"[155524, 433613]"
Explore Offshore,"[151465, 607375]"
Norfolk Sheriff's Office,"[150000, 299998]"
Rob Wittman,"[136707, 453757]"
Republican Party of Virginia,"[129000, 483965]"
Bobby Dyer for Mayor,"[118927, 407810]"
Healthcare for All Virginians Coalition,"[117347, 278488]"
Congressman Dave Brat,"[110000, 249997]"
Barbara Comstock has changed,"[109215, 251055]"
John Uhrin,"[104000, 311986]"
Speak Up For Education and Kids,"[100000, 499990]"
Donald J. Trump,"[97718, 528719]"
The Holy Tribune,"[96254, 313297]"
Chris Suarez for Alexandria School Board District A,"[95171, 401230]"
VPAP,"[95000, 297986]"
Demand Justice,"[86587, 287049]"
MedicareSupplement.com,"[84000, 542701]"
PhRMA,"[83363, 208408]"
ClearPath Action Fund,"[83184, 329418]"
Audrey Clement For A Greener Arlington,"[82999, 276961]"
Our Flag Our Country,"[81095, 346177]"
American Conservative Union,"[79968, 191674]"
Ryan McAdams For Congress,"[77692, 353874]"
Planned Parenthood,"[75055, 191524]"
Clean Power Virginia,"[75000, 257972]"
Louis Jones for City Council,"[74000, 267978]"
Conservatives for Clean Energy,"[73576, 302851]"
Councilman John Moss,"[71994, 338830]"
Giffords,"[70367, 175911]"
NextGen Virginia,"[70000, 199997]"
National Wildlife Federation Action Fund,"[67094, 141359]"
Swing Left,"[66699, 256847]"
AMATE - American Muslims Against Terrorism & Extremism,"[63918, 160964]"
Americans for Prosperity,"[63613, 300412]"
ACLU,"[63086, 161994]"
Dan Schmitt for Supervisor,"[63000, 262972]"
We Stand For Energy,"[60000, 150997]"
Self-Reliant Republic,"[59998, 299982]"
NRATV,"[59443, 122266]"
Delegate Bob Thomas,"[57961, 259755]"
Virginia Hospital & Healthcare Association,"[55000, 189982]"
Suburban Virginia Republican Coalition,"[54634, 213158]"
NARAL Pro-Choice America,"[51212, 108637]"
March For Our Lives,"[50531, 252648]"
F&M Bank,"[50000, 99999]"
Corey Stewart Trashes Danville,"[49778, 99554]"
Energy Citizens,"[49295, 124255]"
Unidos US Action Fund,"[49215, 98429]"
Elaine Luria for Congress,"[49000, 232550]"
Michelle Davis-Younger for City Council,"[49000, 207982]"
Alliance Defending Freedom,"[47740, 99393]"
Arlington Dems,"[47104, 214454]"
Winning For Women,"[45883, 211666]"
NTK Network,"[45483, 150889]"
Human Rights Campaign,"[42826, 175737]"
The LIBRE Initiative,"[42000, 210993]"
Paul Milde,"[41000, 176992]"
David Wilson for Senate District 15,"[39630, 105989]"
David Saliba for Wythe County Commonwealth's Attorney,"[39000, 184949]"
Karen Kwasny for City Council,"[35890, 193410]"
Matt de Ferranti for Arlington,"[35033, 164637]"
Heritage Action for America,"[35000, 144991]"
4ocean,"[34444, 84182]"
Congressional Leadership Fund,"[34044, 120278]"
Gary Broderick for School Board Member,"[34000, 148059]"
Davenport for Virginia Beach Mayor,"[34000, 126985]"
Congressman Scott Taylor,"[33976, 142898]"
NRA - National Rifle Association of America,"[33790, 129440]"
Change With Choun,"[32000, 150728]"
National Republican Congressional Committee,"[31863, 87143]"
Marc Solomon for School Board,"[31527, 183142]"
Congresswoman Barbara Comstock,"[30385, 151924]"
The Voter Participation Center,"[28141, 370049]"
Hauling Unlimited LLC www.haulingunlimited.com,"[28110, 56219]"
Aaron Rouse for City Council At-Large,"[28000, 125993]"
Chris Winslow,"[28000, 79988]"
ExxonMobil,"[27523, 67530]"
Military Network,"[27149, 62735]"
Theresa Coates Ellis for Manassas,"[26000, 129963]"
Virginia House Democrats,"[25000, 109997]"
Joe Newcomer,"[24930, 112637]"
National Shooting Sports Foundation | NSSF,"[24110, 120532]"
Thomas Oh,"[23883, 132827]"
Ivan Raiklin for US Senate,"[23534, 90254]"
American AF,"[22545, 63037]"
Ben Cline,"[21995, 111972]"
Jennifer Lewis for Congress,"[21154, 90185]"
Councilman Ian Lovejoy,"[21000, 63987]"
Emily Brewer,"[20991, 59947]"
Civiqs,"[19814, 43367]"
Delegate Chris Head,"[19000, 54988]"
Solar Energy Today,"[18212, 45736]"
Pfizer,"[18143, 37340]"
Mark Shiffer for Alexandria City Council,"[18000, 86974]"
Hard Times Cafe - Four Mile Fork,"[18000, 74995]"
Virginia House of Delegates Republican Caucus,"[18000, 44994]"
Silkies,"[17091, 34291]"
Patagonia,"[17029, 85146]"
Councilman Marc Aveni,"[17000, 86981]"
ACLU of Virginia,"[17000, 75981]"
Mikie Sherrill,"[16387, 35795]"
PragerU,"[16074, 35546]"
Young Economics Awareness Program/YEAP,"[16000, 64997]"
Delegate Stephen E. Heretick,"[16000, 64997]"
Stars and Stripes Forever PAC,"[16000, 34996]"
The Daily Show,"[15437, 33499]"
Shield Republic,"[15165, 33283]"
Friends of John McGuire,"[15000, 59998]"
Councilman Jim Wood,"[15000, 44993]"
"Richard ""RK"" Kowalewitch for VB City Council","[14993, 61960]"
Association for Accessible Medicines,"[14974, 45623]"
"First Congressional District, Republican Party of Virginia","[14832, 74821]"
The Coalition to Protect Americas National Parks,"[14680, 29359]"
Lambda Legal,"[14478, 36195]"
Adam Roosevelt,"[14375, 28749]"
Elizabeth Bennett-Parker for Alexandria City Council,"[14024, 71115]"
Water is Life. Protect It.,"[13410, 52044]"
River City TV,"[13000, 67984]"
Joe Walton for Virginia,"[12999, 78970]"
Sean Kenis for Herndon Town Council,"[12999, 38954]"
Susanne Henderson for Virginia Beach City Council,"[12995, 65959]"
Jay Sekulow,"[12841, 25681]"
USA Patriots for Donald Trump,"[12442, 24884]"
DoSomething.org,"[12305, 54877]"
MoveOn,"[12092, 94673]"
Beyond I Do,"[12067, 24132]"
Councilmember Bill McKenna,"[12000, 60996]"
Medicare Master,"[12000, 59997]"
John Taylor Chapman for Alexandria City Council,"[12000, 59997]"
Mike Sobey for Commonwealth's Attorney,"[12000, 29996]"
Eric Wray For Virginia Beach City Council,"[11984, 44941]"
Co-ops Vote,"[11916, 57838]"
YouGov,"[11249, 22498]"
Lower My Bills,"[11136, 22272]"
"Kelly Burk, Leesburg","[11000, 59993]"
Paloma Saucedo for City Council,"[11000, 57986]"
Beth Barts for School Board,"[11000, 56987]"
Virginiaclimatefever.com,"[11000, 54998]"
iAmerica Action,"[10882, 54406]"
Providence St. Joseph Health,"[10798, 49459]"
Jeff Dove for Congress,"[10547, 43674]"
Elizabeth Warren,"[10511, 35184]"
Conservative Gear,"[10382, 34797]"
State Innovation Exchange,"[10081, 50180]"
Washington DC Economic Partnership,"[10028, 50137]"
The Nature Conservancy,"[10025, 52116]"
Retire Educated,"[10000, 51997]"
Virginia Consumer Healthcare Alliance,"[10000, 49999]"
Ron Miscavige Blog,"[10000, 49999]"
Open Box Richmond,"[10000, 49999]"
Family Farm Action,"[10000, 49999]"
Chesapeake Sheriff's Office,"[10000, 49999]"
Dan Ward for Congress,"[10000, 19998]"
C. Jordan Labiosa,"[9986, 46911]"
Virginia Ethics Watch,"[9961, 49804]"
Fahrenheit 11/9,"[9928, 23478]"
Road Rage Events,"[9630, 48151]"
Partnership for Conservation,"[9439, 44399]"
American Energy Alliance,"[9340, 46697]"
Help for Essure Victims,"[9177, 23377]"
"Dr Richard E Cook, MD for Charles County Commissioner District 1","[9137, 45829]"
The Young Turks,"[9015, 23953]"
David Westcott for Treasurer,"[9000, 73962]"
7th District Town Hall Meeting,"[9000, 48987]"
Powhatan Democratic Committee,"[9000, 31993]"
Bryce Reeves,"[8995, 32968]"
Friends of the Earth U.S.,"[8751, 21270]"
Project Veritas,"[8478, 42389]"
Speech Moves,"[8318, 29629]"
Tom Steyer,"[8313, 35004]"
NowThis Politics,"[8292, 16584]"
Turning Point USA,"[8281, 20508]"
ASMDSS,"[8263, 20630]"
Rebuilding America Now,"[8261, 19284]"
Larry Hogan,"[8154, 16328]"
United States Constitution,"[8036, 22240]"
Kevin O'Leary,"[7879, 37074]"
Stand for the 2nd Amendment,"[7826, 20796]"
National Institute for Reproductive Health,"[7791, 32753]"
Science for Humans and Freedom Institute,"[7677, 83815]"
National Democratic Redistricting Committee,"[7234, 21900]"
Congressional Black Caucus PAC (CBC PAC),"[7217, 17414]"
Beto O'Rourke,"[7075, 18362]"
Victor Ramirez for State's Attorney,"[7053, 15961]"
Pope for Sheriff,"[7000, 41945]"
Mike Watson for Virginia,"[7000, 35992]"
Compassion & Choices Virginia,"[7000, 20996]"
The Middle Resolution,"[7000, 19997]"
Make America Great Again - Republican,"[6942, 14050]"
Blue Wave 2018,"[6929, 16237]"
Proud To Be A Republican,"[6815, 13896]"
U.S. Chamber of Commerce,"[6711, 21164]"
Oceana,"[6627, 19872]"
MJ for Texas,"[6599, 19202]"
The Wilderness Society,"[6582, 24017]"
Poor People's Campaign: A National Call for Moral Revival,"[6473, 16564]"
Likewise Media,"[6452, 16086]"
Team Leigha Messick 2018,"[6264, 28869]"
VoteTogether,"[6152, 24027]"
Medical Access,"[6125, 23910]"
Made In America Tax,"[6108, 24712]"
Democratic Governors Association (DGA),"[6108, 16313]"
Cooperative Action Network,"[6021, 15105]"
ONE,"[6003, 15008]"
Henrico GOP,"[6000, 44979]"
Danny Plaugher for Brookland Supervisor,"[6000, 32991]"
Craig County VA Democratic Committee,"[6000, 31992]"
Stop the Flooding NOW,"[6000, 29994]"
Environment Virginia,"[6000, 21991]"
