Yes to Affordable Groceries,5367883,15880355
Yes On 1631,3553646,9680100
Rossi for Himself,1293000,3427952
Elect Carolyn Long,872983,2202165
Mary Robnett,719000,1977955
Lisa Brown,650753,2868296
Vote NO on 1631,622000,1279993
Seattle Waterfront for All,609996,1350974
Commissioner of Public Lands Hilary Franz,600000,1499997
Cathy McMorris Rodgers,533896,1591078
Support Our Schools,513718,2686533
Live Nation Concerts,505000,1364986
Washington State Democratic Party,498637,2032103
New Direction PAC,493984,1318854
The Nature Conservancy in WA,487786,1209271
Jason Rittereiser for Congress,452933,1407851
Vote in WA,442000,1095966
Everytown for Gun Safety,437926,1564708
Jaime Herrera Beutler,434938,1087097
Keep Them Accountable,429924,1436561
Washington State Department of Health,423000,1395968
AFSCME Council 28 WFSE,415562,1572179
Senator Tim Sheldon,414999,959989
The Wilderness Society,413640,1098769
Dr. Kim Schrier,393275,1287378
Planned Parenthood Votes Northwest and Hawaii,381624,1146881
Washington Independents,345988,1403493
Joe Fain,315968,1313778
Planned Parenthood,295039,738161
George Steele for Mason County District Court Judge,292935,942647
John Wilson,288544,697079
Pramila Jayapal,275000,867955
Susan Hutchison,270000,750962
Michelle Caldier,269804,735006
Independent Voter,266695,867431
Senator Maralyn Chase,257975,857806
314 Action,253176,515346
MO Research,249189,797850
Sharon Shewmake Page,221860,1364063
Attorney General Bob Ferguson,206000,764969
Vote Wendy Weiker for State Representative,200000,399996
Offset Solar,188000,720867
Dan Newhouse for Congress,187898,542756
Washington Education Association,186306,466523
Washington Election Update,185000,459993
Auto Alliance,180000,449995
Sarah Smith for US Congress,172997,805843
Alex Ramel,165000,841695
Living Free,165000,359995
Karl Williams for Judge,162000,353981
Question PAC,160473,441144
South King County Deserves Better,160000,744904
Community Health Plan of Washington,153767,389789
Friends of Steve Hobbs,152994,314963
Opt Out Today,150529,393637
Wendy Weiker,150000,301996
Our Flag Our Country,147000,575981
Summer Derrey for Yakima County Commissioner,143000,590945
Chad Magendanz,137000,573958
Tamborine for Congress,129991,451948
Unified Seattle,129937,350847
Front and Centered,129000,347965
Planned Parenthood of the Great Northwest and the Hawaiian Islands,128806,322015
NRDC,127527,323945
