"the committee to elect Tim Sheldon, Democrat",200000
Washington State Department of Natural Resources,200000
Mary for Prosecutor,50000
Friends of Susan Hutchison.,50000
"Friends of Strom Peterson (D) PO Box 12066, Seattle, WA 98102",50000
"Emily Randall for Senate | PO Box 1883 Port Orchard, WA 98366",50000
Eastside Leadership Council,50000
DoSomething,50000
"DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee.",50000
Committee to Elect Steve Hobbs (D),50000
Citizens for Progress Enterprise Washington,50000
314 Action Fund,50000
"Mainstream Voters of Washington, Democrat",49983
Cathy McMorris Rodgers for US Congress,49677
Rotary International ,49596
National Association of Home Builders,48859
Patty Murray for Senate,31724
a United States based client of Strategic Communications Group. ,30540
Tree Top Inc.,19408
Families of the Last Frontier,19248
NowThis,13754
War Against Racism,12233
Civiqs,11288
We Believe We Vote,10000
Washington State Democratic Party,10000
Vote Dave Lucas,10000
Vote Carol Frazey,10000
Unified Seattle,10000
US~Observer,10000
"Tye for Thurston; 120 State St NE, #300; Olympia, WA 98501",10000
Tom Steyer,10000
The Mackinac Center for Public Policy,10000
The Committee to Elect Terry Thompson - Adams County Commissioner #3,10000
The Committee to Elect Nelson Cox,10000
The Committee to Elect JT Wilcox,10000
The Auto Alliance,10000
South King County Deserves Better,10000
Sergey Solyanik,10000
Seattle City Councilmember Kshama Sawant's Office,10000
Patagonia ,10000
Orphan Relief Rescue,10000
Opt Out Today,10000
News For Democracy,10000
New Direction Pac,10000
National Loan Programs,10000
NRA,10000
"NO on 1631 (Sponsored by Western States Petroleum Association), P.O. Box 7035, Olympia, WA 98507 Top 5 Contributors: Phillips 66, BP America, Andeavor, American Fuel and Petrochemical Manufacturers, U.S. Oil & Refining Company",10000
Melissa for Commissioner,10000
King County Sexual Assault Resource Center,10000
King County Elections,10000
King County Department of Assessments,10000
"Joy For Washington 3110 Judson St Suite 78, Gig Harbor, WA 98335",10000
"Healthy Forests, Healthy Communities",10000
Gun Owners of America,10000
"GOP Scouts, Inc. Not authorized by any candidate or candidate’s committee.",10000
Friends of Victor Minjares for Prosector.,10000
Friends of Randy Michaelis,10000
"Friends of Patty Kuderer. PO Box 1545, Bellevue, WA 98009",10000
Friends of Melanie Morgan,10000
Friends of Manka (D) P.O Box 2467  Redmond WA 98052,10000
Friends of Joe Fain,10000
Friends of Jessa Lewis,10000
Families Yes,10000
