Don Blankenship,86505
"Our Next America, Inc.",50000
March For Life,50000
Judicial Crisis Network ,50000
News For Democracy,49801
McKinley for Congress,48763
Citizens United,38389
NAACP Legal Defense Fund,14097
Energy Transfer Partners,12846
the Leadership Conference on Civil and Human Rights ,10000
the Economic Security Fund,10000
West Virginians for Affordable Health Care ,10000
Tom Louisos,10000
The Faith and Freedom Coalition,10000
The Committee to Elect Michael Folk 2018,10000
Restoration PAC,10000
Protect Our Workers Earned Retirement,10000
"Planned Parenthood Action Fund, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",10000
One Nation,10000
National Wildlife Federation Action Fund,10000
National Shooting Sports Foundation,10000
National Association of Home Builders,10000
National Association for Gun Rights PAC,10000
Kent Carper for County Commission,10000
Future in America,10000
Don Blankenship for U.S. Senate,10000
Civiqs,10000
Anthony M. Woods for City Council at Large,10000
Americans for Limited Government,10000
"America First Policies, Inc.",10000
AARP ,10000
"1863 PAC, Ltd. Not affiliated with any candidate or candidate’s committee",10000
Committee to Elect Richard Ojeda,9962
"MO Research, Inc.",9943
"Manchin for West Virginia, Jack Rossi, Treasurer",8250
American Energy Alliance,6896
by Team Sobonya for Cabell Commission,5000
Wilkes for Supreme Court,5000
WV Future PAC,5000
The Committee to Elect Andy Backus,5000
Tera Salango for Circuit Judge,5000
Senate Leadership Fund,5000
Robinson for House,5000
Protect Our Care West Virginia ,5000
Moore Capito for WV,5000
Matt Wender for County Commission,5000
Friends of Randy Swartzmiller 2018,5000
"Friends of George ""Boogie"" Ambler",5000
Frank Luntz,5000
Elect Staggers,5000
Committee to Elect Ty Nestor,5000
Committee to Elect Guy Ward,5000
Hansen for House,4988
American Lung Association,4955
Ranker,4510
Greenbrier County Republican Club,4506
West Virginia Democratic Party,4319
Cindy Lavender-Bowe or CLB 4 WV Committee,4167
Hoover Institution,3790
DrugJustice,2430
the EnergySure Coalition,2346
Ryan for WV House,2233
Webinar Technologies,2007
Convention of States Action,1974
Hearsey for Congress,1968
Norma Kirk-McCormick For State Representative,1779
"Environmental Health Sciences, a nonpartisan, nonprofit publisher of science and news on the environment.",1731
Kyle M. Woodman,1709
Lambda Legal,1515
Super LTD,1474
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",1450
"Friends of Jesse Pippy; Daniel W Hemp, Treasurer",1409
Hillsdale College,1199
Charlie Kirk,1104
the campaign for Donald R. Capper for Lawrence County Common Pleas Judge,1082
Grigorian for Senate,1064
Citizens for Nicole Alt-Myers,1011
End Citizens United Nonfederal,1001
the National Education Association,1000
the Committee to Elect Eric J. Tarr for WV Senate.,1000
the Committee to Elect Eric J. Tarr for WV Senate,1000
the Committee to Elect Carla Jones.,1000
"a Safer, Stronger Charleston",1000
West Virginia Strong,1000
The Wood County Democratic Executive Committee,1000
The Wilderness Society Action Fund,1000
The West Virginia Center on Budget and Policy,1000
The Record,1000
"The Committee to Elect Tom Tull, WV House of Delegates 38th District.",1000
The Committee to Elect Richard Lindsay,1000
The Committee to Elect Jason S. Harshbarger ,1000
The Committee To Elect Josh Stowers,1000
The Committee To Elect Brianne Solomon,1000
The Candidate,1000
Susan Shelton Perry,1000
"Statler For House. Linda Chisler, Treasurer.",1000
Smith for the Supreme Court,1000
Rowsey for the House Campaign Committee,1000
Reconnecting McDowell,1000
Price For Monongalia County,1000
Phoebe Jeffries Meadows,1000
Phillips for Delegate Committee,1000
Peter Onoszko for Jefferson County Commission,1000
Mountain Mamas PAC,1000
Lovejoy for House,1000
Joe Powers for Cabell County Clerk Committee,1000
Jefferson County Democratic Party,1000
James Robinette,1000
Higginbotham for West Virginia,1000
HealthSmart,1000
Harrison County Republican Executive Committee,1000
"Hampshire County Democratic Club, Dorothy Kengla, Treasurer",1000
Greenbrier Valley Democratic Women's Club,1000
"Goodwin for Mayor, Patrick Smith, Treasurer",1000
Friends of Ferns,1000
Friends of Danielle Walker,1000
Friends of Ben Queen,1000
Federation of American Hospitals,1000
Duty and Country. Not authorized by any candidate or candidate’s committee.,1000
Demand Justice,1000
David Miller,1000
Committee to Elect Clay Riley,1000
Committee to Elect Andy Daniel,1000
Andrew Robinson,1000
Americans for Prosperity Foundation,1000
Americans for Prosperity,1000
100 Percent Deplorables,1000
Talley Sergent for West Virginia,999
"America First Action, Inc. Not authorized by any candidate or candidate's committee.",999
"Great American Era, LLC",995
Future of 55 PAC,994
DL Hamilton or Mountain Mamas PAC,994
Ihlenfeld for Senate,993
the committee to elect Bill Hartman. ,985
Friends of Mike Oliverio,982
Kendra Fershee for Congress,978
"David L. Kelly, Republican Candidate for West Virginia House of Delegates, District 6",978
The Democratic Coalition,924
Friends of Evan Worrell,908
Justin Cory Hamilton,898
Ryan Hampton,894
Doyle for Delegate Committee,894
the Eric Chaney Campaign Fund,853
Charles Sammons for State Senate,850
The Unofficial Bill O'Reilly Fan Club,840
Penzeys,833
"We Are PA, a project of the The Immigration Hub.",831
Joann,816
Bredesen for Senate,805
committee to elect Charlie Reynolds,781
POLITICO Focus,767
MedStar Washington Hospital Center,757
The Committee to Elect Dalton Haas ,726
"DuPont for Congress — William Phelan, Treasurer",716
LeadingResponse,654
Coalition For Trump,641
Protect Our Care,640
Committee to Elect Sarah Kovoor for Judge,631
"Winning For Women, Inc.",619
"Brooker for Judge Committee, Mike Lorentz, Treasurer 809 Mary St., Belpre, OH 45714 ",599
Garrett County Democratic Club,571
Protect our Jefferson County,562
Camera for Senate,539
Airbnb,536
"Citizens for Debra Frank for School Board, Jonathan Frank, Treasurer",467
The committee to elect Leslie Pittenger,448
Friend of Justin for Congress,447
Doctors Without Borders/Médecins Sans Frontières (MSF),440
Irvine for Ohio,435
Deb Haaland for Congress.,414
Hulu,410
Daily Wire,409
Right Rising Media LLC,383
GLAAD,374
UPROXX,369
National Audubon Society,365
Axios,359
Delta Foundation of Pittsburgh,356
Bill O'Reilly Staff,355
The Brookings Institution,351
PragerU ,333
Turning Point USA,324
Progress News Network,321
League of Conservation Voters,284
the ACLU,264
Andrew St. John,261
Pat McGeehan for 1st District,252
Likewise,239
Consumer Alert Services,215
"ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.",213
Affordable Medicare,209
Asa for Governor,207
The Church of Stop Shopping,201
Gillibrand for Senate,198
Proud American Hunter,196
"Authority, Friends of Kathy Afzali, John Cornelius, Treasurer",194
House Democratic Caucus,183
Chris Harris for State Representative,183
Charity Grimm Krupa,183
Katie Hill for Congress,179
Alliance Defending Freedom,174
Texas Public Policy Foundation ,172
Friends of E.J. Conn,170
"Citizens for Michael Leptic.  Rebecca Galliher, Treasurer.",170
"Citizens for Jereme Leazier, Patti Leazier, Treasurer",169
YouGov,166
"Philip Levine, Democrat, for Governor",164
All Out,160
Friends of John Delaney,157
Jack Miller Down to Business,154
Sinclair Broadcast Group,150
Chosen People,150
The Mark Kaye Show,147
Rebuilding America Now Super PAC,146
The Independence Fund,145
The Whiskey Patriots,143
Protectors of the Wood LLC,143
State Policy Network,142
Prompt Media,139
Megan LeRoux for Clerk of Court,138
Committee to Elect Scott Cepicky- Treasurer Beverly Simmons,137
Conor Lamb for Congress,136
Page County Democratic Committee ,130
"Citizens for Brian Frosh, Jerry Gross, Treasurer.",130
Scalise for Congress,129
Supporting American Values,128
EveryLibrary | FEIN 46-1534149,128
"Benepath, Inc.",122
Organization for Competitive Markets,121
The Committee to Defend The President,119
STAND FLAG POLES,118
Suzanne Domagala ,116
"Mid Maryland For Jason Miller, Amanda Miller - Treasurer",115
Deck of Deplorables,113
StaffDNA,112
Freedom for All Americans,111
" Miller & James, LLP",111
FRIENDS OF SCOTT WALKER,109
TheBlaze,105
the Republican State Leadership Committee,103
NICK FREITAS FOR U.S. SENATE,103
Modern Hero TV,103
Mavis Taintor,99
SpeakEasy Political,98
Clear Energy Alliance,98
Downsize DC,96
Circa,96
Finley for Judge,95
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",94
Save Animals Facing Extinction,93
2A4LIFE LLC,93
UnitedHealthcare,92
Shiloh Israel Children's Fund,92
NRATV,92
Judicial Watch,92
College Affordability LLC (doing business as “Pay for Ed”). The products offered by Pay for Ed (the “Tools”) are a planning tool that estimates your financial situation and suggests potential ideas and concepts regarding the financing of expenses of higher education.,92
AFGE,92
"Christen N. Finley, Candidate ",91
American Bail Coalition,91
FirstQuoteHealth,90
The Mercatus Center at George Mason University,89
Committee to Elect Trampas Puckett,89
American Patriot Daily News,89
Abortion On Our Own Terms,89
"Political advertisement, paid for and approved by Joe Gruters, Republican for Florida State Senate, District 23",88
The Heritage Foundation ,87
Big Lie LLC,87
Kell Palguta for Prescott Valley Mayor,86
Peter G. Peterson Foundation,82
True Conservative,80
Pew Research Center,79
Partnership for Civil Justice Fund - defending democracy and civil rights in the courts and in the streets,79
Henry Holt and Company,79
Quirk Books,78
Proxy Vote,78
Fuel Freedom Foundation,78
Wind Energy Foundation,77
State Run Films,77
"Paid for the by the Working Families Party National IE Committee, Mike Boland Treasurer, 1 Metrotech Center North, 11th Floor, Brooklyn, New York. Not authorized by any candidate or candidate’s committee. ",77
Bill Holt's Dreamies®,76
Hill Reporter,75
Cold Dead hands of America,75
Jason Tolliver For Auditor,74
Ben Swann,74
by Apollo Marketing,71
Rep. Kevin McCarthy,71
Let Africa Live,71
Firearms Policy Coalition,70
Families For Trump,70
Dr. Bronner's,70
WeThePeopleHolsters ,69
OuterGoods LLC,69
Friends of Beth Liston,67
Personal Liberty,66
Greater Half,66
Animal Matters,66
World Mercury Project,65
She the People USA,64
CPI Conservative Partnership ,64
Yale Program on Climate Change Communication,63
Outschool,63
Climate Conservatives,63
Alexandria Ocasio-Cortez 2018,63
Republicans for the Rule of Law,62
"Marsy’s Law for North Carolina, L.L.C.",62
Elizabeth for MA,61
Teflon Film LLC,60
Political Plunder,60
Lemony Tree,60
Dogwood Alliance,60
"The Commonwealth Fund, a nonpartisan organization",59
State Employees Association of North Carolina,59
"End Party Politics, LLC",59
Better Medicare Alliance,59
"AAF Nation, LLC",59
Unitarian Universalist Service Committee,58
Tee Shirt Palace,58
Military-Veterans Advocacy,58
Indiana State Senate,58
Dan Bongino,58
client and does not endorse any candidate or candidate committee.,57
Friends of Faber,57
St. Martin's Press,56
Partnership for Conservation.,56
Friends of Chris McDaniel,56
Bloomberg Philanthropies,56
Shareblue Media,55
"OAF Nation, Inc",55
Sierra Club,54
"National Shooting Sports Foundation, Inc.",54
Diversity Incorporated ,54
Live Action,53
WeAllMAG,51
SEIU on behalf of iAmerica Action,50
Ohioans Against the Reckless Dialysis Amendment,50
getVokl,49
Yale Environment 360,49
Equality Texas.,48
Democratic Asian Americans of Virginia. Not authorized by any candidate or candidate's committee,48
Two Flags,47
Mid Atlantic LECET,47
Illinois Family Institute,47
Dr. Dena Grayson,47
Re-Elect Mayor Rich Tran 2018 FPPC #1400416,46
POET.,46
Kevin McCarthy for Congress,46
Frances Presley Rice,46
Conservation International,46
Rachel Ratliff Campaign Fund,45
FLIC Votes,45
Earthjustice,45
the Colorado Working Families Party IE Committee,44
Friends of Jay Edwards,44
the Friends of Jess King,43
"Zen Brands International, LLC",43
UNICEF USA,43
Military Officers Association of America (MOAA),43
Joseph Plummer for Herndon,43
I Love My Freedom,43
Center for Biological Diversity,43
Beaver County Young Republicans ,43
Omaze,42
"Justin Kiska for Frederick; Trey T. Kiska, Treasurer",42
Flaccavento for Congress,42
Rustic Edge Marketing,40
She the People,39
PACRONYM. Not authorized by any candidate or candidate’s committee,39
Foundation for Individual Rights in Education,39
Chesapeake Bay Foundation,39
A Place at the Table,39
The Truth Is In The Tweets,38
"Stewart for Senate, Inc. ",38
"Pursuit, a non-partisan, non-profit organization",38
Washington State Democratic Party,37
STEPHENS 2018,37
SEIU Local 2015,37
Push Digital ,36
Center for Reproductive Rights,36
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",35
Foundation for Economic Education,35
UnidosUS,34
The Leadership Conference on Civil and Human Rights ,34
Sandy Hook Promise,34
Paid for by Print for Progress,34
Julie for Texas 25,34
Joe Cunningham For Congress,34
Giffords,34
"Goods Unite Us, Inc.",33
"This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee.",32
NY Times Bestselling Author Andrew Shaffer,32
NRDC Action Fund,32
Jerry Valentine,32
Friends of Bernie Sanders,32
Wyoming Hunters and Anglers Alliance 501 (c) (4),31
Tristan Cruz,31
Thomas Batten,31
"Ron DeSantis, Republican, for Governor. ",31
"Authority Friends of Tammy Larkin, Ohlen M. Hunt, Treasurer",31
The Committee to Elect Alessandra Biaggi,30
"Ron George, State Senate; Harold Falcon, Treasurer",30
Paramount Network,30
South Florida's Future independently of any candidate.,29
CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,29
Action Against Hunger ,29
"4Ocean, LLC",29
Friends of Donna Campbell,28
Coalition for Future Mobility,28
Be a Hero PAC,28
Philadelphians for a Fair Future,27
"Families & Teachers for Antonio Villaraigosa for Governor 2018, sponsored by California Charter Schools Association Advocates. Committee major funding from Reed Hastings, Eli Broad and Michael Bloomberg. Not authorized by a candidate or a committee controlled by a candidate.",27
the Association of American Physicians and Surgeons,26
World Animal Protection,26
Working America,26
USPS,26
Stivers for Congress,26
Sevigny for Congress,26
Remezcla,26
March For Our Lives,26
"Laurie Halverson for Delegate - Joe Schmelzle, Treasurer",26
"Giffords, a section 501(c)(4) issue advocacy organization, and Giffords PAC, a federal political committee. Not authorized by any candidate or candidate's committee.",26
Friends of Dan Milleson,26
BESE,26
the Physicians Committee for Responsible Medicine,25
Shatterproof,25
Committee to Elect Lynn Afendoulis 3333 Falcon Bluff Ct Grand Rapids MI 49525,25
City Journal,25
Association of Young Americans,25
"Michigan Republican Party Not authorized by any candidate or candidates committee. 520 Seymour Ave. Lansing, MI 48933",24
Friends of Judge Zalla,24
Ted Cruz for Senate,23
The Republican Party of Sarasota County,22
The Innocence Project,22
"Steve Huffman for Ohio, John Stickel, Treasurer, PO Box 739, Troy, Ohio 45372",22
Retail Politics LLC,22
Elizabeth Baker for District 2,22
Citizens for Kail,22
Brian Clark for State Representatiave,22
"Paid for and approved by Christian Ziegler, Republican for Sarasota County Commission, District 2",21
LifeSiteNews,21
International Rescue Committee,21
Friends of Randy Michaelis,21
Friends of John Sarbanes,21
Evan Glass for Montgomery County Council ,21
"Bill Conway for Council, Ira Goldstein, Treasurer",21
Amie Hoeber for Congress,21
Tidal,20
"The Christian Broadcasting Network, Inc.",20
Strasson Group,20
Lislegard for House 6B Committee,20
Friends of Michael Diaz,20
"Angie Holt Groves for Robertson County Clerk, Janet McClain, Treasurer",20
America Fighting Back PAC,20
Alan Wilson for Attorney General,20
AFSCME Maryland,20
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,19
the Office of Congresswoman Barbara Comstock,19
"ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER",19
Loudoun Economic Development,19
Kim David for Senate 2018,19
Committee to Keep Judge Messer,19
Citizens for Kash Jackson,19
California Democratic Party,19
CREDO Mobile,19
Bird + Stone ,19
350 ,19
World Vision USA ,18
