Restoration PAC,8589515,21592248
Scott Walker,6969609,16207706
Strong Wisconsin,4518186,10246332
Americans for Prosperity,4267251,9693895
Defend Birth Control,3891390,9452547
Dark Store Loopholes,3110000,7349979
CFGA Wisconsin,2721239,6461568
For Our Future WI,2324407,5569737
Kurt J Kober,2043837,7128605
Ron Kind,1710993,4194959
Leadership MKE,1531997,5850341
Concerned Veterans for America,1519532,3498881
High Ground Action Fund,1478000,3574977
Tony Evers,1450097,4201537
Kelda Roys,1320000,3674927
Tom Palzewicz for Congress,1281000,3144779
NextGen America,1268146,3928093
Tammy Baldwin,1180000,2652879
Mike McCabe for Governor,1075952,3041704
Cathy Myers,1005893,3321481
Wisconsin Progressives,966421,2562021
Our Lives Our Vote,899000,2459834
MO Research,891089,2295163
Dan Kohl,788723,2454517
Wisconsin Homeowners Alliance,770000,1749983
Marsy's Law for Wisconsin,746182,2583622
Randy Bryce,729972,1987707
Fight For Reform,711437,1557183
Glenn Grothman,614000,1718938
Republican Governors Association (RGA),608068,1963225
Wisconsin Alliance for Women's Health,562000,2509256
Wisconsin Wildlife Federation,510000,1049998
Planned Parenthood,450249,1171355
The Real Lee Snodgrass,400000,1001996
Stop Meth Not Meds - Wisconsin,400000,999998
Republican State Leadership Committee,360000,849996
Wisconsin Freedom PAC,350000,799997
Concealed Online,346888,937514
Brad Schimel,346000,811973
Scott Walker Is Letting Our Schools Crumble,326000,814994
Wisconsin First Political Fund,320000,799995
Progressive Takeover,312000,797915
Mandela Barnes for Lieutenant Governor,276916,620573
UAW International Union,269308,682898
Play Fair Wisconsin,264504,711788
Leah Vukmir,253000,1072912
Speak Up For Education and Kids,242000,617982
Wisconsin Right to Life Victory Fund,215000,559997
Solar Energy Today,213048,616226
Andy Gronik,213000,700958
Human Rights Campaign,204819,767626
AFP-Wisconsin,200543,550354
Bryan Steil,199673,474297
Arvina Martin,187000,620986
American Federation for Children Action Fund - Wisconsin IE Committee,179000,686974
Associated Builders and Contractors of Wisconsin,176823,557099
Wisconsin Right to Life,172789,405170
Paul Soglin for Governor,161000,475990
Children's Hospital of Wisconsin,159974,349944
Wisconsin for Public Lands,156000,674980
Josh Pade,154000,590983
Kathy Bernier - Wisconsin Values,150000,300997
Caleb Frostman for State Senate,143000,372961
Treasurer Michael Frerichs,142000,451922
Matt Flynn,141000,407914
Ewert For Congress,140923,528612
Gary George 4 Congress,138999,571935
Kevin Adam Steen For Congress,138000,674983
Milwaukee County Sheriff Schmidt,133000,570956
Lee Snodgrass for State Senate,132000,347985
Winker for Wisconsin,126999,440924
Paul Nehlen,120901,364589
Plumer for Assembly,120000,604954
Josh Kaul,119000,481931
Dittrich for 38th Assembly District,119000,400986
Goyke for Wisconsin,119000,286984
Americans for Prosperity Foundation,116019,282272
Team Fred Kessler 2018,112000,380989
GOP,108000,533789
The Tax Scam,107000,219995
Democratic Climate Action,101337,203616
The Real Robyn Vining,101000,204997
United Way of Wisconsin,100000,199999
U.S. Chamber of Commerce,100000,199999
Planned Parenthood Advocates of Wisconsin,100000,199999
Sheriff Bieber,95000,309949
Fix Politics Now,93621,504115
Vipond for Congress,90000,361957
Kevin Nicholson,88000,364986
