"Wisconsin Conservation Voters IEC. Not authorized by any candidate, candidate's agent or committee.",500000
Safe Transportation Over Politics,500000
the Republican State Leadership Committee.,200000
the Republican State Leadership Committee and not authorized by any candidate or candidate committee,200000
The League of Wisconsin Municipalities,200000
Jobs First Coalition Political Fund. Not Authorized by any Candidate or Candidate’s Agent or Committee.,200000
High Ground Action Fund,200000
Guns Down,200000
End Citizens United Nonfederal. Not authorized by any candidate or candidate’s agent or committee.,200000
Consumer Healthcare Products Association,200000
Concerned Veterans for America,200000
CFG Action Wisconsin,200000
the Republican State Leadership Committee and not authorized by any candidate or candidate committee.,100000
Wisconsin Leadership Committee. Not authorized by any candidate or candidate's agent or committee.,100000
"AFSCME PEOPLE. Not authorized by any candidate, candidate’s agent, or committee.",100000
"Wisconsin Right to Life, Inc.",50000
Wisconsin Homeowners Alliance,50000
Wisconsin Freedom PAC,50000
United We Can,50000
The Orpheum Theater,50000
"Strong Wisconsin, not authorized by any candidate or candidate's agent or committee.",50000
School Choice Wisconsin Action,50000
Schimel for Attorney General,50000
Republican State Leadership Committee,50000
Oldenburg for Assembly,50000
NELP Action,50000
Kind for Congress,50000
High Ground Action Fund.,50000
Friends of Scott Walker,50000
Friends of Nikiya Dodd,50000
Fair Elections Center's Campus Vote Project,50000
Digi.City,50000
Children's Hospital of Wisconsin.,50000
Cathy for Congress,50000
"AFSCME PEOPLE. Not authorized by any candidate, candidate’s agent or committee.",50000
House Republican Organization of Illinois,30999
National Federation of Independent Business Federal Political Action Committee,19933
DAGA People’s Lawyer Project.,13989
YouGov,10528
the National Education Association,10000
the Friends of Scott Gavin.,10000
laurence kruckman,10000
Women Speak Out PAC,10000
"Wisconsin First Political Fund, West Allis WI",10000
Voces De La Frontera Action Fund,10000
Transportation Development Association of Wisconsin,10000
Tony for Wisconsin,10000
The Policy Circle,10000
State Senate Democratic Committee,10000
Spiros for Assembly,10000
Show Up 2018,10000
Shareblue Media,10000
Shabnam For Wisconsin.,10000
Shabnam For Wisconsin,10000
School Choice Wisconsin,10000
SARAH FOR WISCONSIN,10000
Rachel's Action Network,10000
Protect Our Workers Earned Retirement,10000
"Planned Parenthood Advocates of Wisconsin, ppawi.org, and not authorized by any candidate or candidate's agent or committee.",10000
Philip Schaefer,10000
People for Rebecca,10000
Paul Soglin for Governor,10000
Pade for Wisconsin,10000
POLCO,10000
Outagamie County Republican Party,10000
Orpheum Theater,10000
Open Primaries Inc. ,10000
Milwaukee Film,10000
"MatheinforSheriff, Ellen Mathein, Treasurer",10000
Mandela for Wisconsin,10000
Maggie Turnbull for Wisconsin Governor,10000
League of Women Voters of Wisconsin,10000
Kurtz for Assembly,10000
Kriss Marion for State Senate,10000
Kapsner for Senate,10000
Janet Bewley for Senate,10000
Illinois State Treasurer's Office,10000
Hausmann-Johnson Insurance,10000
Gwen Moore for Congress,10000
Grover for Assembly,10000
Friends of Kevin Adam Steen,10000
Friends of Janel,10000
Friends of Fred Kessler,10000
Forward Majority Action. Not authorized by any candidate or candidate's agent or committee.,10000
Farmers for Free Trade,10000
Dan Kohl for Congress,10000
Commoners for Mike McCabe,10000
Citizens for Ketchem,10000
Citizens For Sieber,10000
Chris Abele for County Executive,10000
Backcountry Hunters & Anglers,10000
Associated Builders & Contractors of Wisconsin,10000
Americans for Prosperity,10000
Alliance for Climate Education,10000
A Stronger Wisconsin,10000
Planned Parenthood Advocates of Wisconsin,9997
Mike Rohrkaste for Assembly,9997
Paid for by Duffy for Wisconsin,9996
"Democratic Party of Green County. Cathy Kuehl, Treasurer",9995
Volunteers for Nehlen,9966
National School Walkout,9942
Wisconsin Right to Life,9866
Dianne C Kiel dba Keep Wisconsin Red,9763
Novak for Assembly ,9460
The Sylvee,9308
Gae Magnafici for Wisconsin,6475
FirstQuoteHealth,6335
the Theodore Roosevelt Conservation Partnership,6146
Save Animals Facing Extinction,5468
"the Wisconsin Right to Life Victory Fund, Chet Rucinski, Treasurer. Not authorized by any candidate or candidate's committee. ",5000
the National Partnership for Women & Families,5000
the American Federation for Children Action Fund - Wisconsin IE Committee,5000
Xcel Energy,5000
Wisconsin for Public Lands,5000
Wisconsin Next PAC,5000
Wisconsin Election Integrity,5000
Wisconsin Alumni Association,5000
The Leadership Conference Education Fund,5000
The Assembly Democratic Campaign Committee,5000
