Harriet Hageman,3976998,11640733
Gary Trauner for U.S. Senate,1543777,3927808
Dave Dodson for Senate,1360465,3674103
Sam Galeotos for Governor,1252996,3888849
John Barrasso,1049990,2728908
Mark Gordon,598648,1559041
Leland Christensen for Wyoming,545000,1666940
Independent Republicans of Wyoming,513000,1994120
Wyoming Hunters & Anglers Alliance,433989,1664851
Dahlin For Governor,362000,883973
Liz Cheney,335998,1097943
Hunter For Wyoming,315000,1404930
ExxonMobil,211429,454328
Travis Helm for US House of Representatives,145990,587878
Haynes For Wyoming,125000,538947
Governor's Council on Impaired Driving,100000,199999
Civiqs,98341,398003
Kristi Racines,91000,424942
Because Wyoming,79895,339466
Greene 4 Mayor,66828,337063
Tyler Lindholm for House District #1,62000,160995
The Wilderness Society,60481,291510
Mike Yin for WY House - HD16,55505,274184
Equality State Taxpayers Association,55000,259994
Cook for Natrona County Commissioner,54000,213985
Rod Miller for Congress,54000,200969
Laura Sundstrom For Campbell County Coroner,43996,219925
Don Frank Jackson Town Council,43000,200987
Representative Jared Olsen,43000,185991
"Healthy Hospital, Healthy Community.",38041,76880
Wyoming Wildlife Federation,38001,250876
Curt Meier for Wyoming,34995,138079
Weber for Sheriff,34183,175570
Mark Kinner,31999,130980
Wyoming Youth Voter Initiative,31000,154996
Paige Rhoads for Clerk of District Court,29998,149988
Donald J. Trump,29092,143142
Wyoming Rural Electric Association,29000,99992
DoSomething.org,25037,110139
Jessica Stalder for Laramie City Council Ward 1,23989,93927
Pam Glick for Laramie County Clerk,23000,56991
Gail Symons,22986,96925
Wrong for Wyoming,21000,106995
Petroleum Association of Wyoming,20000,99998
Alex4Wyoming,19000,81718
Auto Alliance,17000,70995
Ted L. Barney for Senate District 13,17000,54991
Re-Elect Doug Matthews for Uinta County Sheriff,16696,55749
VoteTogether,15031,60164
Zach Bowman for Park County Commissioner,15000,81978
Wyoming Outdoor Council,15000,59998
Jacob Martin  City Council Candidate Sheridan,15000,49988
Fremont County Democrats,14000,71993
Paul Wallem For Campbell County Coroner,13995,72957
Barbara Allen for Wyoming House,13319,69544
Patagonia,13261,58177
Matt Carr for Sheriff,13261,46219
Luther for County Commissioner,13000,107944
Re-Elect Trent for Albany County Attorney,13000,85898
Our Revolution Casper,13000,52988
"Elect Jackie Grimes: Representative, Wyoming HD 46-D",12994,53956
America First Policies,12855,67687
Theodore Roosevelt Conservation Partnership,12311,54620
Tom James for WY Senate District 13,12000,35990
Denise Shirley for House District 24 -Park County,12000,31994
Sierra Club,11856,54712
Draft Foster Friess,11000,54998
Steve Rozier for Campbell County Coroner,11000,26995
Climb Wyoming,10983,54914
Shinkle for Teton County Assessor,10379,32751
National Wildlife Federation Action Fund,10004,50014
Joe Shogrin for Cheyenne City Council ward #3,10000,53986
Sheridan County Republican Party,9849,49244
Barbuto for Commission,8995,36963
PragerU,8828,19072
Ogden Driskill for Senate District #1,8669,19165
St. Jude Children's Research Hospital,8368,20919
Roscoe for Wyoming,8356,31141
Dockter for Auditor,8000,24996
Thom Gamblin For Carbon County Sheriff,7000,39988
Wyoming State Senator Brian Boner,7000,21995
Sims for Senate district 15,6755,20504
MedicareSupplement.com,6000,286726
Brian Harrington for Laramie City Council Ward 1,6000,39780
Byron Barkhurst For Carbon County Commissioner,6000,34989
Ryan Wright,6000,17995
"Max Mickelson, School Board Trustee",6000,14998
Mark Anderson for Uinta County Commissioner,6000,14998
Backcountry Hunters & Anglers,5782,16944
American AF,5568,13922
Co-ops Vote,5024,28946
Forward Wyoming,5000,32987
Sandy Newsome for Wyoming Legislature,5000,29990
Mike Gierau,5000,28991
Dave Harness for Johnson County Coroner,5000,26993
Mayor Mike,5000,25994
Doug Schultze For Sheriff,5000,10998
Wyoming Term Limits,5000,9999
"Marie Heath, Real Estate Agent - Team Properties Group, LLC",5000,9999
Jillian Balow,5000,9999
Jeff Raney for Wyoming Senate District 23,5000,9999
Foster Friess,5000,9999
Cross E Dairy,5000,9999
County 17,5000,9999
Campbell County GOP,5000,9999
Power In Cooperation,4874,14388
Bridger Valley Electric Association,4755,9509
Ben Shapiro,4034,8500
Wyoming Democratic Party,4000,22993
Tara Bolgiano for Sublette County Clerk,4000,22993
Chris Lowry for Wyoming State Treasurer,4000,22993
Elect Jim Milne for Natrona County Commissioner,4000,20995
National Republican Congressional Committee,3846,11752
Boredom Therapy,3653,7370
Erin Weisman for Teton County Attorney,3646,22892
NRA - National Rifle Association of America,3601,7657
Martin Gubbels for State Senate District #3,3321,16599
Paul Johnson for Wyoming House,3000,23988
Senator Anthony Bouchard,3000,17994
Mike Crosson for Sublette County Attorney,3000,16995
Miller For Mayor Of Powell,3000,15996
Mark Jennings WY State Representative House District 30,3000,14997
Calob Taylor for Wyoming House of Representatives District 11,3000,14997
Judy McCullough for Senate District 1,3000,14995
Alex Berger for Weston County Attorney,2992,15956
Cheri Steinmetz for Senate District 3,2973,14864
4ocean,2901,6261
Teton County Democrats,2848,23226
Candidate Slade Ross,2371,13851
Taxotere Lawsuit Information,2352,5972
Tim Nichols for City Council,2000,14993
Campaign for Dave North,2000,13994
Travis Moore for Carbon County Commissioner,2000,12995
Michael Searle for City Council,2000,11996
Fed of American Hospitals,2000,11996
Powder River Basin Resource Council,2000,10997
