Trauner for the People of Wyoming,100000
Friends of John Barrasso,50000
Committee to Elect Tyler Lindholm,50000
the Theodore Roosevelt Conservation Partnership,10000
Wyoming Secretary of State's office,10000
Wyoming Conservative Citizens ,10000
The Committee to Elect Hageman for Governor ,10000
Petroleum Association of Wyoming,10000
Paige Rhoads for Clerk of District Court,10000
National Wildlife Federation Action Fund,10000
Jerry Cook for Natrona County Commissioner,10000
Galeotos for Governor,10000
Friends of Taylor Haynes M.D.,10000
Friends of Mark Gordon,10000
Equality State Taxpayers Association ,10000
Don Frank for Jackson Town Council,10000
Dodson for Senate – Wyoming First,10000
DoSomething,10000
the Sheridan County Republican Party,9849
"the candidate, Doug Matthews.",5000
Wyoming Outdoor Council,5000
Wyoming Electric Cooperative Association,5000
U.S. Term Limits,5000
Max Mickelson,5000
Liz Cheney for Wyoming,5000
Jeff Raney for Wyoming Senate District 23,5000
Island Richards,5000
Friends of Mark Kinner,5000
Foster Friess,5000
Dahlin for Governor,5000
Brian Boner,5000
Gail Symons,4993
Bridger Valley Electric Association,4755
Ogden Driskill for Senate District #1,3669
Webinar Technologies,1717
American Action News,1714
NowThis,1574
PhRMA,1489
WorkingNation,1340
DrugJustice,1329
The Wilderness Society,1218
the Committee to Elect Dockter for Auditor,1000
campaign for Dave North,1000
Zach Bowman,1000
Wyoming Migration Initiative,1000
Wyoming Democratic Party,1000
Trent for Albany County Attorney,1000
Tom James for WY Senate District 13,1000
Thom Gamblin,1000
"The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.",1000
The Committee to Re-Elect Laura Sundstrom,1000
The Committee to Elect Nichols for Laramie,1000
The Committee to Elect Mike Gierau,1000
The Committee to Elect Jim Milne,1000
The Committee to Elect Jared Olsen,1000
The Committee to Elect Calob Taylor,1000
The Auto Alliance,1000
Symons for Sheridan,1000
Sergio Maldonado for Senate District 25,1000
Schwartz for HD 23,1000
Ryan  Miller,1000
Ron Roth,1000
Rod Miller for Wyoming Inc.,1000
Powder River Basin Resource Council,1000
Pam Glick,1000
Paid for by Greene 4 Mayor,1000
Nash Jolley for Big Horn County Commissioner,1000
Mike Mortimore,1000
Mike Crosson,1000
Mark Anderson 4 Uinta County Commissioner,1000
"Maggie's List, a Political Action Committee",1000
Laramie League of Women Voters,1000
Kaumo for Mayor,1000
Jessica Stalder,1000
Jacob Martin,1000
JOE SHOGRIN,1000
High West Energy ,1000
Helm for Wyoming,1000
Fremont County Democratic Party,1000
Elect Jackie Grimes,1000
Curt Meier for Treasurer,1000
Committee to elect Mark Jennings,1000
Committee to Elect Judy McCullough for Senate,1000
Civiqs,1000
Christensen for Treasurer,1000
Candidate Ted L. Barney,1000
Byron R Barkhurst for Carbon County Commissioner,1000
Brian Harrington for Laramie City Council,1000
Bolgiano for Sublette County,1000
Bill Winney,1000
Better Wyoming,1000
Bethany Baldes,1000
Barbara Allen for Wyoming House District 16,1000
BRANDAN STEWART FOR SCHOOL BOARD,1000
Alex4Wyoming,1000
The Committee to Elect Paul Wallem ,999
Alex Berger,996
Backcountry Hunters & Anglers,995
Friends of Sherry Bushman,990
Committee to Elect Cheri Steinmetz,985
Martin Gubbels,983
The Humane Society of the United States,981
Jeremy Wardell,877
Wyoming Wildlife Advocates,857
STAND League,835
the Committee to elect Matt Carr,808
Better Medicare Alliance,680
Donald J. Trump - 45th President,668
Peaks to People Water Fund,641
Live Action,633
the U.S. Air Force,603
Brigade,567
Patagonia ,552
Alex Blackmer,547
Faso for Congress,531
"NBCUniversal Media, LLC",523
"American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.",516
Painter Minnesota,497
FirstQuoteHealth,494
The Nebraska Department of Insurance Health Policy Division,460
Adam Schiff for Congress,439
Disney-ABC Television Group,433
The National Wildlife Federation ,429
Human Coalition,421
Center for Western Priorities,385
"4Ocean, LLC",365
Judicial Watch,360
Ben & Jerry's,350
NARAL Pro-Choice America,329
Americans for Farmers and Families,324
Pacific Legal Foundation,314
C-SPAN,283
the National Democratic Training Committee,281
"Donald J. Trump for President, Inc.",272
Lemony Tree,269
American Heart Association,257
NRATV,225
"National Association for Continuing Education (NACE), The Accredited Provider of Continuing Medical Education with Commendation. All NACE certified education undergo multiple peer reviews to ensure, scientific accuracy, no bias, accurate publication  citations. NACE has a strict confilict of Interest Disclosure Policy available at all NACE Activities. ",223
"FRIENDS OF MIKE LEE, INC",220
The Mercatus Center at George Mason University,217
Joann,211
Jack Burkman,209
Donald J. Trump - online store for campaign gear,206
OZY Media,205
SEAL PAC Supporting Electing American Leaders PAC,204
Martin Heinrich for Senate,198
America First Policies,186
Rustic Edge Marketing,184
Jonathan Lee,178
"AAF Nation, LLC",175
Ted Cruz for Senate,171
Turning Point USA,165
Capitol Ministries,156
Save Animals Facing Extinction,152
People United for Privacy,151
America's Navy,150
Care Net,148
Everytown for Gun Safety Action Fund,145
People For the American Way,137
Kinder World,136
The Years Project,134
Captains for Clean Water,133
World Vision USA ,131
League of Conservation Voters,128
Super LTD,121
The Arena PAC,118
FreightWaves,117
Rotary International ,115
Law Offices of Vaughan de Kirby A.P.C.,108
"The Center for Health, Environment & Justice",102
Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee.,98
Larry Sharpe for Governor,93
CIWF,93
Tom Steyer,89
Prophecy News Watch,89
The Christian Left,88
Humane Society International,84
Retail Politics LLC,80
Military Officers Association of America (MOAA),78
Stand for Salmon,76
"The Bluestem Fund P.O. Box 2481 Topeka, KS 66601",70
American Medical Association,68
Rita Lucido for Texas Senate,67
"Jay Trumbull, Republican, for State Representative",65
Semi-Automatic Gun Owners of America,64
Proud American Hunter,63
SFT2 Tactical Supply,62
the Elizabeth Dole Foundation,60
Steve Jameson (455496564559338),60
Protectors of the Wood LLC,60
2A4LIFE LLC,60
Sarah Godlewski for State Treasurer,59
News For Democracy,59
Utah Diné Bikéyah,58
National Rural Electric Association,56
Covenant House,56
Patriot Depot,55
Welcome.us,54
Progress News Network,52
Hoover Institution,52
Save the Children US,50
Charlie Kirk,49
Zócalo Public Square,48
Vote Tipton,47
Blake Sacha For AZ,46
Naveen Malik for District 31 Representative,44
Liberty Justice Center,43
Convention of States Action,43
Catholic Relief Services,43
The Right to Bear Memes,42
Citizens for Tobacco Rights,41
Media Research Center,40
Keep and Bear,40
"30x30, FF&L",40
World Animal Protection,39
SpeakEasy Political,39
Sierra Club,38
Campaign to elect Lee Castillo,37
Utah State Parks and Recreation,36
Red Arrow Media,36
Proud Americans Supply,36
DC Statesman,36
National Liberty Federation,35
"Jason for South Dakota; Use of military rank, job title, and photograph in uniform does not imply endorsement by the Department of Defense.",35
Foundation for Economic Education,35
BRITE Coalition.,35
Aaron Surprenant,35
A Place at the Table,35
,35
Polis for Colorado,34
National Audubon Society,34
Ryan A. Farber For President,33
Patriotic Drop Shop,33
Daily Wire,33
Teflon Film LLC,32
Nine Line Apparel,32
Let Us Vote For A Balanced Budget Amendment Citizen's Campaign,32
James H. Warden Jr.,32
China-US Focus,32
"Tactical Air USA, LLC",31
Political Plunder,31
Personal Liberty,31
"The Commonwealth Fund, a nonpartisan organization",30
LOVE IS A RAINBOW,30
Donald Trump Collectables,30
Yale Program on Climate Change Communication,29
Mac Schneider for Congress,29
Hillsdale College,29
Facing Addiction with NCADD,29
Blue Ridge Outdoors Magazine,29
Randy Bryce for Congress,28
Meraki Journey,28
Demand Justice,28
Tim D'Annunzio,27
"Zen Brands International, LLC",26
Restoration PAC,26
"Reform Austin, Inc. ",26
B Conservative ,26
