California,333157980
Florida,307889768
Texas,216262563
Michigan,146016209
Arizona,136779332
New York,136456406
Nevada,128174904
Minnesota,117556017
Missouri,99238558
Colorado,99135614
Illinois,96247117
Indiana,88883998
Pennsylvania,80240059
Tennessee,79610610
Wisconsin,79071670
Georgia,67611673
Massachusetts,63492783
Ohio,60887733
North Carolina,54827003
New Jersey,44381133
Washington,41487414
Virginia,41137789
Maryland,40726237
Oklahoma,40689842
Montana,39460746
Kansas,37119182
Maine,34264794
Iowa,32022680
North Dakota,28844011
Alabama,25587887
New Mexico,25221851
West Virginia,24514841
South Carolina,24480693
Alaska,23779078
Oregon,23397673
Kentucky,22529192
Connecticut,20582565
Louisiana,16087693
District of Columbia,15737364
Mississippi,15135924
Wyoming,14924665
Arkansas,14137573
Hawaii,13313625
Idaho,13061764
Utah,12795982
New Hampshire,11671908
Rhode Island,8969339
South Dakota,8191242
Delaware,6769231
Nebraska,4055379
Vermont,3265536
