Polis for Colorado,8632998
Coloradans for Fairness,6281999
Colorado United for Families,4661000
,3206986
The Teachers For Kennedy Independent Expenditure Committee, Ashley Stevens Registered Agent. Not Authorized By Any Candidate.,2930000
South Metro Denver Chamber of Commerce,2150000
Colorado Values Project,2087241
No on 112,1665000
Jason Crow for Congress,1562000
Brian Watson for Colorado Treasurer,1089000
Discover Charters,1083000
DIANE FOR COLORADO CD3,1065912
Stapleton for Colorado,1059000
Senate Majority Fund,1012000
Stand for Children, Inc.,1003000
Lynne for Colorado,1000000
MO Research, Inc.,934951
Energy Citizens,923910
the office of Wayne Willams, Colorado Secretary of State,900000
Our Colorado Values Independent Expenditure Committee; Ashley Stevens registered agent. Not authorized by any candidate.,896000
Mike Johnston for Governor,895000
SEIU Colorado Small Donor Committee,824995
Dave Young for Colorado,727971
George 2018,697389
Paid for by Americans for Prosperity,668000
Phil Weiser for Colorado.,662060
Shareblue Media,597558
Center for Western Priorities,584644
End Citizens United,583268
The Colorado Way,509000
Unite Colorado Election Fund,480964
ProgressNow Colorado,480045
Urban Drainage and Flood Control District,430267
Colorado Way of Life ,421645
Colorado Organization for Latina Opportunity and Reproductive Rights,414000
Coloradans For Victor Mitchell,412763
ExxonMobil,376801
NARAL Pro-Choice America,373156
Coloradans for Fiscal Responsibility,350000
Coalition of Ratepayers,311000
News For Democracy,310830
Coloradans for Fariness,310714
the Colorado Democratic Party,288064
Denver Elections,288000
IVN News,261244
NRDC,246978
Beautiful Colorado LLC,240000
Conservation Colorado,236000
Michael Dougherty for District Attorney,231000
Peter Smith | Independent for Colorado D32,229909
One Colorado,229000
Better Colorado Now IEC. Not paid for or authorized by any candidate or candidate committee,221000
Job Creators Network,220251
Let Colorado Vote,191143
Our Lives Our Vote,191000
Dahlkemper for Jeffco,191000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,187000
Bernard Douthit For State Treasurer,165000
Reaching the Summit: Coloradans for Mike Johnston,162975
Protect Our Winters Action Fund,156470
Committee to elect Ray Scott,141000
Demand Justice,134959
National Education Association,130625
Colorado Association of REALTORS®,130000
The Wilderness Society,128458
Phil Weiser for Colorado,113000
Patagonia ,112333
Senate Majority Fund IEC,108000
Rhea for Republican Renewnal,106999
Levi For Colorado,103000
The Wilderness Society Action Fund,100999
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,100556
UnidosUS Action Fund,100000
The Heartland Institute,100000
The Brazen Project,100000
National Shooting Sports Foundation,100000
Human Rights Campaign,98724
Americans for Prosperity Foundation,96000
National Wildlife Federation Action Fund,91000
Hawthorne Gardening Co. ,90000
Lesley for CU Regent,89989
Congressional Leadership Fund,89189
JOE NEGUSE FOR CONGRESS,88762
Energy Nation,86593
Dan Thurlow / 7,86000
Sierra Club,84417
SameSide,83478
Committee to Elect Abe Laydon,83000
Colton Black for La Plata County Treasurer,82000
SEIU Local 105,80000
Prosperity Denver,78000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,78000
SOLAR ENERGY TODAY,72313
March For Our Lives,70000
National Loan Programs,68000
Elect Nicki Mills Campaign Committee,64000
Saira for Congress,63000
Cagin Campaign Committee,62000
The Auto Alliance,60000
National Solar Rebate,59000
The Committee To Elect Tina Peters,57000
Stop Buying our Elections,56000
Douglas County Conservatives and not authorized by any candidate or candidate’s committee.  Pat Nohavec, Registered Agent.,56000
Mark Williams for Colorado,55000
Valdez for Colorado,54000
Bobian fo Colorado House,54000
Faith for SD 24,50000
Proxy Vote,47000
the Susie Velasquez for Weld County Clerk and Recorder Campaign,44000
Blue Flower Action Independent Expenditure Committee,44000
The Barris for Congress Committee,42980
the ACLU,42978
SEIU on behalf of iAmerica Action,42006
Citizen Action for Safe Energy,41000
Xcel Energy,40000
Fuel Freedom Foundation,40000
We Care 4 Weld County,39000
the Office of Congressman Jared Polis,36000
The Western Journal,35426
Serve America Movement,35387
the Trump Make America Great Again Committee,34403
Unger for Senate Committee,34000
TZ Insurance Solutions,33000
Jacque Phillips for State House District 34,33000
4Ocean, LLC,31685
Jeff Shrader for JeffCo Sheriff,31000
Guns For Everyone,30984
EveryLibrary | FEIN 46-1534149,30187
Vote The Outdoors Action Fund,30000
Sean For Larimer County,28998
The Committee to Elect Erin Kelley,28000
ACLU of Colorado,28000
MoveOn.org Civic Action.,27330
Englewood Recall Committee,27000
City and County of Denver Government,27000
Environmental Voter Project,26668
State Run Films,26500
Texas Public Policy Foundation ,26000
Colorado Republican Committee,25987
Sandy Hook Promise,25949
the Committee to Elect Tom Jankovsky,25000
The Committee To Elect Paula Stepp,25000
Hanlon for Colorado ,25000
Beto for Texas,24721
STAND FLAG POLES,23479
The Corner at Brush Creek,23000
Sawyer for Denver City Council,23000
Save Our State Colorado. Not Authorized by any candidate or candidate's committee. ,23000
Raising Colorado,22998
Colorado Succeeds,22000
Colorado Education Association,22000
CMTE Calandra Vargas,22000
Beatie for Colorado,22000
AARP Colorado,22000
The Nature Conservancy,21038
Gary Wockner,21000
Tom Steyer,20000
Airbnb,20000
Voto Latino,19000
Frank Moe Candidate For Moffat County Commissioner,18977
Planned Parenthood Federation of America,18712
The Peoples Climate Movement,18372
ConocoPhillips Company,17622
the Committee to Elect Paula Stepp.,17000
Willmeng For Grassroots Power,17000
Thurston For Mayor,17000
Colorado Campaign for Life,17000
Caraveo for Colorado,17000
Susan for Colorado,16000
Kersgaard For Jeffco,16000
NowThis,15924
Unite America Institute,15000
Mike for Sheriff,15000
Elizabeth for MA,14133
Earthworks Action Fund Issue Committee,14000
NRA,13681
the Committee to Elect Kimberly Parker,13000
We Are Pennsylvania,13000
The El Paso County Republican Central Committee,13000
Dylan Roberts for Colorado,13000
Colin Wilhelm For Colorado ,13000
Brianna For Colorado,12995
AAF Nation, LLC,12694
ASMDSS, Inc,12244
Mark for Colorado,12000
Tony Pigford for Denver,11000
People United for Responsible Government.  Not affiliated with any candidate or candidate committee.,11000
Jeni Arndt for Colorado,11000
Committee to Elect Jeanne McQueeney,11000
Chris Kennedy for Colorado,11000
CAMPAIGN TO ELECT LYNETTE LACERDA,11000
"Electing Emma" for Adams County,11000
Alexandria Ocasio-Cortez 2018,10890
Brittany Pettersen for Colorado,10643
MJ for Texas,10542
Environmental Defense Action Fund,10003
weldonforcoroner,10000
the Committee to Elect Shane Sandridge,10000
Save Lakewood,10000
Patrick McIntire for Colorado State Senate,10000
NumbersUSA,10000
Lisa Culpepper for Adams County Treasurer 2018,10000
Hispanic Access Foundation,10000
Finerpoints Accounting,10000
Farmers Alliance for Integrated Resources,10000
El Paso County Democratic Party,10000
Dr. Marcus A. Murphy, MBA/JD,10000
Denver Area Labor Federation, AFL-CIO,10000
Dave Gill for Treasurer,10000
Colorado Liberty PAC,10000
Citizens to Elect Jerry DiTullio,10000
Center for American Progress Action Fund,10000
Axios,10000
Donovan for State Senate,9900
UNITE HERE. Authorized by $15 for DIA.,9893
Concealed Online,9633
Greenpeace USA,9618
Boredom Therapy LLC,9605
PragerU ,9322
Everytown for Gun Safety Action Fund,9260
The Committee to Elect Matt Johnston,9000
Save Cheyenne, a non-profit corporation for public lands.,9000
Reigenborn 4 Sheriff,9000
Keep and Bear,8982
Friends of the Earth,8795
the Voter Participation Center,8605
End Citizens United Nonfederal,8592
Earthworks Action Fund IE Committee. Ashley Stevens, registered agent. Not authorized by any candidate.,8000
Committee to Elect Bonnie McLean,8000
Webinar Technologies,7977
the Environmental Working Group,7662
Conservative Tribune,7658
Dinesh D'Souza,7544
Turning Point USA,7396
Service Employees International Union,7379
Need to Impeach,7164
Family Policy Alliance,7037
The Committee to Elect Michael Thuener for House District 50,7000
Irene Josey for Larimer County Treasurer,7000
BlueFlower Action,7000
International Rescue Committee,6946
Donald J. Trump for President, Inc.,6946
Peaks to People Water Fund,6783
American Liver Foundation,6465
#VoteTogether,6027
Wiggins for Sheriff,6000
Steamboat Citizens to Ensure Air Service,6000
Paid for by Committee to Elect Nick Thomas,6000
Matt Lewis for Sheriff,6000
Committee to Elect Hugh McKean,6000
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,5974
Tony Hass for Las Animas County Commissioner- District #3,5870
Nine Line Apparel,5850
Heidi for North Dakota,5727
Welcome.us,5657
The Hill,5560
McCaskill for Missouri,5475
NRATV,5330
Instagram,5321
Yes 4 Elected Mayor,5000
Story for Colorado,5000
Nick Gradisar for Mayor Campaign Committee - Alan Hamel, Chairman,5000
Messick for Senate,5000
Kolker for HD38,5000
Kent Jarnig 4 HD 20,5000
Jeff Toborg for Parker Town Council,5000
IGNITE National,5000
East Boulder County United,5000
Committee to Elect Shane Sandridge,5000
Colorado Young Democrats an initiative of the Colorado Democratic Party,5000
JoyAnn Ruscha for RTD B,4923
Daily Wire,4617
Union of Concerned Scientists,4581
We Are The Mighty,4521
UnitedHealthcare,4379
Republicans for the Rule of Law,4270
Kamala Harris for Senate,4258
DCCC,4247
Comedy Central,4247
Circa,4244
FirstQuoteHealth,4097
Todd Hendreks for Town of Parker Town Council,4000
The Libertarian Party of Boulder County,4000
The Fight For Facts,4000
Perl for Denver,4000
Grady For House,4000
Giffords PAC,4000
Committee to Elect Liz Rosenbaum House District 21,4000
Committee To Elect Charles Fletcher,4000
Colorado Rural Electric Association,4000
Campaign to Elect Dr. Tony Wolusky CU Regent CD-5,4000
Bri For Colorado,4000
Conservative Gear,3975
League of Conservation Voters,3884
FCTRY,3717
Planned Parenthood Action Fund.,3673
CRTV,3332
Swing Left. Not authorized by any candidate or candidate's committee.,3304
Debbie Condrey for Archuleta County Treasurer,3293
Americans For Prosperity,3241
UPROXX,3230
The National Wildlife Federation ,3193
National Partnership for Women & Families,3184
the Committee to Elect Angie Hicks,3000
Vicki Pyne for HD27,3000
The Committee to Elect Jerald Montoya 4 Treasurer,3000
The Bell Policy Center,3000
The Academy on Mapleton Hill,3000
Rothe for Colorado,3000
Re-Elect Paul D Solano for RTD Board of Directors,3000
Pharmacists United for Truth and Transparency,3000
Patrick McIntire for  Colorado State Senate,3000
NY Times Bestselling Author Andrew Shaffer,3000
Monica Duran for State Rep.,3000
COLORADANS FOR COLORADANS,3000
CBWPA,3000
Adams County Young Dems,3000
Future in America,2877
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,2802
NBCUniversal Media, LLC,2722
O’Connor for Congress,2709
CheapCaribbean,2668
the NRCC and not authorized by any candidate or candidate's committee.,2644
Friends of Ben McAdams,2627
45 Hats,2624
Proud Right Winger,2596
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,2554
NRDC Action Fund,2525
Humane Society International,2511
Serve America PAC,2488
C-SPAN,2439
Adam Schiff for Congress ,2372
Doctors Without Borders/Médecins Sans Frontières (MSF),2355
WeThePeopleHolsters ,2347
Donald J. Trump - online store for campaign gear,2311
Penzeys,2301
TYT Network,2282
DoSomething,2230
Momus LLC dba Deck of Deplorables,2208
Anera,2203
St. Martin's Press,2201
The Leadership Conference Education Fund,2174
Military Officers Association of America (MOAA),2157
Friends of Bernie Sanders,2142
Human Coalition,2020
the Native American Rights Fund, the oldest and largest non-profit law firm protecting the rights of Native tribes and people.,2000
Young People in Recovery,2000
Woodward for Colorado,2000
Women's Lobby of Colorado,2000
The Sentinel,2000
The Committee to Elect Tony Exum,2000
The Committee to Elect Nicholas Ayers to The Office of Pueblo Mayor,2000
Primary The Ruling Class Political Action Committee,2000
Neville for Colorado,2000
Neighborhood Rally against Tower at 66 and Hover,2000
Mike Mason For Colorado,2000
Kate Whitney,2000
Kamala for Colorado House,2000
Jessie Danielson for Colorado,2000
Emerge Colorado,2000
Claudette Konola: Voice of a Progressive ,2000
Citizens Supporting Local Fire Protection,2000
Chris for Denver,2000
Center for Western Civilization, Thought & Policy at the University of Colorado Boulder,2000
Caring 4 Denver,2000
Beth Melton for Routt County Commissioner,2000
Bend the Arc: Jewish Action and not authorized by any candidate or candidate's committee.,2000
Ashley Wheeland for Colorado House District 9,2000
Arapahoe County Clerk and Recorder,2000
Adam Matkowsky for Colorado,2000
Hoover Institution,1974
JVMI,1891
The Leadership Conference on Civil and Human Rights ,1872
Gillibrand for Senate,1833
the National Democratic Redistricting Committee,1770
The Western Way,1760
Winning For Women, Inc.,1713
Rosen for Nevada,1711
CHC BOLD PAC,1665
The Years Project,1631
FreightWaves,1587
World Food Program USA,1584
Lambda Legal,1519
American Public Transportation Association,1508
Zen Brands International, LLC,1505
and Authorized by  Andrew Janz for Congress.,1444
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,1439
Defend Our Constitution,1437
Prophecy News Watch,1412
Amnesty International USA,1383
DC Statesman,1377
Stand Up America,1264
Patriot Depot,1228
Defenders of Wildlife,1227
Patriot Journal,1218
Parks Project,1169
Reform Austin, Inc. ,1149
