Kerri Evelyn Harris for Delaware,522324
,440596
Arlett for Senate,284964
The Simpler Campaign, LLC,185678
the Office of Congresswoman Lisa Blunt Rochester,174953
Patients For Affordable Drugs Action and not authorized by any candidate or candidate’s committee.,171832
Campaign to Elect Gene Truono,110979
Renee Taschner for Deleware,101000
SOLAR ENERGY TODAY,100565
Chris Johnson for Attorney General,79460
Friends of Bob Weiner,73645
Real Justice PAC and not authorized by any candidate or candidate's committee.,73075
Delaware House Democratic Caucus,70959
Renee Taschner for Delaware,69998
Friends For Stephanie Barry,58953
Association for Accessible Medicines,57057
Demand Justice,54861
Friends to Elect Ralph Taylor,54000
Friends of Laura Sturgeon,40427
Lisa Blunt Rochester for Congress,39000
Krista Griffith For Delaware,32994
DoSomething,30213
Wilmington Love,28351
Spadola by Auditor,27990
Mary Ann's List,25787
Guillermina Gonzalez for Delaware,23646
Friends of Elizabeth Lockman,22881
Potter for State Rep,21000
Benjamin A. Schwartz,20000
Rebecca Cotto,19000
Friends of Tim Mullaney,17000
Citizens to Elect Robert Mitchell,16798
NRA,16045
Steve McCarron,16000
Friends of Hansen,15919
#VoteTogether,15100
Friends of Eugenia Thornton, Patrick C. Donahue Treasurer,14000
Committee to Elect Baker,11826
America First Policies,11709
Relevant Seminars,10000
Paid for by the Committee to Elect David Anderson,10000
Freedom for All Americans,10000
Abuse Guardians,10000
 Friends for Debra Heffernan,10000
Wilmington City Council,9000
Friends of Erin Wienner,9000
Darius Brown for State Senate,9000
Scott Phillips for Sheriff,7000
AARP Delaware,7000
Committee To Elect Justin King,6988
Friends of David Carter,6877
the Trump Make America Great Again Committee,6191
The Auto Alliance,6000
Matt Denn,6000
Allan for Delaware,5998
Campaign for Kathy Beard,5993
American Bail Coalition,5972
Planned Parenthood Federation of America,5929
Friends for Debra Heffernan,5907
Beau Biden Foundation for the Protection of Children,5654
U.S. Term Limits,5058
20-20 Insight, LLC,5000
4Ocean, LLC,4426
Kent County Democratic Committee,4000
Jean Dowding for State Representative,4000
Delaware House Democratic Campaign Committee,4000
Alan Huynh,3751
Need to Impeach,3525
Sierra Club,3478
Friends of Kevin Christophel,3434
Paid for by the Gloucester Township Economic Development Corporation,3034
National Rural Electric Association,3005
Darius Brown For State Senate,2960
Everytown for Gun Safety Action Fund,2845
Karl H. Fockler for State's Attorney,2742
Beto for Texas,2510
Donald J. Trump for President, Inc.,2093
Concealed Online,2088
Friends of Anton Andrew,2009
Kirk Albertson,2000
Kind to Kids Foundation,2000
Americans for Prosperity,1959
Sandy Hook Promise,1937
PragerU ,1917
Swing Left. Not authorized by any candidate or candidate's committee.,1803
The Peoples Climate Movement,1789
Larry Lambert for State Representative,1746
Wilmington Democratic Committee,1697
the NRCC and not authorized by any candidate or candidate's committee.,1620
Newell for Circuit Court, Authority Amanda Newell Treasurer,1530
Kamala Harris for Senate,1511
Stand Up America,1490
MoveOn.org Civic Action.,1422
Webinar Technologies,1414
the National Democratic Redistricting Committee,1408
Comedy Central,1290
LeadingResponse,1275
ExxonMobil,1264
AAF Nation, LLC,1228
Hulu,1217
Ocean Conservancy,1185
Grigorian for Senate,1164
MO Research, Inc.,1126
Shareblue Media,1097
the ACLU,1083
Friends of Bill McDermott, Treas.: Christine Braughler,1078
Jake Botticello,1037
National Loan Programs,1029
National Solar Rebate,1010
Meyer for County Executive,1000
HealthFirst Delaware,1000
Friends of Ray Seigfried,1000
Friends of Eric Braunstein,1000
Friends of Bill Powers,1000
Citizens for Purcell,1000
Turning Point USA,995
NowThis,917
Pacific Legal Foundation,905
DCCC,895
Charlie Kirk,889
Philadelphians for a Fair Future,856
Donald J. Trump - online store for Trump/Pence merchandise and campaign collectibles.,812
The Committee to Defend The President,804
Friends for Sue Walker,795
Hoover Institution,786
End Citizens United,785
Adam Schiff for Congress,745
NRSC,697
Friends of Bernie Sanders,689
Build With Strength,686
OZY Media,680
Elizabeth for MA,670
Circa,668
The Wilderness Society,667
WeThePeopleHolsters ,661
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,626
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,622
Super LTD,617
Friends of Rachel Blumenfeld,579
Seth Moulton for Congress,572
Environmental Defense Fund,569
NRATV,557
Parks Project,552
CHI St. Joseph Children's Health,543
Philip Levine, Democrat, for Governor,527
