T-Mobile,1371000
AFL-CIO,1222000
Reelect Muriel Bowser Our Mayor, PO Box 90668, Washington, DC 20090. Jodi Ovca, Treasurer. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.,694000
Paid for by Reelect Muriel Bowser Our Mayor, PO Box 90668, Washington, DC 20090. Jodi Ovca, Treasurer. A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections.,610000
,541047
Respect Workers, Respect Voters,497997
Environmental Defense Action Fund,370998
Coalition for Future Mobility,354423
Americans For Prosperity,346082
Save Our Air Medical Resources,277000
Association of American Railroads,271638
Mendelson for Chairman 2018,259185
Equity Forward,255009
TimKen Steel,250000
Ed Lazere for DC Chair.,233000
45Committee,213000
Demand Justice,211155
STOPP Coalition,200000
Main Street Investors Coalition,176139
Karl Racine 2018,165000
NTK Network,141002
The Beer Institute,136000
One Fair Wage DC Committee,127000
Beto for Texas,125077
National Solar Rebate,124942
David Trone For Congress, Inc. ,124092
Nuclear Energy Institute,107999
Kim R. Ford for Congress,102000
Make Integrity Great Again,100000
Alaska Gasline Development Corporation,100000
AMERICAN CONSERVATIVE UNION,98965
Color Of Change,90000
Save Our Tip System Initiative 77,79000
Lisa Hunter for Ward 6,73000
Hawthorne Gardening Co. ,68000
 American Family Voices.,66000
Ebon Papyrus Press, LLC,62000
Everytown for Gun Safety Action Fund,54122
NumbersUSA,50070
Friends of Victor Ramirez,45926
Democrats Moving Forward #RESIST,44975
Adam Roosevelt ,44176
Friends of John Delaney,38000
Partnership for Conservation.,37944
The LIBRE Initiative,34000
the Foundation for Government Accountability,31817
Job Creators Network,31000
National Wildlife Federation Action Fund,30739
John Catsimatidis,30000
Judicial Crisis Network ,29442
Grow America's Infrastructure Now,28996
The Committee to Elect Zachary Parker 2018,28000
NetChoice,25516
Washington DC Economic Partnership,23143
Planned Parenthood Federation of America,22519
UNITE HERE Local 25,20000
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,19978
 Friends of Angela Alsobrooks, Kimberly Seymour, Treasurer,19892
Providence St Joseph Health,18663
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,18316
Association for Accessible Medicines,17982
Finance Committee for Thomas Oh,16114
the Leadership Conference on Civil and Human Rights ,14000
One Fair Wage DC,13581
Rail Customer Coalition,12000
National Clean Energy Week ,11000
United for Medical Research,10281
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,10000
The Auto Alliance,10000
Robin Ficker Campaign Fund, Amy Ginther, Treasurer,10000
Better Medicare Alliance,10000
the National Institute for Reproductive Health,9371
UnidosUS,8952
Cathy for Congress,8870
Neal Simon for U.S. Senate,8051
Business Forward,7669
Friends of Paul Monteiro, Leslie Bridges, Treasurer,7279
National Student Legal Defense Network,7000
Kamala Harris for Senate,6721
Connect Americans Now.,6310
Earthjustice,6024
Friends of Mila Johns,6015
 Jason Andrean for School Board, Dorien Blythers, Treasurer. P.O. Box 73221, Washington, DC 20056  A copy of our report is filed with the Director of Campaign Finance of the District of Columbia Board of Elections,6000
Shareblue Media,5999
Consumer Action for a Strong Economy,5953
Seth Moulton for Congress,5857
Linda Willard for Delegate,5848
Friends of Bruce Johnson for State's Attorney,5803
Hispanic Access Foundation,5716
Quorum Analytics, Inc.,5714
International Rescue Committee,5667
Donna for Prince George's, Glenn Ivey Treasurer ,5653
The People for Jason Fowler, John Fowler, Treasurer,5419
DoSomething,5037
UsAgainstAlzheimer's,5020
the Theodore Roosevelt Conservation Partnership,5000
the Committee to Elect Bradley Thomas, Tracee L. Sanders, Treasurer.,5000
We Stand For Energy,5000
America's Essential Hospitals,5000
Public Affairs Council,4913
Comstock for Congress,4725
Frank Luntz,4654
Patagonia ,4473
Blair for Montgomery,4468
Robin Ficker Campaign Fund,4467
Need to Impeach,4438
TAKE BACK CALIFORNIA PAC,4334
When We All Vote,4165
 Brandon Brown for Congress        " Put SC 4th First ",4087
Shevrin Jones, Democrat for Florida House, District 101,4020
James Harnett,3996
Arlington County Democratic Committee,3822
4Ocean, LLC,3541
Friends of Kirill Reznik, Jennifer Kramer, Treasurer,3417
National Shooting Sports Foundation,3356
Here for America,3183
the ACLU,3174
State Run Films,3156
Starr Wright Insurance Agency,3146
Friends of Ashwani Jain, Sarah Hunter, Treasurer,3137
the Trump Make America Great Again Committee,3030
CASA in Action,3014
National Farmers Union,3000
MoveOn.org Civic Action.,2863
Science for Humans and Freedom Institute,2759
Gillibrand for Senate,2756
the Government of the District of Columbia,2642
Protect Our Care,2605
Heidi for North Dakota,2598
Southern Poverty Law Center,2560
NRDC,2553
Welcome.us,2544
The Wilderness Society,2449
Dhakal for Herndon Council,2394
Shukoor Ahmed,2342
Trio Marketing on behalf of clients, agents, contractors, and other contractual partnerships.,2278
Americans for Prosperity,2263
Issue One,2239
The Brookings Institution,2113
1199SEIU MD/DC,2113
The Humane Society of the United States,2019
The Western Journal,2013
No Labels. Not Authorized by Any Candidate or Candidate Committee.,2009
The Federal Practice Group,2000
Log Cabin Republicans of the District of Columbia, Inc.,2000
Fix the Court,2000
Bruce Majors, Libertarian for Delegate,2000
DCCC,1985
Friends of Amanda Fiedler; Samuel Long Treasurer,1979
Alexandria Renew Enterprises,1904
the Competitive Enterprise Institute ,1822
Amnesty International USA,1819
Stacey Abrams for Governor,1781
Stewart for Senate, Inc. ,1776
Sierra Club,1717
SOLAR ENERGY TODAY,1707
Youth Progressive Action Catalyst,1696
Oxfam America,1660
Human Rights Campaign,1644
Joe Kennedy for Congress.,1616
Catholic Relief Services,1590
PragerU ,1582
National Education Association,1571
Moms Clean Air Force,1503
Americans for Farmers and Families,1477
ExxonMobil,1463
Lokesh Kumar For Congress,1443
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,1439
Shruti Bhatnagar for Montgomery County, Pamela Coukos, Campaign Chair,1364
Outrider Foundation,1345
Boredom Therapy LLC,1310
and Authorized by  Andrew Janz for Congress.,1306
the I Care March.,1273
Phone2Action,1265
Utah Policy,1263
PETA,1213
Swing Left. Not authorized by any candidate or candidate's committee.,1167
Democracy Fund Voice.,1110
Human Coalition,1109
End Citizens United,1099
NRATV,1081
Circa,1025
Independent Women's Forum,1011
Joann,1009
Becket Law,1005
International Association of Sheet Metal Air Rail and Transportation Workers,1003
the School of International Service, American University,1000
Women Under Forty PAC,1000
The Tenth Congressional District Democratic Committee of Virginia. Not authorized by any other candidate or candidate's committee.,1000
The Religious Action Center of Reform Judaism ,1000
The New Media Firm,1000
The Committee for Justice ,1000
The Alliance for Solar Choice,1000
Texas Public Policy Foundation ,1000
Summer for Congress,1000
Protect Our Care Maine,1000
Justice House of Prayer DC,1000
John Anthony Castro,1000
It Starts Today and not authorized by any candidate or candidate committee.,1000
Issue One Action,1000
EFB Advocacy,1000
Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105,1000
Campaign Deputy,1000
Alaska Wilderness League,1000
ACLU of the District of Columbia,1000
Friends of Richard Gottfried,990
Comedy Central,949
Be a Hero PAC,947
America's Future Foundation,947
The Explore Offshore Coalition,931
Florida Politics.,929
the Church of Scientology,905
Tommie Thompson for County Executive,896
Abdul El-Sayed for Michigan,876
Congressional Black Caucus PAC,866
McCaskill for Missouri,840
Washington National Cathedral,801
The Hill,779
Donald J. Trump for President, Inc.,756
Everytown for Gun Safety Support Fund,753
Project Veritas,751
No Kid Hungry,741
Real Justice PAC and not authorized by any candidate or candidate's committee.,701
Mercy For Animals,690
Evan Glass for Montgomery County Council ,671
Resurgent Left, a non-connected PAC. This page and all of its content is paid for by The Resurgent Left and is not authorized by any candidate or candidate's committee. ,667
Elizabeth for MA,651
the Heinrich-Böll-Stiftung North America,643
MedStar Washington Hospital Center,638
Friends of Ben Shnider. Ashish Dhru, Treasurer.,629
FCTRY,629
Paid for by National Health Law Program,628
By Authority: Friends of Tom Hucker, Dennis Desmond, Treasurer,618
Concealed Online,617
National Association of Home Builders. Not authorized by any candidate or candidate’s committee.,570
Zephyr for NY,564
The Committee to Elect Suraj Patel,554
GZERO Media,547
Burke-Paine Society,539
Seventh Generation,524
ShareBetter,515
Smoky Mountain Values PAC,509
Fitzgerald for Congress, Inc.,495
Lambda Legal,479
Human Rights Watch,476
Players Coalition,468
Ocean Conservancy,468
Greenpeace USA,448
AAF Nation, LLC,448
Friends for Karen Simpson, Donna Flaharty, Treasurer,445
Teflon Film LLC,442
Barve for Maryland,437
NRA,430
DC Sustainability Summit,419
TYT Network,415
California Life Sciences Association,415
Friends of David Moon. Treasurer: Usman Ahmed.,414
Environmental Defense Fund,413
Service Employees International Union,399
Friends of Thomas "Mac" Middleton, Earle Knapp, Jr., Treasurer,391
The Nib,388
The Arena PAC,379
Hoover Institution,377
Reform Austin, Inc. ,363
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,361
Arlington Young Democrats,361
Tony for Wisconsin. Connie Hutchison, Treasurer.,357
NY Times Bestselling Author Andrew Shaffer,346
Tanisha Smith, Co-Founder of Trio Marketing,339
John Wolfe for U.S. Senate,334
Turning Point USA,330
CRTV,328
USA for UNHCR,319
Klean Kanteen,317
Friends of Rushern Baker III,314
Emerge America,314
Public News Service,311
Suburban Virginia Republican Coalition,310
