Stacey Abrams for Governor,15754000
PowerPAC Georgia,3070000
Geoff Duncan for Georgia,2994771
Casey Cagle for Governor,2248709
,1750525
the Democratic Party of Georgia. Approved by Stacey Abrams for Governor.,1442000
MO Research, Inc.,1118138
GEORGIANS FOR BELLE ISLE,960000
Georgia Gun Owners,887000
RICK JEFFARES FOR GEORGIA, INC.,866000
the Democratic Party of Georgia. ,708000
Handel for Congress, Inc.,663000
News For Democracy,642509
Josh McKoon for Secretary of State,500000
Family Policy Alliance of Georgia,420000
Greenlight the Gulch,414000
Color of Change PAC, not authorized by any candidate or candidate’s committee. ,405059
Everytown for Gun Safety Victory Fund, and not authorized by any candidate or candidate’s committee.,387000
Charlie Bailey for Georgia,375000
The Southern Environmental Law Center ,373211
Gary Black for Agriculture Commissioner,348978
The Nature Conservancy,342047
Kemp for Governor,321000
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,295881
Merritt & Merritt Law Firm,201000
Color of Change PAC, colorofchangepac.org, not authorized by any candidate or candidate’s committee. ,197009
Everytown for Gun Safety Action Fund,195679
Human Rights Campaign,194317
National Association of Manufacturers,150000
Georgia Conservation Voters,129495
Rachel's Action Network,121000
Business Forward,112554
The Explore Offshore Coalition,112493
David Kim for Congress,110960
National Shooting Sports Foundation,110402
Georgia Alliance for Social Justice,105997
Dale Washburn for State House,104000
Concealed Online,103741
Conservatives for a Stronger Georgia,102912
TZ Insurance Solutions,102000
Truth in Paulding,100000
Cindy for Georgia ,92000
Georgians for Hunter Hill, Inc,91000
Indivisible Action,88576
American Federation for Children Action Fund – Georgia Independent Committee. Not authorized or approved by any candidate. 1020 19th Street, NW, Suite 675, Washington DC 20036,87769
The Committee To Elect Lisa Ring,85720
March For Our Lives,81000
Francys Johnson for Congress,79372
Friends of Shelly Hutchinson,76907
the Trump Make America Great Again Committee,76571
Deborah Gonzalez for GA,76000
Steve Tarvn,72000
Sophe Cook Pope for Board of Education,71000
DuVal for Secretary of State,71000
Cobb EMC Forum,71000
Demand Justice,60944
We Built This,60000
ExxonMobil,58277
Americans For Prosperity,57050
Lambda Legal,54536
Sarah Riggs Amico for Lt. Governor ,54000
The Committee To Elect Amy Bryan ,53092
