Friends of Josh Green,763817
Kaniela Ing for Congress,763221
David Ige for Governor,543000
Cam 4 Congress, PO Box 1010 Waimanalo, HI 96795,504000
Hanabusa for Governor,451023
Friends of Kim Coco P.O. BOX 22136 Honolulu, HI 96823,370489
Case For Congress,355877
Doug Chin for Hawai‘i.,348118
Friends of Don S. Guzman,263994
Friends of Derek Kawakami PO Box 3136, Līhu`e HI 96766,256905
Airbnb,242061
FRIENDS OF TEREZ AMATO,227000
,222077
National Solar Rebate,186002
State of Hawaii, Office of Elections,177000
Friends of Lorraine Inouye, 215 Paukaa Dr, Hilo, Hi 96720,151000
Friends of Will Espero,145676
HIRA Action,145000
Linda Love and Mike Williams, PO Box 762 Kula, HI.  Published without the approval of the candidates.,139000
Friends of Andria Tupola,112987
Friends of Robert Bunda,109529
Ron Curtis,106000
Friends of Kelly Kitashima,102000
SOLAR ENERGY TODAY,92056
Friends of Dru Kanuha,69969
Tyler for City Council,66997
Friends of OFMI,65000
Don Couch Campaign Committee PO Box 1212, Kihei, HI 96753,65000
Jeff McKnight,64000
Friends of Jeanne Kapela,64000
HSTA for Schools Our Keiki Deserve PAC,60000
DoSomething,51084
Suporters of Tina Wildberger,50481
Ford for the People, 81-950 Makahiki Lane, Captain Cook, HI 96704,50000
Friends of Tommy Waters - 4300 Waialae Ave B502, Honolulu HI 96816,48000
Friends of Randy Gonce Po Box 114 Kaneohe HI 96744,42000
Friends of Maya Parish,41000
Friends of Trevor Ozawa,37990
AARP Hawaii,35548
Don Couch Campaign Committee.,32000
Friends of Alicia Maluafiti ☑ 91-2985 Fort Weaver Rd. Ewa Beach, HI. 96706,31000
 S.A.F.E. Sustainable Action Fund for the Environment, POB 790538, Paia HI 96779  Not approved or authorized by any political candidate or candidate committee. Sustainable Action Fund for the Environment, a 501(c)4. ,30984
Friends of Elle Cochran 10 Halawai Dr Ste 1 Lahaina HI 96791,29000
Amy Perruso,28000
Friends of Elle Cochran 1 Halawai Dr Ste 1 Lahaina HI 96761,26000
Mossman 4 OHA Candidate Committee,25000
Hawai'i Center for Food Safety Action Fund,24000
Friends of Tommy Waters,24000
Friends of Kauanoe Batangan,24000
Tarnas for State House, P.O. Box 6882, Kamuela, HI 96743,23998
S.A.F.E. Sustainable Action Fund for the Environment, POB 790538, Paia HI 96779  Not approved or authorized by any political candidate or candidate committee.  The top contributor for this advertisement is S.A.F.E. Sustainable Action Fund for the Environment, a 501(c)4. ,22000
Kris Coffield,22000
Good Friends of Kyle Yamashita,22000
Zack Stoddard,20000
Hawaii Government Employees Association, 888 Mililani Street, Suite 401, Honolulu, HI 96813. Not authorized by any candidate or candidate committee.,20000
Friends of Jeremy Low,20000
