the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools,5645186
Marsy's Law for Idaho, L.L.C,3281000
Idaho United Against Prop 1,739998
,189356
Ruben Miranda Campaign Commitee  Mary Miranda Treasure,136000
Kenna Smoot Treasurer,87311
Idaho Freedom Foundation,86000
CWI Yes, Inc.,86000
The Pharmaceutical Research and Manufacturers of America,81000
Janice for Idaho,65000
National Solar Rebate,64000
Swisher for Idaho,55000
Idaho Conservation League,54000
Environmental Defense Fund,50680
Idaho State Department of Education,50000
Committee to Elect Mike Saville - Havilah Workman Treasurer,48000
Idaho Freedom Action,44960
Work Not Obamacare PAC,42000
IDLCC,39097
the Committee to Elect Steve Berch, Susan Eastlake, Treasurer,37998
Citizens for Better Transportation,31000
National Wildlife Federation Action Fund,30000
Huntington Learning Center East Boise,30000
Hanks for Idaho,29653
Mat Erpelding for District 19, Gail Bray -- Treasurer,28000
Idaho Coalition Against Sexual and Domestic Violence,25000
Mike Kingsley for Idaho,19999
the Trump Make America Great Again Committee,18497
Idaho Anti-Trafficking Coalition,18000
Patagonia ,17104
Citizens Against Poaching, a non-profit 501(c)(3) organization,16000
#VoteTogether,15083
Shem Hanks For Idaho,15000
D91 Taxpayers,15000
The Wilderness Society,14567
COMMITTEE TO ELECT WEBER SHERIFF,13193
Bonneville County Democrats,13000
The Auto Alliance,11000
DoSomething,10135
the Idaho Press.  A community newspaper serving Southwest Idaho for over 135 years.,10000
the Committee to Elect Jim Tibbs, Dan Loughrey, Treasurer,10000
Idaho Asset Building Network,10000
Seniors Speak Out,8820
Donald J. Trump - online store for campaign gear,8665
NRA,8375
Proud Right Winger,8345
Concealed Online,8322
Friends of Durst Campaign,8000
Bob Blakey for Nez Perce County Commissioner, Peter Gertonson Treasuer,8000
Babayan,8000
Glick for 8A, Gail Bray, Treasurer,7733
Lisa Brown for Congress,7165
SOLAR ENERGY TODAY,7020
AAF Nation, LLC,6738
the NRCC and not authorized by any candidate or candidate's committee.,6704
Everytown for Gun Safety Action Fund,6163
Indivisible Action,6001
The One Union (UnionApp, LLC),6000
Sean Fay for Clerk, Sean Fay Treasurer ,6000
Jennifer Zielinski,5932
The Western Journal,5814
Nine Line Apparel,5781
Treasurer Brad Cuddy,5434
Lambda Legal,5290
Judicial Watch,5128
the Collum for Idaho Campaign, Donna Pence Treasurer,5000
TZ Insurance Solutions,5000
Idaho Second Amendment Alliance,5000
Committee to Elect Cory Jane English to Idaho State Senate, Karen Parke Treasurer.,5000
Snake River Alliance,4979
Planned Parenthood Federation of America,4899
Save The Storks,4860
Keep and Bear,4830
Kalispel Tribe of Indians,4197
STAND FLAG POLES,4154
Daily Wire,4116
PragerU ,4058
Terrel Tovey for Bannock County Commissioner,4000
Brad Little for Governor, Vicki Risch Treasurer.,4000
Alicia Shier Estey for Boise School Board - Trudy Garringer - Treasurer,4000
the Collum for Idaho Campaign, Donna Pence Treasurer  ,3998
WeThePeopleHolsters ,3748
Beto for Texas,3356
Mic,3349
Donald J. Trump for President, Inc.,3323
Lemony Tree,3182
Turning Point USA,3096
Sen. Fred S. Martin for Idaho,3000
Paul Amador for Idaho, Bill Hemenway Treasurer,3000
Home Professionals,3000
Committee to Elect Dotti Owens For Ada County Coroner,3000
Bannock County Democrats,3000
BJ Swanson for Latah County Treasurer; Greg Mann, CPA, Campaign Treasurer,3000
NRATV,2986
Conservative Gear,2956
ASMDSS, Inc,2860
the ACLU,2848
Better Medicare Alliance,2603
Sierra Club,2580
MoveOn.org Civic Action.,2573
Swing Left. Not authorized by any candidate or candidate's committee.,2541
Ted Cruz for Senate,2421
Elizabeth for MA,2402
Michelle Ralston, Digital Strategist,2365
Tousley4Idaho2018 - Jim Bennett Treasurer,2296
Hillsdale College,2223
Giving Brush LLC,2196
Paid for by the Committee to Elect Rob Rembert Judge,2040
the Idaho Asset Bulding Network,2000
Republicans For Paulette Jordan,2000
Landon for House Pam Landon Treasurer,2000
John McCrostie for District 16; J. David Navarro, Treasurer,2000
Idahoans for Healthcare, Dr. Bruce Belzer Treasurer,2000
Idaho District 14 Democrats,2000
Donna Yule,2000
W. Scott Howard for Idaho,1998
DrugJustice,1972
the Committee to elect Matt Carr,1971
Comedy Central,1943
Americans For Prosperity,1925
ExxonMobil,1919
4Ocean, LLC,1878
Need to Impeach,1852
Students for Life of America,1807
Boredom Therapy LLC,1796
2A4LIFELLC,1691
C Johnson,1658
Cheddar,1586
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,1522
Media Research Center,1488
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,1485
Joe Kennedy for Congress.,1453
Ben Ferguson Show,1452
Kamala Harris for Senate,1448
Mike Kingsley for Idaho, Chip Damato - Treasurer,1439
Hoover Institution,1431
MO Research, Inc.,1426
Gillibrand for Senate,1416
the Committee to Elect Mike Yin,1356
Military Officers Association of America (MOAA),1315
HowStuffWorks,1302
UPROXX,1253
Tree Top Inc.,1236
Question PAC PO Box 426 Ephrata, WA 98823 - Not affiliated with any political candidate or campaign,1234
Cathy McMorris Rodgers for US Congress,1213
Dinesh D'Souza,1163
the Democratic Governors Association.,1145
End Citizens United,1130
Center for Biological Diversity,1088
Seth Moulton for Congress,1047
Freddy Rodriguez,1030
The Democratic Coalition,1029
