JB for Governor,15811029
Citizens for Rauner, Inc.,7180000
Fight Back Fund,3726000
Illinois Working Together,3260000
,2719571
the Illinois Education Association,1254911
Paid for by Julie Morrison for State Senate,957982
the Illinois Republican Party and not authorized by any candidate or candidate's committee. Illinois.GOP,922000
MO Research, Inc.,764893
David McSweeney for State Representative,711000
Congressional Leadership Fund,641891
News For Democracy,636942
Casten for Congress,609977
Citizens for Erika Harold,591000
House Republican Organization of Illinois,393200
Friends of Monica Bristow.,363982
Friends of Dorothy Brown,347752
Roskam for Congress Committee,340000
Chicagoans United for Economic Security PAC,302000
Friends of Gus Katsafaros,282000
Citizens for Jim Dodge,280000
Pfizer,266165
Illinois Policy ,266000
Kinzinger for Congress,245298
Committee to Elect Tyler R. Edmonds,243000
SOLAR ENERGY TODAY,239584
Friends of Edward M. Burke ,227000
Luke Thomas,226921
Brendan Kelly for Southern Illinois.,220000
Change to Win,214218
Friends of Raja for Congress. Approved by Raja Krishnamoorthi.,214000
Troy for Chicago,201997
Green For Chicago,198606
Lauren Underwood for Congress,194144
Friends of Sarah Smith,182826
America First Policies,180538
Planned Parenthood Federation of America,172790
National Solar Rebate,170001
Friends of John Curtis,168000
The Coalition for a Better Illinois 6th (CBIL6), a network of grassroots groups across the 6th Congressional District of Illinois who share a core set of values based on the beliefs that people in the United States deserve equal and fair treatment and that a successful democracy requires an informed and engaged public.,166999
Human Rights Campaign,158835
Jitendra Diganvker for Congress,154982
ExxonMobil,150379
Citizens for Jesse White,143000
Friends of Andy Manar,138357
Citizens for Kash Jackson,136570
Liberty Justice Center,127887
Friends of Julie Cho,118000
the Office of Congressman Randy Hultgren,109895
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,104993
Citizens to Elect Brian Fengel Peoria County Sheriff ,101000
Randy Hultgren for Congress,94892
Upstream Ideas,91998
TZ Insurance Solutions,91000
Harper College YES,91000
Issue One Action,88502
Neighbors for a Better Lakeview,88000
Citizens for Hammond,88000
the Rock Island County Democratic Central Committee and not authorized by any candidate or candidate's committee.,83637
Citizens for Seth Lewis,83000
Bailey for Illinois.,82433
Citizens to Elect Judge Ben Braun,82000
Committee to Elect Katherine Ruocco,79000
Friends of Mark Batinick,77000
John Elleson for Congress,76997
Citizens for Unes,76000
The Auto Alliance,75000
John C. Ackerman for Tazewell County Clerk,74000
the Trump Make America Great Again Committee,71143
Congressman Brad Schneider,70909
Friends of Nick Gailius,69941
Humane Society Legislative Fund,69810
Friends of Doug Bennett,68951
Citizens for Greg Hart,66961
PragerU ,65838
Lincoln Land Wind,65000
Friends for Marc Parker,64932
by the Committee to Elect Judge O'Gara,63413
Welcome.us,63168
Friends of Jameson,61000
Citizens for Stoddard,60000
Illinois Family Action,58000
Citizens for Andrew Proctor,56000
Elevate Chicago,55000
Citizens for David Stolman,55000
ReBuild USA,54139
Suzy for Senate,52000
Thomas for First,51000
Northwest Side GOP Club,50989
Concealed Online,50664
SAGE,49169
Beto for Texas,49005
Justin Hanson for Congress,48948
Voters Sean M. Morrison ,47000
Taxpayers United of America,46000
Federation of American Hospitals,45992
the Democratic Party of Illinois,45009
Liliana Jones,44037
Citizens for Mazzochi. A copy of our report filed with the State Board of Elections is (or will be) available on the Board’s official website www.elections.il.gov or for purchase from the State Board of Elections, Springfield, IL.,44000
Citizens for Schmidt,40844
Raoul for Illinois,40000
 Mendrick for Sheriff, a copy of this transaction report is or will be available at the Illinois State Board Of Elections website,39000
Citizens for Brian W. Stewart.  A copy of our report filed with the State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, Illinois.,38638
Need to Impeach,37654
Friends for Rashid,37199
Turning Point USA,37067
Charles Hanley for Tazewell County Coroner,37000
Friends of Kevin Gaither,36739
Antonio Brown for Sheriff,36000
SEIU Healthcare Illinois & Indiana,35612
Citizens to Elect Dick Barr,35000
Friends of Michael Negron,34992
Will County Gazette,34000
Nicholas M Williams,34000
Illinois Farm Bureau,33999
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,33585
NRA,33068
North Cook News,33000
Gillibrand for Senate,31914
Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.,31000
Citizens for Jonathan McLean,31000
SEIU Local 1,30864
McCombie for Illinois,30208
St. Clair County Democratic Central Committee,30000
Fuel Freedom Foundation,30000
Friends of Jeff Keicher,30000
Chicago Community Bond Fund,30000
Environmental Defense Action Fund,29222
Friends for Avery Bourne,29000
Citizens for Dan Cronin,29000
NBCUniversal Media, LLC,28661
NowThis,28640
4Ocean, LLC,28015
Irfan For Dupage,28000
Supporters of Jack D. Franks,27986
Friends of Joyce Mason.,27835
Jay Murphy,27000
Friends of Shirley Bell ,26000
Committee to Elect Keith Wheeler,26000
the Friends of Jake Castanza,25000
Friends of Nancy Zettler,24998
2A4LIFE LLC,24809
WOMEN VOTE!, 855-667-5900. Not authorized by any candidate or candidate's committee.,23996
Citizens for Parkhurst,23962
Citizens for Maldonado,23836
Wilhour for Illinois State Representative 107th District.,23000
Citizens to Elect Chris Miller for State Representative - Illinois District #110,23000
Neighbors for Robert Murphy,22955
Citizens for Chris Miller,22923
Sara Dady for Congress,22727
Sierra Club,22468
Elizabeth for MA,22062
The American Tort Reform Association,22000
McHenry District 156 Vote Yes for Lower Taxes and Better Schools,22000
Friends of Nero,21000
Friends of Deb Conroy,21000
46th Ward Democrats,21000
Brian W. Stewart.  ,20794
Blue 2 Political Action Committee,20498
National Education Association,20454
Patagonia ,20000
Molly for State's Attorney,20000
Friends of Raja for Congress,20000
Friends of Dan Fitzgerald,20000
FRIENDS OF JAIME M ANDRADE JR,20000
DuPage Policy Journal,20000
Keep and Bear,19641
the ACLU,19130
Lambda Legal,19102
Friends of Stephen Adler,19000
Committe to Elect Dan Caulkins,19000
Center for Biological Diversity,18890
The Record,18603
Daily Wire,18494
Plummer for Illinois,18000
Jonathan Russell,18000
Friends of Jason A Helland,18000
Fair and Equal Illinois,18000
DuPage Young Republicans,17952
Media Research Center,17871
Friends of Nicole J. Johnson,17839
Circa,17090
Friends of Nick Hyde,17034
The Committee to Elect Kevin T. Hoerner as Appellate Court Judge,17000
Stephen R Green for Circuit Judge,17000
Northwest Community Hospital,17000
Citizens for Benford,17000
Best Friends Animal Society,16829
Committee to Elect Judge David W. Dugan,16474
and Authorized by  Andrew Janz for Congress.,16332
Mic,16206
The Committee To Elect Andrew J Gleeson,16000
T Parks Inc - CEO Ted Parks - Chicago - Blue State News ,16000
Moultrie County Democratic Central Committee,16000
Friends of E. Ryan Hall,16000
IL Clean Jobs,15998
Men4Choice,15994
Everytown for Gun Safety Action Fund,15738
Right Call Media,15596
End Citizens United,15582
Joe Kennedy for Congress.,15041
the Amanda Byassee Gott for Judge Committee,15000
Friends of Jen McMillin,15000
Friends of Christine Svenson,15000
Citizens to Elect Mike Marron,14997
Citizens for Kurt Prenzler,14992
Daniel Didech Campaign Committee,14919
Better Medicare Alliance,14895
Loren Middleton,14888
John Beacham,14838
OZY Media,14430
William Wright & Associates,14332
PAWS Chicago,14093
Supporters of John Kozlar for Mayor of Chicago,14000
Citizens for Tom Morrison,14000
Alzheimer's Association Illinois Chapter,13998
Kamala Harris for Senate,13901
DCCC,13454
UsAgainstAlzheimer's,13031
Jeff Merkley for Oregon,13016
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,13013
Maria for the 49th Ward. A copy of our report is filed with the Illinois State Board of Elections is available on the Board’s official website or for purchase from the State Board of Elections, Springfield, Illinois.,13000
Citizens to Elect Carla Wyckoff,13000
Citizens for Martin T. Tully,13000
FreedomWorks,12999
Color of Change PAC, not authorized by any candidate or candidate’s committee. ,12851
NRDC,12545
Conservative Gear,12504
The Years Project,12268
Voudrie for Sheriff,12000
Friends for Laura Fine,12000
Citizens for Independent Judges,12000
 Friends of Don Gray,12000
Charlie Kirk,11856
DoSomething,11582
Swing Left. Not authorized by any candidate or candidate's committee.,11310
FirstQuoteHealth,11295
Donald J. Trump for President, Inc.,11104
the Mike Absher For Marion Mayor Political Committee,11000
Joseph Tamraz,11000
GoodWerk,11000
Friends of Josh Barnett,11000
Friends of Chris Guy,11000
Friends of Bill Lowry,11000
Dave Seiler for 107th,11000
Indivisible DuPage.  We believe an active and educated citizenry leads to a healthy progressive democracy.  ,10992
National Wildlife Federation Action Fund,10989
Citizens to Elect Raymond Tuminello,10986
Osmack for Missouri,10517
Americans For Prosperity,10146
Alliance for Climate Education,10035
The Heartland Institute,10000
Rachel's Action Network,10000
Providing Hope Va,10000
Metro East Sun,10000
Friends of Maria Peterson,10000
Friends of Janice Marie Anderson,10000
Friends of George Cardenas Political Committee,10000
Friends of Chuck Erickson,10000
Friends for Lisette Lopez,10000
Citizens for Matthew J. Hunt,10000
Hulu,9998
the Opportunity Solutions Project,9990
Save the Children US,9965
Bruce Koff for From Russia with Love,9838
Friends of Steve McClure,9811
Harley Rouda for Congress,9652
Planned Parenthood Action Fund.,9409
Comedy Central,9353
Boredom Therapy LLC,9083
The Nib,9038
the Democratic Citizens of Berwyn,9000
Zahra Suratwala Committee,9000
Vallas for All Chicago,9000
Service Employees International Union,9000
Friends of the North Branch Park & Nature Preserve,9000
Citizens for Mark Walker,9000
ComEd, Comcast and Drive Right School of Driving,8742
MJ for Texas,8539
AAF Nation, LLC,8280
Alliance for Safety and Justice,8268
the Committee to Elect Ramona Sullivan,8000
The People for Ugo Okere,8000
Prairie Rivers Network,8000
Friends of Andrew Lopinot,8000
DuPage Libertarians,8000
Citizens for Ann Gillespie,8000
Citizens for Amanda Biela ,8000
Citizens for Marcus C. Evans, Jr.,7951
Citizens for Judge Donna Honzel.  A copy of our report filed with the State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, IL,7939
the BCDCC of Illinois,7857
Sandy Hook Promise,7852
The Abolition Institute,7709
the NRCC and not authorized by any candidate or candidate's committee.,7567
Hoover Institution,7362
PrintedKicks,7307
Conservative Tribune,7107
Color Of Change,7062
Wiley for DuPage County.  All contributions are reported to the State Board of Elections.,7000
The Bond County Democratic Central Committee,7000
Rick Laib for 86,7000
LaKeisha Purchase,7000
If You Want It, LTD - a nonprofit supporting the fight for LGBTQ equality,7000
Friends of Holly Kim,7000
Friends of Darlene Kloeppel,7000
David W. Lawler For Judge,7000
Andrew Rand,7000
Paid for by the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,6938
The Wilderness Society,6746
Union of Concerned Scientists,6684
Environmental Law & Policy Center,6612
Visclosky for Congress,6509
The Innocence Project,6420
The Record ,6412
MISSOURI'S FUTURE, LEANNA HAGENOFF, TREASURER,6409
Remezcla,6366
NRDC Action Fund,6291
TYT Network,6260
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,6155
Consumer Healthcare Products Association,6107
#VoteTogether,6080
the Campaign for Tobacco-Free Kids.,6041
Val Montgomery for IL41,6000
The Committee to Elect Helmuth Treasurer,6000
Personal PAC,6000
Neal Sáles-Griffin for Chicago,6000
Friends of Maggie O'Keefe,6000
Foremost Strategy LLP,6000
Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee.,6000
Citizens for Connelly,6000
Citizens for Patton,5873
Lincoln-Way Area Democrats,5812
Citizens for Charlie Meier,5669
Alexandria Ocasio-Cortez 2018,5664
Marsha for Senate,5547
