Hubbell for Governor,3062000
Young for Iowa, Inc.,1779000
Marsy’s Law for Iowa, LLC, 400 East Court Avenue, Suite 110, Des Moines Iowa 50309 Emilio Gonzalez,1022000
NextGen Climate Action Committee,752612
Iowa Federation of Labor,600776
DCCC. 430 S. Capitol St SE, Washington, DC 20003. Not authorized by any candidate or candidate’s committee. ,586420
,510864
the Republican Party of Iowa. Not authorized by any candidate or candidate committee. ,503819
WOMEN VOTE!,389273
Issue One Action,362927
American Federation of State, County & Municipal Employees,342000
Paid for by Americans for Prosperity,300000
Friends of John Delaney,276550
Cindy Axne for Congress,270398
Gary Siegwarth,268000
Zumbach for Agriculture,249670
Progress Iowa,241983
The Nature Conservancy,236010
Ray Gaesser for Iowa Agriculture,211000
Brent Oleson for Linn County Supervisor,155000
Change to Win,154000
Iowa Democratic Party - Senate Majority Fund,145000
America First Policies,132712
Oral Health America,132277
Need to Impeach,128152
PATE FOR IOWA,114772
Demand Justice,111032
Pete for Iowa,102973
 Hubbell for Governor,99000
Americans for Prosperity Foundation,93474
News For Democracy,86988
MO Research, Inc.,86167
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,77938
Association for Accessible Medicines,75000
Mosiman for State Auditor,74000
Scholten4Iowa Campaign Committee,55811
Heritage Action for America and not authorized by any candidate or candidate’s committee,51914
Davis for State Treasurer,48000
Big Sky Values PAC,46000
Blum for Congress ,44885
Seth Moulton for Congress,42551
Donald J. Trump for President, Inc.,37100
Educate Our Kids, We Are Grinnell.,37000
Leann for Iowa,36997
The Committee to Elect Zach Wahls,32860
Gannon for Iowa,32000
Climate Hawks Vote Political Action. Not authorized by any candidate or candidate's committee.,32000
the Trump Make America Great Again Committee,30481
Paid For By Swalwell For Congress - P.O. Box 2847 Dublin, CA 94568,30126
Loebsack for Congress,28984
the Garrett for Statehouse Committee ,28722
Latham for Iowa Senate,28000
Friends for Miller-Meeks,27745
The Auto Alliance,25000
Hora for Senate,25000
Kayla Koether for Iowa,24976
McClimon for Iowa HD 97,23000
Paid for by Polk County Democratic Party,22000
Taxpayers for Mitchell,21979
Bellevue Votes Yes,21922
Swing Left. Not authorized by any candidate or candidate's committee.,21549
Growth Energy.,21351
the Opportunity Solutions Project,21000
The Coalition for Medicare Choices,21000
American Energy Alliance,19861
Paid for by Claire Celsi for Iowa Committee,18000
Iowans For Tax Relief PAC.,16000
Friends of Whitver,16000
