With Honor Fund, Inc.,499354
Kuster for Congress, Inc.,474988
Granite State Progress Education Fund,264000
NextGen Climate Action Committee,251097
Supporters of Molly Kelly for Governor,240976
Maura Sullivan for Congress,217460
MO Research, Inc.,210108
Lynne Blankenbeker for Congress,201000
Levenson for Congress,170967
Gray Chynoweth for New Hampshire, Jeremy Hitchcock Treasurer,156000
Chris Pappas for Congress,128454
,127655
Friends Of Chris Sununu,121995
Need to Impeach,107572
Garth Corriveau for Executive Council; Kate Corriveau, Fiscal Agent,107000
Paid for by Americans for Prosperity,96990
Issue One Action,90725
the Committee to Elect Barry Newcomb for Sheriff of Rockingham County,86972
Mindi for Congress,79582
Cardinal for Congress,71000
Families First New Hampshire,60000
National Education Association,54726
Liberty Utilities,36000
United Steelworkers,35240
Friends of John Delaney,29960
National Rural Electric Association,29003
Demand Justice,28999
Tilton for Senate,28995
National Solar Rebate,27000
Committee to elect Tom Falter,26940
Tom Steyer,26559
John Morrissey,21554
Boutin for Senate,20000
Friends of Chuck Massahos for Sheriff,17607
Friends Of Steve Negron,17184
Seth Moulton for Congress,17161
SOLAR ENERGY TODAY,16021
Joel Desilets,15000
Marsy’s Law for New Hampshire, Andrew Biemer, Treasurer, 149 Rumford St, Concord, NH, 03301,12000
Sanders for Congress,11906
The Professional Fire Fighters of Massachusetts' Committee on Political Education,11899
Environmental Defense Action Fund,11406
The Alliance for Solar Choice,11058
Less Cancer ,11000
the Trump Make America Great Again Committee,10262
The Candidate,10000
Jane Cormier for Executive Council,10000
#VoteTogether,10000
Rolston For New Hampshire House of Representatives,9791
O'Rourke for Congress,9737
Friends of Dan Innis,9629
The Jim Lawrence Show,9000
Bob Greene,9000
the ACLU,8044
Planned Parenthood Federation of America,7730
Wayne Goldner for NH State Rep,7000
Sanders For Congress,7000
Planned Parenthood New Hampshire Action Fund,7000
Jacqueline Chretien for New Hampshire,7000
Friends of Shannon Chandley ,7000
Friends of Jon Morgan,6685
Free and Fair New Hampshire. Colin Van Ostern, Chair.,6515
4Ocean, LLC,6450
Beto for Texas,6099
Americans for Prosperity,6056
NH RCV,6000
Manchester Democrats.,6000
Friends of Chris Sununu,6000
Everytown for Gun Safety Action Fund,5186
DoSomething,5056
United Way of Greater Nashua,5000
The Valentine Constitution,5000
The Treatment Advocacy Center,5000
John Lyscars,5000
Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111,5000
Hillsborough County Democratic Executive Committee,5000
Friends of Sharon Carson,5000
Foley for Senate, Donna Cullen Treasurer.,4861
Justice for Lowell,4702
Steven Steiner,4338
Committee to ReElect Paul Iannucillo,4191
Patagonia ,4077
Webinar Technologies,4063
Vicki Schwaegler, Andrew Schwaegler Fiscal Agent,4000
TZ Insurance Solutions,4000
Straight Twist,4000
Marcie Hornick, Fiscal Agent, 169 Kimball Street, Littleton, NH,4000
Friends of Regina Birdsell; Mark Skelly, Treasurer,4000
Sierra Club,3843
the Committee to Elect Jordan Thompson,3392
UPROXX,3379
Kamala Harris for Senate,3094
DrugJustice,3028
Nine Line Apparel,3021
Ruth Ward for State Senate,3000
Peter Petrigno for NH State Representative,3000
Friends of Jeb Bradley for State Senate,3000
DRC-NH,3000
Elizabeth for MA,2951
Betty Ann Abbott for State Rep,2937
We Stand For Energy,2882
Concealed Online,2693
Eastern Bank,2662
Donald J. Trump for President, Inc.,2360
State Run Films,2345
Keep and Bear,2331
Build With Strength,2228
Live Action,2211
Skip Murphy and Steve Mac Donald as GraniteGrok.com,2187
Newton NH Democratic Committee,2160
The American Nik,2000
Paul R. Bergeron, 15 Stanstead Pl., Nashua, NH 03063. Paul Bergeron, Fiscal Agent.,2000
Jeff Denaro for Congress,2000
Iz for NH. Fiscal Agent, Israel Piedra.,2000
Friends of Jay Kahn.,2000
Mark MacKenzie for Congress,1991
NRATV,1971
Chuck Massahos for Sheriff ,1947
No To Northern Pass,1875
Friends of Ted Gatsas,1829
the NRCC and not authorized by any candidate or candidate's committee.,1794
PragerU ,1764
MoveOn.org Civic Action.,1758
Farnum,1622
Charlie Kirk,1618
Turning Point USA,1589
Inequality Media,1563
Human Rights Campaign,1563
Giving Brush LLC,1554
FCTRY,1550
EMILY's List,1549
Das for Congress,1541
League of Conservation Voters,1538
Daily Wire,1433
Heidi for North Dakota,1379
America's Navy,1364
and authorized by the candidate ,1322
Hillsdale College,1259
Joe Kennedy for Congress.,1247
WeThePeopleHolsters ,1183
AARP Maine State Office,1124
End Citizens United,1092
the Committee to Elect Rodney Elliott,1074
and Authorized by  Andrew Janz for Congress.,1062
Right Rising Media LLC,1059
Moms Clean Air Force,1031
Paid for by Be a Hero PAC,1026
Energy Citizens,1022
The Democratic Coalition,1018
Tim A Merlino,1000
Terry Clark,1000
Steven Smith,1000
Paul R. Bergeron for State Representative - Nashua Ward 2. P. Bergeron, Fiscal Agent, 15 Stanstead Pl. 03063.,1000
Paul G. Bergeron , Fiscal Agent ,1000
Padraic O'Hare,1000
New Hampshire Young Republican PAC. 10 Water Street, Concord NH 03301,1000
Michael Yakubovich for State Rep,1000
Maggie's List, a Political Action Committee,1000
Lebanon Democratic Committee, Lebanon, NH,1000
Josh Yokela,1000
John Wolfe for U.S. Senate,1000
Harold French for State Senate,1000
Friends of Mason Donovan,1000
Friends of Jenn Alford-Teaster,1000
Friends of Catherine Rombeau, Fiscal Agent Catherine A. Rombeau,1000
Association for Accessible Medicines,1000
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,992
Dexter Dow for U.S. Representative 2nd District NH,988
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,988
Rustic Edge Marketing,980
NBCUniversal Media, LLC,964
Defend Our Future,959
Giuda for Senate,957
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,951
ExxonMobil,919
NRA,896
Military Officers Association of America (MOAA),878
Ted Cruz for Senate,859
the Democratic Governors Association.,826
DCCC,818
National Park Foundation,812
TYT Network,798
The Brookings Institution,782
Appalachian Mountain Club,777
Gillibrand for Senate,775
Environmental Defense Fund,775
Ben Hight fiduciary agent, Warren NH.,775
Penzeys,765
NRDC Action Fund,764
Restoration PAC,753
NARAL Pro-Choice America,740
Grohman for Congress,720
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,713
AAF Nation, LLC,698
MJ for Texas,689
Public Land, Public Benefit, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,680
Comedy Central,677
Alexandra Chandler for Congress,655
LifeDaily,602
PrintedKicks,586
New American Media Group LLC,575
Don Turner Jr for Lieutenant Governor,544
Teamsters Joint Council 10,527
the Environmental Working Group,523
Circa,517
CRTV,505
Janet Garrett for Congress,504
Juana Matias for Congress,498
Stand Up America,493
Friends of Bernie Sanders,484
The Dude's Designs,473
Real Justice PAC and not authorized by any candidate or candidate's committee.,469
Alan Caron for Governor,462
Barbara L'Italien for Congress,460
Families For Trump,433
Swing Left. Not authorized by any candidate or candidate's committee.,426
Patriotic Drop Shop,419
The Wilderness Society,402
International Rescue Committee,401
O’Connor for Congress,390
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,386
The Committee to Elect John MacDonald,384
the League of Women Voters,380
Be a Hero PAC,380
Lori Trahan for Congress,378
Judith Carr, Chair, Hollis Democrats,378
Ocean Conservancy,370
Sandy Hook Promise,357
ASMDSS, Inc,351
Cheddar,348
Teflon Film LLC,343
Oxfam America,342
We Are The Mighty,339
DisabilityOver50,333
Rick Green for Congress,332
Carlos Armando Hernandez,329
DC Statesman,326
Zephyr for NY,316
Conservative Gear,310
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, Credo Mobile, Inc.,309
The Hill,306
Tim Ryan for Congress,305
Justice Democrats, not authorized by any candidate or candidate's committee.,304
MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.,303
Jeff Ballinger for Congress,303
Californians for Consumer Privacy. Committee major funding by  Alastair Mactaggart.,303
Realtor.com,300
Winning For Women, Inc.,299
Ro for Congress,299
Committee to Elect Rob Davidson,295
Public Land, Public Benefit, No on Measure E, a coalition of San Diego taxpayers, community planners, local business, and education, park and environmental advocates, opposed to SoccerCity. Supported by Mission Valley property owners. Committee major funding from H.G. Fenton Company and Sudberry Properties.,292
Healthy Living Initiative ,292
Oceana,291
OZY Media,287
Marin Crops, LLC,285
Bill Nelson for U.S. Senate,273
The Committee to Elect Brad Hill,272
The Zachariah Ralph for Vermont House of Representatives Campaign,271
Human Coalition,271
I Love My Freedom,267
IVN News,265
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,264
Young America's Foundation,263
Sand Cloud,263
GOP Gifts,258
Boredom Therapy LLC,258
Armed American Supply,253
The Poor People's Campaign: A National Call for Moral Revival,249
Simon & Schuster,244
News For Democracy,243
NowThis,239
Friends of the Earth,236
McCaskill for Missouri,235
Peppe 2020,218
Dinesh D'Souza,217
Patriot Depot,210
Proud Right Winger,208
and authorized by Janet Mills for Governor.,204
Amnesty International USA,204
Cole Harris for LT. Governor 2018,203
Heywood Healthcare & Coalition to Protect Patient Safety,202
Rebuild Maine,197
the National Network of Abortion Funds,194
Giffords PAC.,193
FreightWaves,193
Welcome.us,191
Animal Matters,189
the Drinkwater Committee,185
Ranker,185
Shared Hope International,184
Jeff Merkley for Oregon,181
the National Democratic Redistricting Committee,177
Goods Unite Us, Inc.,176
Plan International USA,175
Committee to Elect Jared Golden,175
the DSCC,173
the White Coat Waste Project, Inc,171
Greenpeace USA,171
Maine Democratic Party,170
Nader Hashim for State Representative,167
Equality Florida,164
The Western Journal,160
New York Working Families Party,159
Spalding Group, Inc.,158
Bill & Melinda Gates Foundation,156
National Public Pension Coalition,154
Defenders of Wildlife,152
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,146
Amy for the People,145
Unite America Inc.,142
the Committee to Elect Dan Koh,141
Zen Brands International, LLC,140
Serve America PAC,138
45 Hats,137
JVMI,135
OAF Nation, Inc,133
The Years Project,132
NRDC,132
UnitedHealthcare,128
Diversity Incorporated,128
LifeZette Inc.,127
Abortion On Our Own Terms,127
Lebowski Lovers,124
LGBTQ Victory Fund ,123
Stacey Abrams for Governor,122
Hoover Institution,121
Toxics Action Center,118
Let's Grow Kids,113
Your Trump Shop,109
Random House,109
The Leadership Conference on Civil and Human Rights ,107
UltimateStraw,105
SFT2 Tactical Supply,105
Human Rights Campaign New England,100
Donald J. Trump - online store for campaign gear,98
Ryan Hampton,96
NRSC,96
Tina Smith for Minnesota,95
The Nib,94
NextTribe ,94
Right Call Media LLC,93
American Loggers Council,93
No Kid Hungry,91
Consumer Alert Services,91
Supporting American Values,90
Foundation for Economic Education,89
ConocoPhillips Company,85
Anera,85
THE ANGUS KING FOR U.S. SENATE CAMPAIGN,84
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,84
AEF Media, LLC,84
Cathy for Congress,82
Alexandria Ocasio-Cortez 2018,82
The Atlas Society,81
Humane Society International,77
Andrew Gillum, Democrat, for Governor,75
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,72
Mad Dog Political Action Committee,72
Lemony Tree,72
Greater Half,71
Adam Schiff for Congress ,71
The Record ,70
CHC BOLD PAC,70
Bird + Stone ,70
Scamazon,69
Logically Illiberal,69
