the North Carolina Conservation Network,4672992
Marsy’s Law for North Carolina, L.L.C.,3011000
NC Common Ground,2520368
Committee to Elect Dan Forest,1818349
News For Democracy,1730890
Carolina Leadership Coalition, Inc. Not Authorized by Any Candidate.,1685072
Southern Environmental Law Center,1435430
Marsy’s Law for North Carolina LLC,1430000
MO Research, Inc.,1119085
,1092487
Fair Courts Now,928809
Cooper for North Carolina,880000
North Carolina Republican Council of State Committee,870392
Jeff Jackson for NC Senate,854589
Friends of Sam Searcy,765984
The Auto Alliance,645000
Kathy Manning for Congress,584970
Blue Cross NC,509946
the Tea Party Nation and is not authorized by any candidate or candidate's committee.,500000
The North Carolina Homeowners Alliance,500000
NC Conservation Network,413000
NextGen Climate Action Committee,380035
Congressman Mark Walker,347923
Citizens for JD Wooten,345992
Committee to Elect Graig Meyer,335000
Mack Paul for NC Senate,325746
The Southern Environmental Law Center ,323660
North Carolina Association of Educators,320000
Committee to Elect Terri LeGrand,307000
Concealed Online,282047
McKissick for NC Senate,233443
McCready for Congress,226517
Ted Budd for Congress,223969
NumbersUSA,220395
Human Rights Campaign,191753
SOLAR ENERGY TODAY,183473
Americans For Prosperity,166973
Heath for North Carolina,164977
Committee to Elect Harper Peterson ,163120
Friends for Sydney Batch,157000
Sierra Club,154018
Committee to Elect Mark Melrose,140898
Progress NC Action,130000
The Explore Offshore Coalition,125327
National Solar Rebate,121005
NRDC,118542
Wiley Nickel for North Carolina,114000
Heritage Action for America and not authorized by any candidate or candidate’s committee,112981
Paid for by the Sampson County Republican Executive Committee.  Contributions to the Sampson County Republican Executive Committee are not deductible as charitable contributions for federal income tax purposes. All contributions are subject to the limits and prohibitions of the rules set forth by the North Carolina State Board of Elections. State law require,111000
Brian Turner for NC House,107856
The Committee to Elect Brian Bock,106000
Sarah Homes Candidate Committee,100000
HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,95879
Friends of Natasha Marcus,94988
National Education Association,93559
The Committee to Elect Michael Lee,90986
The Jefferson Griffin Committee,85000
The Committee To Elect Jeff Tarte,78000
DAVID ROUZER FOR CONGRESS,74625
the Trump Make America Great Again Committee,71655
Watts for Congress,70997
Hudson for Congress,70000
Tim Ivey for County Commissioner,68594
Friends of Joe Sam Queen,66000
Holding for Congress,65000
Donna White for NC House,61000
Elect TICKLE Judge,57969
Bryant for Wake County DA,55000
