O’Connor for Congress,2748008
Cordray/Sutton Committee,2547000
MO Research, Inc.,2178586
DeWine Husted for Ohio,2034000
Ken Harbaugh for Congress,1520102
For Our Future (ForOurFuturePAC.org). Not authorized by any candidate or candidate’s committee.,1443000
Aftab for Ohio,1369156
,1333282
Ohio Safe & Healthy Communities Campaign,1218000
the National Education Association,1200000
For Our Future. Not authorized by any candidate or candidate's committee.,814000
Shareblue Media,804015
Friends of Phil Robinson,660000
Be a Hero PAC,606000
Friends of Faber,600000
Official Funds from the Office of Congressman Jim Renacci,505000
Conservation Ohio and not authorized by any candidate, candidate's committee, or political party,497234
Congressional Leadership Fund,485262
Stivers for Congress,460984
Committee to Elect Helen Wallace For Judge,456000
National Democratic Redistricting Committee. Not authorized by any candidate or candidate’s committee.,408000
Rick Neal for Congress,335998
Janet Garrett for Congress,328000
Friends of Jay Edwards,322724
Ohioans Against the Reckless Dialysis Amendment,302583
Americans For Prosperity,298441
Theresa Gasper for Congress,274000
Humane Society Legislative Fund,260078
Dettelbach for Ohio,237000
the Republican National Committee,220000
ExxonMobil,212742
Buckeye Firearms Association,211000
the Committee to Re-elect Judge Martin - Michael Florez, Treasurer,210000
Friends of Dave Joyce, P.O. BOX 516 , PAINESVILLE, OH 44077,208814
Taylor Sappington For Change,185982
the Committee to Re-Elect Judge Mary Kovack,168000
Friends of Casey Weinstein,167000
News For Democracy,164988
America First Policies,155093
We Are Ohio,151000
the Trump Make America Great Again Committee,145432
Human Rights Campaign,143530
SOLAR ENERGY TODAY,137123
Committee to Elect J.P. Morgan for Judge C/O Ronnie Morgan - Treasurer,135314
the International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW).  Not authorized by any candidate.,120414
Pharmaceutical Care Management Association,120097
Concealed Online,118035
The Buckeye Institute,116000
One Nation,115000
John Boccieri for Ohio Committee,115000
Nathan Manning for Ohio,110729
Steve Huffman for Ohio, John Stickel, Treasurer, PO Box 739, Troy, Ohio 45372,110000
NTK Network,110000
Kristina Daley Roegner for Ohio,110000
Klein Committee,110000
CITIZENS FOR ANNE GONZALES W. L. CURLIS, TREASURER 865 MACON ALLEY, COLUMBUS, OH 43206,110000
Donald J. Trump for President, Inc.,104768
Right Call Media LLC,101404
The ACLU of Ohio,101100
The Leadership Conference on Civil & Human Rights,100000
Organization for Competitive Markets,100000
Corrigan for Executive, Peter Corrigan Treasurer.,100000
The Committee to Elect Jeremiah Ray,99000
Friends of D.J. Byrnes,98967
The Leadership Conference Education Fund,96000
Protect Our Workers Earned Retirement,91000
Association for Accessible Medicines,89122
National Wildlife Federation Action Fund,87000
Consumers Against Deceptive Fees,85000
TZ Insurance Solutions,83000
 Rob Richardson for Ohio Treasurer,81000
the Voter Participation Center,79371
the Keep Judge Jill Flagg Lanzinger Committee,78000
The Committee to Elect Molly Johnson Judge,78000
Ohio Senate Democrats,76000
The Auto Alliance,75000
Citizens for Baguirov,75000
Friends of Dan Milleson,72000
OAPSE AFSCME Local 4, Randy Weston, Treasurer.,71000
Ohioans for Mike Rasor,69000
Heritage Action for America and not authorized by any candidate or candidate’s committee,66974
Tim Ryan for Congress,63895
Modern Medicaid Alliance,62000
Ohio REALTORS® and not authorized by any candidate or candidate committee,61000
Citizens for Yassenoff,61000
We Built This,60000
Ohioans for Gun Safety,59760
Swing Left. Not authorized by any candidate or candidate's committee.,59392
PragerU ,57870
the Ohio Democratic Party,55000
UltraViolet PAC, not authorized by any candidate or candidate’s committee,55000
Federation of American Hospitals,55000
Christen N. Finley, Candidate ,54949
Need to Impeach,54564
Committee to Elect Douglass For Judge,52911
Pat Condon For Judge,50000
the funds authorized by the U.S. House of Representatives for the Ninth Congressional District of Ohio.,49971
International Union, United Automobile, Aerospace, and Agricultural Implement Workers of America (UAW). Not authorized by any candidate.,46000
The Committee to Elect Jennifer L. Hensal,45000
RGA Ohio 2018 PAC. Not authorized by any candidate or candidate's committee.,45000
Good Jobs Nation,44438
WeThePeopleHolsters ,42337
HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,41015
NARAL Pro-Choice Ohio,41000
Innovation Ohio,41000
Chris Blaylock,40000
Conservative Gear,39970
Planned Parenthood Federation of America,39006
the campaign for Donald R. Capper for Lawrence County Common Pleas Judge,37220
Joe Helle for State Representative,36000
Latta For Congress,35946
Friends of Sherrod Brown,34503
Environmental Defense Action Fund,33600
Energy Citizens,32150
Webinar Technologies,30586
Disability Rights Ohio,30000
Rob Richardson for Ohio Treasurer,29167
Axiom News Network,29000
Cleveland School of Cannabis,28964
Turning Point USA,28271
Ohio House Republican Organizational Committee,28000
Citizens for Gavarone,27996
AAF Nation, LLC,27963
News For Democracy LLC,27686
the ACLU,26874
State Run Films,26251
by Citizens to Elect Allison Russo. ,26000
45 Hats,25885
PATTON FOR OHIO HOUSE,25000
Daily Wire,23616
Kamala Harris for Senate,23345
TimKen Steel,23116
The Western Journal,22757
ReBuild USA,22448
Digital Product Showcase,22172
One Ohio Now,22000
Patagonia ,21994
End Citizens United,21803
Sierra Club,21797
Everytown for Gun Safety Action Fund,21678
Beto for Texas,21457
Keep Judge Miller,21455
Rootstown Citizens Levy Committee, Doug Darrah, Treasurer (4294 Apple Orchard, Rootstown, OH 44272),21085
the Ohio Vapor Trade Association,21000
Committee to Elect Robert Umholtz,21000
Michael A Rulli for Senate,20998
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,20002
Sandy Piña California Delegate,20000
LaRose for Ohio,20000
Friends of Ray Grogan.,20000
First Energy Solutions,20000
AARP Ohio,20000
DePizzo For Congress,19978
the NRCC and not authorized by any candidate or candidate's committee.,19708
FirstQuoteHealth,19534
Lawrence County Republican Executive Committee,19000
Committee to Elect Tristam Cheeseman,19000
Finley for Judge,18988
Vote Amber Daniels,18815
Committee to Elect Enoch,18615
Working America,18012
Sandy Hook Promise,17689
NRATV,17321
The Democratic Coalition,17107
LAROSE FOR OHIO,17000
Citizens of Sandusky,17000
National Education Association,16939
DCCC,16578
4Ocean, LLC,16269
Tieman For Prosecutor Committee, John F. Queen, Treasurer,16000
Stewart For Ohio Supreme Court,16000
Friends of Scott Lipps,16000
Committee  To Elect Carroll  For Judge,16000
American Bail Coalition,16000
Papin for Ohio, Gene Papin - Treasurer,15636
Ohio Conservative Energy Forum,15000
Friends of Brett Pransky,15000
McCarty for Judge Committee,14999
NumbersUSA,14994
Friends of Louise Valentine,14812
Charlie Kirk,14563
The Committee to Elect Kate Bowling,14000
Friends of David Leland,14000
Committee to Support Green Schools - Michael Trinko Treasurer,14000
The New Data Project.,13998
ASMDSS, Inc,13643
Mahoning Valley Jobs and Growth Coalition,13434
The Hill,13188
NRDC,13145
The Nature Conservancy,13034
VanHo for Ohio,13000
Friends to Elect Nino Vitale,13000
The Committee to Defend The President,12043
Friends of Kenneth C. Henning,12000
Friends of ADAMH,12000
Angry Buckeyes,12000
Darya Klammer for Judge Committee,11982
Marcellus Shale Coalition,11634
McCollister for Commissioner,11087
Ohio's Electric Cooperatives,11000
Liberty Justice Center,11000
Friends and Neighbors of Lindsay Webb. ,11000
William Wright & Associates,10995
Cincinnati Right to Life PAC,10886
Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.,10575
Keep and Bear,10552
DoSomething,10393
Friends of E.J. Conn,10189
Giving Brush LLC,10125
Paid for by Equality Ohio,10000
Lisa Carpenter Knapp,10000
JM2 LLC,10000
Committee to Elect James A. Puffenberger,10000
Columbus Metropolitan Club,10000
Citizens for Colleen M. Swedyk,10000
Bassett for Commissioner,10000
Balderson for Congress,10000
Friends of David Thomas,9990
The Energy Cooperative ,9988
The Committee to Elect Mary Montgomery,9935
Mahoning Valley Jobs and Growth Partnership,9906
Better Medicare Alliance,9746
Medina County Progressives,9576
Lemony Tree,9415
Swiftshield,9064
Alliance for Safety and Justice,9061
Media in the Public Interest,9000
Friends of Lauren Friedman,9000
Circa,8993
UnitedHealthcare,8852
The Wilderness Society,8831
NextGen Climate Action Committee,8823
Aveni for Judge, Don McTigue Treasurer,8544
The Innocence Project,8414
MoveOn.org Civic Action.,8247
The Future of Firelands Committee,8000
Zya, Inc. ,7779
Committee to Elect Judith Boyce,7739
Gillibrand for Senate,7503
Marin Crops, LLC,7388
Jeff Merkley for Oregon,7339
The committee to elect Leslie Pittenger,7038
2A4LIFE LLC,7029
The Northup Election Committee,7000
The Committee To Elect Matt Gambrel Judge,7000
Mike Kerrigan Committee,7000
Black for Commissioner,7000
Youngstown/Warren Regional Chamber,6922
OZY Media,6854
Everytown for Gun Safety Support Fund,6843
NARAL Pro-Choice America,6590
#VoteTogether,6556
Hello Resistance,6464
Stabenow for U.S. Senate,6381
Ted Cruz for Senate,6377
the Re-Elect Freddie L. Hayes Jr. for Lawrence County Commissioner Campaign,6000
