Tim Bjorkman for South Dakota, Dr. Tom Ortman, Treas.,2027740
SOUTH DAKOTANS AGAINST HIGHER TAXES 320 E. CAPITOL AVENUE, PIERRE, SD 57501,1336000
Marty Jackley for Governor,832974
,513427
Concerned Veterans for America,150000
Randy Seiler for Attorney General,146000
Sutton for South Dakota,104885
Means for AG.,76000
Haeder for SD State Treasurer ,71617
Humane Society Legislative Fund,65000
Shantel Krebs for Congress,62000
DoSomething,60041
Steve Swenson for Sheriff,49764
Hayward for House,41000
Dan Nelson for State's Attorney ,39749
Rossknecht for District #1,39000
Americans for Prosperity,28002
Reid for 33,25000
AARP South Dakota,22000
Kristie Fiegen for South Dakota,21017
Keryn Rowland for County Commission,21000
DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.,20177
Kasey For SD,15994
#VoteTogether,15015
Daryl Root for District 4 House,14928
Elect Ellis,14901
TZ Insurance Solutions,12000
Ron Wieczorek For Congress,12000
Jason Coenen,11000
Vote Yes Rapid City,10000
South Dakotans for Comprehensive Energy Solutions,10000
Rodney M. Bordeaux,10000
Margaret Kuipers for SD House,10000
South Dakotans for Progress,9916
the Gideon Oakes for District 30 Campaign,9000
Soholt for Senate,9000
the Trump Make America Great Again Committee,8452
Dan Klimisch Campaign,8000
Rita Wentworth, Treasurer for Ryan Cwach for South Dakota,7612
Americans for Prosperity Foundation,7066
The Auto Alliance,7000
Gearman for Sheriff,6913
Americans For Prosperity,6040
Scott Petersen,6000
Save Our Air Medical Resources,6000
Citizens for Brett Ries,6000
Rose Grant for Auditor,5991
National Farmers Union,5071
Sue for District 13,5000
Prairie rose committee,5000
Peters for House,4000
Matson for South Dakota,4000
Yankton County Citizens for Responsible Govt,3982
PragerU ,3126
Keep and Bear,3083
True Science Holdings, LLC.,3000
Kyle Boese for Legislature,3000
Jon Hansen for House,3000
Friends of Jack Kolbeck,3000
Dakota Range Wind,3000
Tom Holmes for District 14,2982
Need to Impeach,2975
Dennis Evenson for SD Senate,2712
Good Media Group,2702
AAF Nation, LLC,2456
Power of Minnesota,2327
NRATV,2276
Connect Americans Now.,2252
WeThePeopleHolsters ,2046
Mic,2003
Scott Parsley for Senate,2000
Rachel for South Dakota,2000
Jenae for SD,2000
Healy for House,2000
the ACLU,1827
Planned Parenthood Federation of America,1674
Turning Point USA,1657
Mac Schneider for Congress,1580
Comedy Central,1578
Ben Ferguson Show,1444
4Ocean, LLC,1361
Armed American Supply,1356
The Hill,1343
Donald J. Trump for President, Inc.,1320
Sierra Club,1256
45 Hats,1249
Conservative Gear,1190
ExxonMobil,1186
Concealed Online,1028
Republicans for the Rule of Law,1021
Proud Right Winger,1003
Steve Allender,1000
Elect George Nelson ,1000
Clay Loneman,1000
American Heart Association,1000
Everytown for Gun Safety Action Fund,995
OZY Media,975
Naveen Malik for District 31 Representative,961
Beto for Texas,957
Tamara St. John for District 1 House of Representatives,937
Daily Wire,903
Zen Brands International, LLC,897
Xcel Energy,896
the NRCC and not authorized by any candidate or candidate's committee.,889
CRTV,876
Cody Sunderland,862
Ted Cruz for Senate,821
 LeftAction,794
Charlie Kirk,766
2A4LIFE LLC,763
Elizabeth for MA,745
Nine Line Apparel,723
Seeker,717
Cynthia for New York.,717
ASMDSS, Inc,701
Conservative Tribune,646
Kamala Harris for Senate,635
DCCC,629
Prepared and paid for by the Stock for Sheriff Committee. Dawson MN,609
The Wilderness Society,582
International Rescue Committee,576
ConocoPhillips Company,565
Ranker,515
Proud American Hunter,504
Hulu,494
UnitedHealthcare,456
Heidi for North Dakota,428
Fuel Freedom Foundation,428
International Brotherhood of Teamsters,421
Patagonia ,415
CHC BOLD PAC,372
PrintedKicks,371
the National Democratic Redistricting Committee,367
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,364
Gillibrand for Senate,357
NRDC Action Fund,353
Stand Up America,351
NowThis,343
NARAL Pro-Choice America,334
Alliance for Safety and Justice,331
Friends of Bernie Sanders,313
Tax March,297
NRDC,293
Friends of the Earth,290
EMILY's List,287
Earthjustice,286
FRIENDS OF GENTNER DRUMMOND 2018,283
NRA,282
TYT Network,280
Demand Justice,280
American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc.,278
Chrissy Houlahan for Congress,275
Young America's Foundation,274
Humane Society International,274
Captains for Clean Water,273
Dinesh D'Souza,272
Big Sky Values PAC,272
Sandy Hook Promise,270
Rustic Edge Marketing,267
The Brookings Institution,263
Patriot Depot,263
Human Coalition,263
Hoover Institution,257
Main Street Investors Coalition,254
Jeff Merkley for Oregon,254
Kevin McCarthy for Congress,253
Patriotic Drop Shop,249
National Committee to Preserve Social Security & Medicare,248
America's Navy,243
Boredom Therapy LLC,241
MoveOn.org Civic Action.,240
Finance Watch Dogs,237
Plan International USA,225
Wind Energy Foundation,224
Oceana,223
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,222
End Citizens United,221
Center for Biological Diversity,221
Austin Petersen for US Senate,221
LifeZette Inc.,217
NRA Women,215
and Authorized by  Andrew Janz for Congress.,214
OAF Nation, Inc,209
Giffords PAC.,198
Tom Steyer,192
State Policy Network,192
Patriot Journal,192
Winning For Women, Inc.,187
Pfizer,185
Restoration PAC,181
DC Statesman,179
CheapCaribbean,178
The Years Project,173
Save The Storks,169
MoveOn.org Political Action, not authorized by any candidate or candidate's committee.,167
The FAMiLY LEADER,164
Penzeys,162
GLAAD,162
Bird + Stone ,158
MO Research, Inc.,154
Sharice for Congress,150
Real Justice PAC and not authorized by any candidate or candidate's committee.,150
Environmental Defense Fund,148
Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105,145
Human Rights Campaign,144
ATTN:,144
I Love My Freedom,138
Greenpeace USA,137
ORMAN FOR KANSAS, INC; TIM OWENS, TREASURER,132
Everytown for Gun Safety Support Fund,131
O’Connor for Congress,126
the Florida Democratic Party. Not authorized by any candidate or candidate's committee.,121
Science for Humans and Freedom Institute,119
Philip Levine, Democrat, for Governor,118
Amy for the People,111
Friends of John Delaney,110
Friends of Ron DeSantis, 1 Independent Drive, #1300, Jacksonville FL 32202.,108
We Are The Mighty,105
SFT2 Tactical Supply,102
Right Wing News ,97
Catholic Relief Services,97
Good Jobs Nation,94
Unite America Inc.,93
Congressional Leadership Fund,93
Reform Austin, Inc. ,92
Working Assets Funding Service, Inc. on behalf of itself and its affiliate, CREDO Mobile, Inc.,88
JVMI,84
Consumer Alert Services,84
Animal Matters,83
Carla Nelson for Congress,79
Committee to Elect Rob Davidson,77
STAND FLAG POLES,74
Foundation for Economic Education,74
Lemony Tree,73
IVN News,73
Giving Brush LLC,73
Priorities USA Action. Not authorized by any candidate or candidate's committee.,71
Swing Left. Not authorized by any candidate or candidate's committee.,70
Serve America Movement,70
Americans for Farmers and Families,70
House of Patriots,68
Loftus 2018 Committee,65
Defenders of Wildlife,65
Leadership Institute,64
FCTRY,63
Diversity Incorporated ,62
Tina Smith for Minnesota,61
Sebastian Ertelt,60
Topic,58
No Labels. Not Authorized by Any Candidate or Candidate Committee.,57
Let Africa Live,56
G.I. Jobs Magazine,55
the Progressive Change Campaign Committee PAC (BoldProgressives.org) and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,54
State Run Films,54
30x30, FF&L,54
The Innocence Project,53
Proxy Vote,52
Energy Citizens,52
