Yes! To Affordable Groceries ,5049903
Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105,2612688
,2201803
DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee.,1293000
Lisa Brown for Congress,642755
NO on 1631 (Sponsored by Western States Petroleum Association), P.O. Box 7035, Olympia, WA 98507 Top 5 Contributors: Phillips 66, BP America, Andeavor, American Fuel and Petrochemical Manufacturers, U.S. Oil & Refining Company,610000
Washington State Department of Natural Resources,600000
Cathy McMorris Rodgers for US Congress,493955
Washington Education Association Political Action Committee,473817
Jason Rittereiser for Congress,452933
Vote in WA,442000
AFSCME Council 28 (WFSE),415562
the committee to elect Tim Sheldon, Democrat,414999
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,386000
Dr. Kim Schrier for Congress,375275
Washington State Democratic Party,374471
News For Democracy,365774
Jaime for Congress,325341
Planned Parenthood Votes Northwest and Hawaii and not authorized by any candidate or candidate's committee. Contact us at: 2001 E Madison St Seattle, WA 98122. ,309999
George Steele,292874
New Direction PAC, Democrat ,282000
Friends of Joe Fain,274968
Friends of Susan Hutchison.,270000
Michelle Downey Caldier for State Representative,268804
The Wilderness Society Action Fund,230998
HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.,229955
MO Research, Inc.,219227
New Direction PAC,210990
Friends of Bob Ferguson (D) ,206000
Friends of Maralyn Chase for Senate, PO Box 77267 Seattle WA  98177,196975
Kaleido Health Solutions,187200
Dan Newhouse for Congress,183899
People for Alex Ramel,165000
Question PAC PO Box 426 Ephrata, WA 98823 - Not affiliated with any political candidate or campaign,160473
IVN News,159896
Sarah Smith for US Congress 2018,154997
Committee to Elect Steve Hobbs (D),152994
Elect Wendy Weiker (D) | PO Box 63, Mercer Island, WA 98040 ,150000
House Majority PAC and Priorities USA Action. Not authorized by any candidate or candidate's committee.,142969
Summer in the fall,139000
Citizens for Chad Magendanz,137000
Unified Seattle,129937
