One Nation,2846000
Senate Leadership Fund,2761000
Judicial Crisis Network ,1745735
Duty and Country. Not authorized by any candidate or candidate’s committee.,1722000
Restoration PAC,656025
Demand Justice,451012
AARP ,450000
Americans for Prosperity,427089
1863 PAC, Ltd. Not affiliated with any candidate or candidate’s committee,417000
Americans For Prosperity,371042
ExxonMobil,323992
The Wilderness Society Action Fund,241000
Manchin for West Virginia, Jack Rossi, Treasurer,227894
News For Democracy,214472
the National Education Association,195690
Committee to Elect Richard Ojeda,170495
America First Policies, Inc.,170000
National Shooting Sports Foundation,150000
Morrisey for Senate, Inc.,127048
Donald J. Trump for President, Inc.,115066
Smith for the Supreme Court,115000
the Republican National Committee,111000
Planned Parenthood Action Fund, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.,107911
,107140
The Record,105000
Tera Salango for Circuit Judge,100000
Ihlenfeld for Senate,83941
MO Research, Inc.,83141
Need to Impeach,66870
Association for Accessible Medicines,62000
The Leadership Conference on Civil and Human Rights ,54034
Friends of Ben Queen,53000
Federation of American Hospitals,49249
The Candidate,48000
Kent Carper for County Commission,40000
Future in America,40000
Citizens United,38389
STEPHENS FOR WV SENATE,38000
the Leadership Conference on Civil and Human Rights ,35000
Lambda Legal,33363
Alliance for Justice Action Campaign,33000
NARAL Pro-Choice America,32957
Energy Transfer Partners,32738
WV Future PAC,31463
Protect Our Workers Earned Retirement,30000
Modern Medicaid Alliance,30000
Goodwin for Mayor, Patrick Smith, Treasurer,30000
Kendra Fershee for Congress,29657
America First Policies,29639
Moore for West Virginia,29557
the Committee to Elect Eric J. Tarr for WV Senate.,24928
the Trump Make America Great Again Committee,24650
the ACLU,23696
Talley Sergent for West Virginia,22975
The Nature Conservancy,22008
Mountain Mamas PAC,21000
American Energy Alliance,19812
Friends of Randy Swartzmiller 2018,18000
Wilkes for Supreme Court,17000
WV Citizen Action Group,17000
The Committee To Elect Josh Stowers,17000
James Robinette,17000
Greenbrier County Republican Club,15506
The Committee to Elect Andy Backus,15000
#VoteTogether,15000
NAACP Legal Defense Fund,14097
Susan Shelton Perry,14000
Zucker for West Virginia,12981
the NRCC and not authorized by any candidate or candidate's committee.,12585
National Rural Electric Association,12099
TZ Insurance Solutions,12000
Mooney for Congress,11977
Committee to Elect Ty Nestor,11934
Doyle for Delegate Committee,11755
Cindy Lavender-Bowe or CLB 4 WV Committee,11408
AAF Nation, LLC,11400
West Virginians for Affordable Health Care ,11000
Elect Staggers,11000
Charles Sammons for State Senate,10850
PragerU ,10583
DoSomething,10100
Patagonia ,10076
Will Thompson for Justice Committee,10000
Vote Elliott Pritt for House of Delegates,10000
The Committee to Elect Richard Lindsay,10000
The American Tort Reform Association,10000
Protect Our Care West Virginia ,10000
National Wildlife Federation Action Fund,10000
JB Akers for Mayor,10000
Hansen for House,9839
the Committee to Elect Eric J. Tarr for WV Senate,9000
Committee to Elect Theresa Jackson,9000
Phoebe Jeffries Meadows,8000
Jefferson County Democratic Party,7941
4Ocean, LLC,7870
Keep and Bear,7266
NRA,7028
Dan Greear for Judge Committee,7000
Daily Wire,6396
Human Rights Campaign,6213
Planned Parenthood Federation of America,6031
a Safer, Stronger Charleston,6000
Moore Capito for WV,6000
Joe Powers for Cabell County Clerk Committee,6000
Frank Luntz,6000
the NRCC and not authorized by any candidate or candidate's committee. www.nrcc.org,5244
The Committee to Elect Tom Tull, WV House of Delegates 38th District.,5000
League of Conservation Voters,5000
Concealed Online,4506
Sierra Club,4427
Conservative Gear,4281
NRSC,4039
The Committee to Elect Jason S. Harshbarger ,4000
Melvin Kessler,4000
Higginbotham for West Virginia,4000
Greenbrier Valley Democratic Women's Club,4000
Hoover Institution,3959
Webinar Technologies,3907
The committee to elect Leslie Pittenger,3874
End Citizens United,3513
ConocoPhillips Company,3269
The Democratic Coalition,3266
Citizens for Nicole Alt-Myers,3209
DrugJustice,3204
committee to elect Charlie Reynolds,2995
DL Hamilton or Mountain Mamas PAC,2989
NRDC,2823
the candidate,2805
Marcellus Shale Coalition,2403
Zen Brands International, LLC,2396
UnitedHealthcare,2355
and Authorized by  Andrew Janz for Congress.,2346
We Are Pennsylvania,2312
Winning For Women, Inc.,2292
Boredom Therapy LLC,2264
Ryan for WV House,2233
OZY Media,2219
Turning Point USA,2104
Comstock for Congress,2076
Joann,2009
Upson For WV, Laura Galvin, Treasurer,2000
The Wood County Democratic Executive Committee,2000
The Committee To Elect Brianne Solomon,2000
Peter Onoszko for Jefferson County Commission,2000
Harrison County Republican Executive Committee,2000
Friends of Danielle Walker,2000
DCCC,1995
Hearsey for Congress,1968
Morris 4 House,1897
Friends of E.J. Conn,1892
We Are PA, a project of the The Immigration Hub.,1861
Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer,1816
Warrior 12,1781
Norma Kirk-McCormick For State Representative,1779
Environmental Health Sciences, a nonpartisan, nonprofit publisher of science and news on the environment.,1731
Citizens for Gary Howell,1726
Kyle M. Woodman,1709
Comedy Central,1677
Swing Left. Not authorized by any candidate or candidate's committee.,1631
the Democratic Governors Association.,1595
Amnesty International USA,1587
Live Action,1485
Super LTD,1474
Color of Change PAC, not authorized by any candidate or candidate’s committee. ,1450
State Run Films,1346
Authority, Friends of Kathy Afzali, John Cornelius, Treasurer,1241
Committee to Elect Sarah Kovoor for Judge,1230
Charlie Kirk,1224
Protect our Jefferson County,1188
Shareblue Media,1174
Planned Parenthood Action Fund.,1168
Charity Grimm Krupa,1157
EMILY's List,1154
Giffords PAC.,1152
Grigorian for Senate,1105
the campaign for Donald R. Capper for Lawrence County Common Pleas Judge,1082
WeThePeopleHolsters ,1054
Chris Harris for State Representative,1043
ASMDSS, Inc,1031
David Trone For Congress, Inc. ,1002
End Citizens United Nonfederal,1001
Ricky Moye Campaign Fund,1000
Kengla for Hampshire County Commission, Dale Brady, Treasurer,1000
Don Blankenship for U.S. Senate,1000
David Miller,1000
Committee to Elect Andy Daniel,1000
Chase For WV,1000
Alliance for Justice,1000
100 Percent Deplorables,1000
David L. Kelly, Republican Candidate for West Virginia House of Delegates, District 6,978
Friends of Larry D. Kump,977
Friends for Earl Robbins, Willie Wright, Treasurer,938
NRATV,936
Science for Humans and Freedom Institute,929
Penzeys,929
Committee to Elect Andrew Evans ,915
Berkeley County Democratic Executive Committee ,911
Friends of Evan Worrell,908
Tax March,897
Ryan Hampton,894
Center for Biological Diversity,866
Americans for Farmers and Families,853
The Unofficial Bill O'Reilly Fan Club,840
Everytown for Gun Safety Action Fund,814
Bredesen for Senate,814
UPROXX,778
POLITICO Focus,767
MedStar Washington Hospital Center,757
The Wilderness Society,756
TYT Network,755
LeadingResponse,752
JVMI,751
Hulu,744
Armed American Supply,711
45 Hats,701
Proud Right Winger,699
Ocean And Co,696
NBCUniversal Media, LLC,665
Partnership for Conservation.,661
MoveOn.org Civic Action.,654
Stacey Abrams for Governor,646
Proud American Hunter,642
Protect Our Care,640
Rock Steady Ecommerce,616
Brooker for Judge Committee, Mike Lorentz, Treasurer 809 Mary St., Belpre, OH 45714 ,599
Friends of Bernie Sanders,588
Elizabeth for MA,587
Vote Scott M. Renforth Jefferson County Auditor,579
Circa,577
Garrett County Democratic Club,571
Parks Project,567
Consumer Alert Services,539
Airbnb,536
Kamala Harris for Senate,520
Joe Kennedy for Congress.,516
Hashimi for Us Committee,516
Diversity Incorporated,504
McCaskill for Missouri,501
Energy Citizens,501
CRTV,500
The Committee to Defend The President,494
BRITE Coalition.,482
The Years Project,468
Citizens for Debra Frank for School Board, Jonathan Frank, Treasurer,467
Beto for Texas,463
Greater Half,459
We Are The Mighty,456
the National Democratic Redistricting Committee,447
Philip Levine, Democrat, for Governor,447
Doctors Without Borders/Médecins Sans Frontières (MSF),440
Young America's Foundation,438
Irvine for Ohio,435
Dinesh D'Souza,430
When We All Vote,427
Deb Haaland for Congress.,414
NRDC Action Fund,407
The Hill,394
Smart Customer,393
Kevin McCarthy for Congress,380
GLAAD,374
ClearPath Action, Inc. Not authorized by any candidate or candidate's committee.,369
Patriot Depot,361
Axios,359
Environmental Defense Fund,357
Defending Donald,333
Patriotic Drop Shop,323
World Food Program USA,321
Hillsdale College,320
FirstQuoteHealth,319
Rustic Edge Marketing,316
Ocean Conservancy,315
SFT2 Tactical Supply,306
the National Network of Abortion Funds,305
Finance Watch Dogs,298
Families For Trump,296
Stand Up America,284
the DSCC,273
Sinclair Broadcast Group,269
Gillibrand for Senate,264
This message has been authorized and paid for by Republican Governors Association, Michael G. Adams, Treasurer. This message has not been authorized or approved by any candidate or ballot issue committee.,262
Andrew St. John,261
the White Coat Waste Project, Inc,259
LifeZette Inc.,258
Foundation for Individual Rights in Education,257
Energy Nation,251
The National Organization for the Reform of Marijuana Laws,247
The Church of Stop Shopping,245
I Love My Freedom,238
