Dodson for Senate – Wyoming First,1310421
Trauner for the People of Wyoming,1221777
Galeotos for Governor,1123996
Friends of John Barrasso,757990
,573557
Christensen for Treasurer,545000
The Independent Republicans of Wyoming, a registered 501(c)(4). The Independent Republicans of Wyoming is not affiliated with any political campaign and this website was not authorized by any candidate or candidate's committee.,513577
Friends of Mark Gordon,503648
Wyoming Hunters and Anglers Alliance 501 (c) (4),433989
Dahlin for Governor,362000
Liz Cheney for Wyoming,335998
Hunter for Wyoming,315000
ExxonMobil,211130
Helm for Wyoming,144990
Island Richards,79895
Committee to Elect Kristi Racines,78000
Committee to Elect Tyler Lindholm,62000
The Wilderness Society,59485
Greene 4 Mayor,55845
the Committee to Elect Mike Yin,55505
Jerry Cook for Natrona County Commissioner,54000
Rod Miller for Wyoming Inc.,49000
The Committee to Re-Elect Laura Sundstrom,43996
Wyoming Wildlife Federation,38001
Curt Meier for Treasurer,34995
COMMITTEE TO ELECT WEBER SHERIFF,34183
Wyoming Secretary of State's office,31000
Paige Rhoads for Clerk of District Court,29998
Wyoming Electric Cooperative Association,29000
DoSomething,25037
Pam Glick,23000
Jessica Stalder,22989
Donald J. Trump for President, Inc.,17774
#VoteTogether,15019
Patagonia ,13261
Trent for Albany County Attorney,13000
Luther for Teton County,13000
Jacob Martin,13000
America First Policies,12855
the Committee to elect Matt Carr,12406
Sierra Club,12326
Our Revolution Casper,12000
Denise Shirley for House District 24,12000
Wrong for Wyoming,11000
ROZIER FOR CORONER,11000
Barbara Allen for Wyoming House District 16,10319
National Wildlife Federation Action Fund,10004
Wrong for Wyoming ,10000
Petroleum Association of Wyoming,10000
The Committee to Elect Paul Wallem ,9996
the Trump Make America Great Again Committee,9991
the Sheridan County Republican Party,9849
JOE SHOGRIN,9000
Barbuto for Commission,8995
Anton Lehman, Park County Commissioner Candidate,7829
Wright for Wyoming,6000
TZ Insurance Solutions,6000
Supporters & friends of Shaun Sims for Senate,6000
Byron R Barkhurst for Carbon County Commissioner,6000
PragerU ,5556
friends of Sandy Newsome,5000
U.S. Term Limits,5000
Thom Gamblin,5000
Mike Mortimore,5000
Jeff Raney for Wyoming Senate District 23,5000
Forward Wyoming,5000
Dave Harness For Coroner,5000
